#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
7671	3178	7916	109420	113646	-	DADB-70P7.5	HNRNPA1	PRRC2A	ALS19|ALS20|HNRPA1|HNRPA1L3|IBMPFD3|hnRNP A1|hnRNP-A1	BAT2|D6S51|D6S51E|G2	Two-hybrid	physical	Lehner B (2004)	14667819	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
10720	3178	2237	109420	108528	-	-	HNRNPA1	FEN1	ALS19|ALS20|HNRPA1|HNRPA1L3|IBMPFD3|hnRNP A1|hnRNP-A1	FEN-1|MF1|RAD2	Two-hybrid	physical	Chai Q (2003)	14690413	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
119421	7916	3178	113646	109420	DADB-70P7.5	-	PRRC2A	HNRNPA1	BAT2|D6S51|D6S51E|G2	ALS19|ALS20|HNRPA1|HNRPA1L3|IBMPFD3|hnRNP A1|hnRNP-A1	Two-hybrid	physical	Lehner B (2004)	14667819	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
252686	3178	2237	109420	108528	-	-	HNRNPA1	FEN1	ALS19|ALS20|HNRPA1|HNRPA1L3|IBMPFD3|hnRNP A1|hnRNP-A1	FEN-1|MF1|RAD2	Affinity Capture-Western	physical	Chai Q (2003)	14690413	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
252687	3178	2237	109420	108528	-	-	HNRNPA1	FEN1	ALS19|ALS20|HNRPA1|HNRPA1L3|IBMPFD3|hnRNP A1|hnRNP-A1	FEN-1|MF1|RAD2	Reconstituted Complex	physical	Chai Q (2003)	14690413	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
252688	2237	3178	108528	109420	-	-	FEN1	HNRNPA1	FEN-1|MF1|RAD2	ALS19|ALS20|HNRPA1|HNRPA1L3|IBMPFD3|hnRNP A1|hnRNP-A1	Two-hybrid	physical	Chai Q (2003)	14690413	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
263833	3276	3178	109512	109420	-	-	PRMT1	HNRNPA1	ANM1|HCP1|HRMT1L2|IR1B4	ALS19|ALS20|HNRPA1|HNRPA1L3|IBMPFD3|hnRNP A1|hnRNP-A1	Biochemical Activity	physical	Lin WJ (1996)	8663146	9606	9606	Low Throughput	-	Methylation	-	-	-	BIOGRID
277596	8570	3178	114139	109420	-	-	KHSRP	HNRNPA1	FBP2|FUBP2|KSRP	ALS19|ALS20|HNRPA1|HNRPA1L3|IBMPFD3|hnRNP A1|hnRNP-A1	Reconstituted Complex	physical	Markovtsov V (2000)	11003644	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
278110	3178	3178	109420	109420	-	-	HNRNPA1	HNRNPA1	ALS19|ALS20|HNRPA1|HNRPA1L3|IBMPFD3|hnRNP A1|hnRNP-A1	ALS19|ALS20|HNRPA1|HNRPA1L3|IBMPFD3|hnRNP A1|hnRNP-A1	Two-hybrid	physical	Kim JH (2000)	10772858	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
278113	3178	3178	109420	109420	-	-	HNRNPA1	HNRNPA1	ALS19|ALS20|HNRPA1|HNRPA1L3|IBMPFD3|hnRNP A1|hnRNP-A1	ALS19|ALS20|HNRPA1|HNRPA1L3|IBMPFD3|hnRNP A1|hnRNP-A1	Reconstituted Complex	physical	Kim JH (2000)	10772858	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
287963	4792	3178	110859	109420	-	-	NFKBIA	HNRNPA1	IKBA|MAD-3|NFKBI	ALS19|ALS20|HNRPA1|HNRPA1L3|IBMPFD3|hnRNP A1|hnRNP-A1	Affinity Capture-Western	physical	Hay DC (2001)	11313474	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
287964	3178	4792	109420	110859	-	-	HNRNPA1	NFKBIA	ALS19|ALS20|HNRPA1|HNRPA1L3|IBMPFD3|hnRNP A1|hnRNP-A1	IKBA|MAD-3|NFKBI	Affinity Capture-Western	physical	Hay DC (2001)	11313474	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
287965	3178	4792	109420	110859	-	-	HNRNPA1	NFKBIA	ALS19|ALS20|HNRPA1|HNRPA1L3|IBMPFD3|hnRNP A1|hnRNP-A1	IKBA|MAD-3|NFKBI	Reconstituted Complex	physical	Hay DC (2001)	11313474	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
288269	3178	6294	109420	112201	-	-	HNRNPA1	SAFB	ALS19|ALS20|HNRPA1|HNRPA1L3|IBMPFD3|hnRNP A1|hnRNP-A1	HAP|HET|SAF-B1|SAFB1	Reconstituted Complex	physical	Weighardt F (1999)	10212141	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
