#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
35135	42160	35785	67184	61641	Dmel_CG7223	Dmel_CG8710	htl	coil	CG7223|CT22273|CT39172|DFGF-R1|DFGF-R2|DFR-1|DFR1|DFR1/DFGF-R2|DPR3|DTRK(FR1)|DmHD-38|Dmel\CG7223|Dtk1|EMS2|FGF-R2|FGFR|FGFR2|FR1|HD-38|HTL/FGFR1|Tk1|i100|i150|i79|j372	CG8710|Coilin|Dmel\CG8710	Two-hybrid	physical	Giot L (2003)	14605208	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
35283	35785	35785	61641	61641	Dmel_CG8710	Dmel_CG8710	coil	coil	CG8710|Coilin|Dmel\CG8710	CG8710|Coilin|Dmel\CG8710	Two-hybrid	physical	Giot L (2003)	14605208	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
49909	35785	48450	61641	71397	Dmel_CG8710	Dmel_CG9285	coil	Dip-B	CG8710|Coilin|Dmel\CG8710	CG9285|DipB|Dmel\CG9285	Two-hybrid	physical	Giot L (2003)	14605208	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
444504	37850	35785	63429	61641	Dmel_CG3204	Dmel_CG8710	Rap2l	coil	CG3204|Dm Rap21|Dmel\CG3204|O96692|Rap2|Rap21	CG8710|Coilin|Dmel\CG8710	Two-hybrid	physical	Formstecher E (2005)	15710747	7227	7227	High Throughput	-	-	-	Predicted Biological Score:D	-	BIOGRID
2479859	35785	3355109	61641	78234	Dmel_CG8710	Dmel_CG40411	coil	Parp	CG8710|Coilin|Dmel\CG8710	BEST:LD21673|CG17685|CG17696|CG17718|CG40411|D.PARP|Dm.pARTa|Dmel\CG40411|LD21673.3prime|PARP-1|PARP1|dPARP|dmparp	Affinity Capture-Western	physical	Kotova E (2009)	19229318	7227	7227	Low Throughput	-	-	-	-	-	FLYBASE
2480962	35785	37662	61641	63268	Dmel_CG8710	Dmel_CG9888	coil	Fib	CG8710|Coilin|Dmel\CG8710	CG9888|Dmel\CG9888|Fibri|GCR-6|GCR6|Pen59C5	Affinity Capture-Western	physical	Kotova E (2009)	19229318	7227	7227	Low Throughput	-	-	-	-	-	FLYBASE
2481864	3355109	35785	78234	61641	Dmel_CG40411	Dmel_CG8710	Parp	coil	BEST:LD21673|CG17685|CG17696|CG17718|CG40411|D.PARP|Dm.pARTa|Dmel\CG40411|LD21673.3prime|PARP-1|PARP1|dPARP|dmparp	CG8710|Coilin|Dmel\CG8710	Affinity Capture-Western	physical	Kotova E (2009)	19229318	7227	7227	Low Throughput	-	-	-	-	-	FLYBASE
3683110	59142	35785	72814	61641	Dmel_CG18746	Dmel_CG8710	CG18746	coil	Dmel\CG18746	CG8710|Coilin|Dmel\CG8710	Affinity Capture-MS	physical	Lee KT (2024)	38270169	7227	7227	High Throughput	-	-	-	Affinity capture MS was carried out to identify high confident protein interactors with a FDR of less than or equal to 0.01 and a minimum spectral count of 6	-	BIOGRID
3686414	33226	35785	59482	61641	Dmel_CG3018	Dmel_CG8710	lwr	coil	CG3018|DUbc9|DmUbc9|Dmel\CG3018|FBgn0010602|Iwr|UBC9|Ubc 9|Ubc-9|dip4|hbl|i105|i56|l(2)01519|l(2)02858|l(2)05486|l(2)05487|semi	CG8710|Coilin|Dmel\CG8710	Two-hybrid	physical	Tang HW (2023)	37061542	7227	7227	High Throughput	-	-	-	interaction identified by large-scale Y2H screening and validated by pairwise testing	-	BIOGRID
3686415	40051	35785	65332	61641	Dmel_CG14074	Dmel_CG8710	CG14074	coil	Dmel\CG14074	CG8710|Coilin|Dmel\CG8710	Two-hybrid	physical	Tang HW (2023)	37061542	7227	7227	High Throughput	-	-	-	interaction identified by large-scale Y2H screening and validated by pairwise testing	-	BIOGRID
3686623	35785	36308	61641	62089	Dmel_CG8710	Dmel_CG8439	coil	Cct5	CG8710|Coilin|Dmel\CG8710	BcDNA.GM12270|BcDNA:GM12270|CG8439|Dmel\CG8439|TCP-1epsilon|Tcp1-epsilon|l(2)06444	Two-hybrid	physical	Tang HW (2023)	37061542	7227	7227	High Throughput	-	-	-	interaction identified by large-scale Y2H screening and validated by pairwise testing	-	BIOGRID
3686738	40920	35785	66108	61641	Dmel_CG10086	Dmel_CG8710	CG10086	coil	Dmel\CG10086	CG8710|Coilin|Dmel\CG8710	Affinity Capture-MS	physical	Lee KT (2024)	38270169	7227	7227	High Throughput	-	-	-	Affinity capture MS was carried out to identify high confident protein interactors with a FDR of less than or equal to 0.01 and a minimum spectral count of 6	-	BIOGRID

