#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
32046	30977	36025	57550	61853	Dmel_CG12470	Dmel_CG1472	CG12470	Sec24AB	Dmel\CG12470|EG:BACR37P7.5|NEST:bs07e10|NEST:bs17h08	CG1472|Dmel\CG1472|SEC24	Two-hybrid	physical	Giot L (2003)	14605208	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
32948	36025	43230	61853	68121	Dmel_CG1472	Dmel_CG6378	Sec24AB	BM-40-SPARC	CG1472|Dmel\CG1472|SEC24	BM-40 Sparc|BM-40/SPARC|BM40|CG6378|CT19876|Dmel\CG6378|SPARC|anon-EST:Posey291|dSPARC	Two-hybrid	physical	Giot L (2003)	14605208	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
36492	38634	36025	64097	61853	Dmel_CG10591	Dmel_CG1472	CG10591	Sec24AB	Dmel\CG10591	CG1472|Dmel\CG1472|SEC24	Two-hybrid	physical	Giot L (2003)	14605208	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
36912	38457	36025	63945	61853	Dmel_CG10849	Dmel_CG1472	Sc2	Sec24AB	CG10849|Dmel\CG10849|dSc2|l(3)05634|l(3)63Eb|l(3)SH4	CG1472|Dmel\CG1472|SEC24	Two-hybrid	physical	Giot L (2003)	14605208	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
37123	32341	36025	58714	61853	Dmel_CG10992	Dmel_CG1472	CtsB1	Sec24AB	CG-10992|CG10992|Dmel\CG10992|anon-EST:ParkEST132	CG1472|Dmel\CG1472|SEC24	Two-hybrid	physical	Giot L (2003)	14605208	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
37357	32205	36025	58604	61853	Dmel_CG11138	Dmel_CG1472	CG11138	Sec24AB	BEST:RE18684|BcDNA:RE48052|CG1855|Dmel\CG11138|EP(X)1313|RE18684	CG1472|Dmel\CG1472|SEC24	Two-hybrid	physical	Giot L (2003)	14605208	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
39281	33529	36025	59745	61853	Dmel_CG12399	Dmel_CG1472	Mad	Sec24AB	2/23|CG12399|Dmel\CG12399|E(zen)2|En(vvl)|Mat|P-Mad|PMad|Smad|Smad1|apg|c28|dMAD|l(2)K00237|pSmad	CG1472|Dmel\CG1472|SEC24	Two-hybrid	physical	Giot L (2003)	14605208	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
42001	33034	36025	59325	61853	Dmel_CG1467	Dmel_CG1472	Syx16	Sec24AB	CG1467|Dm Syx16|DmSyx16|Dmel\CG1467|Syx|dSyx 16|dSyx16	CG1472|Dmel\CG1472|SEC24	Two-hybrid	physical	Giot L (2003)	14605208	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
42062	36025	42464	61853	67437	Dmel_CG1472	Dmel_CG15693	Sec24AB	RpS20	CG1472|Dmel\CG1472|SEC24	CG15693|Dmel\CG15693|anon-EST:Posey111|anon-EST:Posey122|anon-EST:Posey147	Two-hybrid	physical	Giot L (2003)	14605208	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
42063	36025	36022	61853	61850	Dmel_CG1472	Dmel_CG1675	Sec24AB	Ntmt	CG1472|Dmel\CG1472|SEC24	CG1675|Dmel\CG1675|dNTMT	Two-hybrid	physical	Giot L (2003)	14605208	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
42064	36025	33121	61853	59396	Dmel_CG1472	Dmel_CG1678	Sec24AB	CG1678	CG1472|Dmel\CG1472|SEC24	BcDNA:GH04760|Dmel\CG1678	Two-hybrid	physical	Giot L (2003)	14605208	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
42065	36025	32083	61853	58494	Dmel_CG1472	Dmel_CG1725	Sec24AB	dlg1	CG1472|Dmel\CG1472|SEC24	11|CG1725|CG1730|CPD|DLG|DLG-A|Discs-large|DlgA|DlgS97|Dmel\CG1725|Drodlg|PSD95|SAP97|anon-EST:Posey93|anon-WO03040301.258|anon-WO03040301.260|anon-WO03040301.268|d. lg.-1|dlg-1|l(1)10Bf|l(1)G0276|l(1)G0342|l(1)G0456|l(1)G19|l(1)L11|l(1)bwn|l(1)d.lg-1|l(1)d.lg.-1|l(1)discs large|l(1)dlg|l(1)dlg-1|l(1)dlg1|l(1)l.pr.-2|l(1)lpr-2|misb	Two-hybrid	physical	Giot L (2003)	14605208	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
