#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
2576677	190611	171809	55194	37294	CELE_Y71H2AM.19	CELE_Y74C10AR.1	laf-1	eif-3.I	-	-	Co-fractionation	physical	Hu LZ (2019)	31308550	6239	6239	High Throughput	0.704	-	-	High confidence protein interactions have an EPIC PPI score >= 0.5	-	BIOGRID
2576752	190611	175138	55194	40419	CELE_Y71H2AM.19	CELE_Y54E2A.11	laf-1	eif-3.B	-	-	Co-fractionation	physical	Hu LZ (2019)	31308550	6239	6239	High Throughput	0.735	-	-	High confidence protein interactions have an EPIC PPI score >= 0.5	-	BIOGRID
2577291	190611	174175	55194	39511	CELE_Y71H2AM.19	C27H5.3	laf-1	fust-1	-	CELE_C27H5.3	Co-fractionation	physical	Hu LZ (2019)	31308550	6239	6239	High Throughput	0.698	-	-	High confidence protein interactions have an EPIC PPI score >= 0.5	-	BIOGRID
2577662	190611	179897	55194	44909	CELE_Y71H2AM.19	CELE_F58E10.3	laf-1	F58E10.3	-	-	Co-fractionation	physical	Hu LZ (2019)	31308550	6239	6239	High Throughput	0.71	-	-	High confidence protein interactions have an EPIC PPI score >= 0.5	-	BIOGRID
2579450	190611	176268	55194	41467	CELE_Y71H2AM.19	R08D7.3	laf-1	eif-3.D	-	CELE_R08D7.3	Co-fractionation	physical	Hu LZ (2019)	31308550	6239	6239	High Throughput	0.697	-	-	High confidence protein interactions have an EPIC PPI score >= 0.5	-	BIOGRID
2579970	190611	179779	55194	44798	CELE_Y71H2AM.19	T16G1.11	laf-1	eif-3.K	-	CELE_T16G1.11|pqn-69	Co-fractionation	physical	Hu LZ (2019)	31308550	6239	6239	High Throughput	0.739	-	-	High confidence protein interactions have an EPIC PPI score >= 0.5	-	BIOGRID
2581400	190611	172921	55194	38337	CELE_Y71H2AM.19	CELE_Y106G6H.3	laf-1	rpl-30	-	-	Co-fractionation	physical	Hu LZ (2019)	31308550	6239	6239	High Throughput	0.689	-	-	High confidence protein interactions have an EPIC PPI score >= 0.5	-	BIOGRID
2581685	190611	174346	55194	39675	CELE_Y71H2AM.19	CELE_F22B5.2	laf-1	eif-3.G	-	-	Co-fractionation	physical	Hu LZ (2019)	31308550	6239	6239	High Throughput	0.702	-	-	High confidence protein interactions have an EPIC PPI score >= 0.5	-	BIOGRID
2583545	190611	177236	55194	42365	CELE_Y71H2AM.19	K08F11.3	laf-1	cif-1	-	CELE_K08F11.3	Co-fractionation	physical	Hu LZ (2019)	31308550	6239	6239	High Throughput	0.813	-	-	High confidence protein interactions have an EPIC PPI score >= 0.5	-	BIOGRID
2583998	190611	172966	55194	38377	CELE_Y71H2AM.19	CELE_C34B2.6	laf-1	C34B2.6	-	-	Co-fractionation	physical	Hu LZ (2019)	31308550	6239	6239	High Throughput	0.527	-	-	High confidence protein interactions have an EPIC PPI score >= 0.5	-	BIOGRID
