#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
45119	31735	32935	58203	59237	Dmel_CG2116	Dmel_CG3291	CG2116	pcm	Dmel\CG2116	CG3291|DmXrn1|Dmel\CG3291|XRN1|XRN1/pcm|Xrn1p	Two-hybrid	physical	Giot L (2003)	14605208	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
2300727	32935	36914	59237	62614	Dmel_CG3291	Dmel_CG6829	pcm	Ark	CG3291|DmXrn1|Dmel\CG3291|XRN1|XRN1/pcm|Xrn1p	APAF-1|APAF1|CG6829|D-Apaf-1|DARK|Dapaf-1|Dapaf-1/HAC-1|Dark/Apaf-I|Dark/Dapaf-1/HAC1|Dark/Hac-1/dApaf-1|Dark/Hac-1/dApaf1|Dmel\CG6829|Hac-1|Hac-1/Dark|Hac1|T1|anon-53Fa|arc|dApaf-1/DARK/HAC-1|dApaf1|dapaf|dapaf-1L|dapaf-1S|dark/dapaf-1/hac-1|l(2)SH0173	Phenotypic Suppression	genetic	Waldron JA (2015)	25836675	7227	7227	Low Throughput	-	-	-	-	-	FLYBASE
2300728	32935	39753	59237	65064	Dmel_CG3291	Dmel_CG12284	pcm	th	CG3291|DmXrn1|Dmel\CG3291|XRN1|XRN1/pcm|Xrn1p	0736/01|1065/03|CG12284|D-IAP1|DIAP|DIAP I|DIAP-1|DIAP1|DIAPI|Diap-1/Th|Diap2|Dmel\CG12284|E(rpr)3-1|IAP|IAP1|S048915|diap 1|diap1/thread|l(3)72CDe|l(3)72Dc|l(3)S030605|l(3)S030605b|l(3)S106503|l(3)j5C8	Phenotypic Suppression	genetic	Waldron JA (2015)	25836675	7227	7227	Low Throughput	-	-	-	-	-	FLYBASE
2303437	36914	32935	62614	59237	Dmel_CG6829	Dmel_CG3291	Ark	pcm	APAF-1|APAF1|CG6829|D-Apaf-1|DARK|Dapaf-1|Dapaf-1/HAC-1|Dark/Apaf-I|Dark/Dapaf-1/HAC1|Dark/Hac-1/dApaf-1|Dark/Hac-1/dApaf1|Dmel\CG6829|Hac-1|Hac-1/Dark|Hac1|T1|anon-53Fa|arc|dApaf-1/DARK/HAC-1|dApaf1|dapaf|dapaf-1L|dapaf-1S|dark/dapaf-1/hac-1|l(2)SH0173	CG3291|DmXrn1|Dmel\CG3291|XRN1|XRN1/pcm|Xrn1p	Phenotypic Suppression	genetic	Waldron JA (2015)	25836675	7227	7227	Low Throughput	-	-	-	-	-	FLYBASE
2305634	39753	32935	65064	59237	Dmel_CG12284	Dmel_CG3291	th	pcm	0736/01|1065/03|CG12284|D-IAP1|DIAP|DIAP I|DIAP-1|DIAP1|DIAPI|Diap-1/Th|Diap2|Dmel\CG12284|E(rpr)3-1|IAP|IAP1|S048915|diap 1|diap1/thread|l(3)72CDe|l(3)72Dc|l(3)S030605|l(3)S030605b|l(3)S106503|l(3)j5C8	CG3291|DmXrn1|Dmel\CG3291|XRN1|XRN1/pcm|Xrn1p	Phenotypic Suppression	genetic	Waldron JA (2015)	25836675	7227	7227	Low Throughput	-	-	-	-	-	FLYBASE
2312211	31310	32935	57835	59237	Dmel_CG10798	Dmel_CG3291	dm	pcm	CG10798|D-Myc|DMYc|Dmel\CG10798|EG:BACN5I9.1|MYC|anon-WO03040301.171|bHLHe57|c-MYC|dMyc1|dm/dMyc|dm/myc|l(1)G0139|l(1)G0354|l(1)G0359	CG3291|DmXrn1|Dmel\CG3291|XRN1|XRN1/pcm|Xrn1p	Affinity Capture-MS	physical	Vinayagam A (2016)	27626673	7227	7227	High Throughput	-	-	-	SAINT score > 0.95	-	FLYBASE
2313842	32935	34541	59237	60603	Dmel_CG3291	Dmel_CG6181	pcm	Ge-1	CG3291|DmXrn1|Dmel\CG3291|XRN1|XRN1/pcm|Xrn1p	CG6181|Dmel\CG6181|EDC4|dGe-1	Affinity Capture-Western	physical	Braun JE (2012)	23142987	7227	7227	Low Throughput	-	-	-	-	-	FLYBASE
2313843	32935	37790	59237	63383	Dmel_CG3291	Dmel_CG11183	pcm	Dcp1	CG3291|DmXrn1|Dmel\CG3291|XRN1|XRN1/pcm|Xrn1p	CG11183|Dcp-1|Dcp1p|Dmel\CG11183|anon-WO0118547.163|dDCP1	Affinity Capture-Western	physical	Braun JE (2012)	23142987	7227	7227	Low Throughput	-	-	-	-	-	FLYBASE
2318983	37790	32935	63383	59237	Dmel_CG11183	Dmel_CG3291	Dcp1	pcm	CG11183|Dcp-1|Dcp1p|Dmel\CG11183|anon-WO0118547.163|dDCP1	CG3291|DmXrn1|Dmel\CG3291|XRN1|XRN1/pcm|Xrn1p	Affinity Capture-Western	physical	Braun JE (2012)	23142987	7227	7227	Low Throughput	-	-	-	-	-	FLYBASE
2320428	39338	32935	64699	59237	Dmel_CG7283	Dmel_CG3291	RpL10Ab	pcm	BcDNA:RH06366|CG7283|Dmel\CG7283|L10Ab|RpL10A|RpL10Ae|anon-EST:Posey188	CG3291|DmXrn1|Dmel\CG3291|XRN1|XRN1/pcm|Xrn1p	Affinity Capture-Western	physical	Antic S (2015)	25918245	7227	7227	Low Throughput	-	-	-	-	-	FLYBASE
