#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
675095	14810	240057	200067	232153	RP23-132N23.20-010	-	Grin1	Syngap1	GluN1|GluRdelta1|GluRzeta1|M100174|NMD-R1|NMDAR1|NR1|Nmdar|Rgsc174	Gm1963|Syngap	Affinity Capture-Western	physical	Husi H (2000)	10862698	10090	10090	Low Throughput	-	-	-	-	-	BIOGRID
675099	14812	240057	200069	232153	-	-	Grin2b	Syngap1	AW490526|GluN2B|NR2B|Nmdar2b	Gm1963|Syngap	Affinity Capture-Western	physical	Husi H (2000)	10862698	10090	10090	Low Throughput	-	-	-	-	-	BIOGRID
675246	14810	240057	200067	232153	RP23-132N23.20-010	-	Grin1	Syngap1	GluN1|GluRdelta1|GluRzeta1|M100174|NMD-R1|NMDAR1|NR1|Nmdar|Rgsc174	Gm1963|Syngap	Affinity Capture-MS	physical	Husi H (2000)	10862698	10090	10090	Low Throughput	-	-	-	-	-	BIOGRID
834862	22631	240057	204623	232153	-	-	Ywhaz	Syngap1	1110013I11Rik|14-3-3zeta|AI596267|AL022924|AU020854	Gm1963|Syngap	Affinity Capture-MS	physical	Angrand PO (2006)	16959763	10090	10090	High Throughput	-	-	-	-	-	BIOGRID
874293	1487325	240057	1677930	232153	HHV2gp42	-	UL39	Syngap1	-	Gm1963|Syngap	Affinity Capture-Western	physical	Smith CC (1996)	8610433	10310	10090	Low Throughput	-	-	-	-	-	BIOGRID
874411	1956	240057	108276	232153	-	-	EGFR	Syngap1	ERBB|ERBB1|HER1|NISBD2|PIG61|mENA	Gm1963|Syngap	Affinity Capture-Western	physical	Smith CC (1996)	8610433	9606	10090	Low Throughput	-	-	-	-	-	BIOGRID
1526987	58234	240057	208407	232153	-	-	Shank3	Syngap1	AI841104|SHANK3c-3|SHANK3c-4|Shank3b	Gm1963|Syngap	Affinity Capture-MS	physical	Li J (2016)	27507650	10090	10090	High Throughput	-	-	-	-	-	BIOGRID
1527148	13385	240057	199230	232153	RP23-172M21.9	-	Dlg4	Syngap1	Dlgh4|PSD-95|PSD95|SAP90|SAP90A	Gm1963|Syngap	Affinity Capture-MS	physical	Li J (2016)	27507650	10090	10090	High Throughput	-	-	-	-	-	BIOGRID
1527170	224997	240057	230347	232153	-	-	Dlgap1	Syngap1	4933422O14Rik|9630002F18|AI845682|AI848168|BB075781|D17Bwg0511e|GKAP/SAPAP|GKPA/SAPAP|Gkap|Sapap1|mKIAA4162	Gm1963|Syngap	Affinity Capture-MS	physical	Li J (2016)	27507650	10090	10090	High Throughput	-	-	-	-	-	BIOGRID
1527292	240057	23859	232153	204763	-	mCG_22690	Syngap1	Dlg2	Gm1963|Syngap	A330103J02Rik|B230218P12Rik|B330007M19Rik|Dlgh2|Gm1197|PSD93	Affinity Capture-MS	physical	Li J (2016)	27507650	10090	10090	High Throughput	-	-	-	-	-	BIOGRID
1527293	240057	70790	232153	214255	-	-	Syngap1	Ubr5	Gm1963|Syngap	Edd|Edd1	Affinity Capture-MS	physical	Li J (2016)	27507650	10090	10090	High Throughput	-	-	-	-	-	BIOGRID
1527294	240057	14812	232153	200069	-	-	Syngap1	Grin2b	Gm1963|Syngap	AW490526|GluN2B|NR2B|Nmdar2b	Affinity Capture-MS	physical	Li J (2016)	27507650	10090	10090	High Throughput	-	-	-	-	-	BIOGRID
1527295	240057	14810	232153	200067	-	RP23-132N23.20-010	Syngap1	Grin1	Gm1963|Syngap	GluN1|GluRdelta1|GluRzeta1|M100174|NMD-R1|NMDAR1|NR1|Nmdar|Rgsc174	Affinity Capture-MS	physical	Li J (2016)	27507650	10090	10090	High Throughput	-	-	-	-	-	BIOGRID
1527296	240057	224997	232153	230347	-	-	Syngap1	Dlgap1	Gm1963|Syngap	4933422O14Rik|9630002F18|AI845682|AI848168|BB075781|D17Bwg0511e|GKAP/SAPAP|GKPA/SAPAP|Gkap|Sapap1|mKIAA4162	Affinity Capture-MS	physical	Li J (2016)	27507650	10090	10090	High Throughput	-	-	-	-	-	BIOGRID
1527297	240057	12322	232153	198461	-	-	Syngap1	Camk2a	Gm1963|Syngap	CaMKII|R74975|mKIAA0968	Affinity Capture-MS	physical	Li J (2016)	27507650	10090	10090	High Throughput	-	-	-	-	-	BIOGRID
1527298	240057	17918	232153	201666	-	RP24-189I2.1	Syngap1	Myo5a	Gm1963|Syngap	9630007J19Rik|AI413174|AI661011|Dbv|MVa|Myo5|MyoVA|Sev-1|d|d-120J|flail|flr	Affinity Capture-MS	physical	Li J (2016)	27507650	10090	10090	High Throughput	-	-	-	-	-	BIOGRID
1527299	240057	77531	232153	218749	-	-	Syngap1	Anks1b	Gm1963|Syngap	AIDA-1b|C030032C09Rik|E530015N03Rik|ENSMUSG00000078431|Gm10937|Gm1555	Affinity Capture-MS	physical	Li J (2016)	27507650	10090	10090	High Throughput	-	-	-	-	-	BIOGRID
1527300	240057	14811	232153	200068	-	-	Syngap1	Grin2a	Gm1963|Syngap	GluN2A|NMDAR2A|NR2A	Affinity Capture-MS	physical	Li J (2016)	27507650	10090	10090	High Throughput	-	-	-	-	-	BIOGRID
1527301	240057	245666	232153	232821	-	-	Syngap1	Iqsec2	Gm1963|Syngap	Brag1|mKIAA0522	Affinity Capture-MS	physical	Li J (2016)	27507650	10090	10090	High Throughput	-	-	-	-	-	BIOGRID
1527302	240057	12323	232153	198462	-	RP23-340E18.5	Syngap1	Camk2b	Gm1963|Syngap	-	Affinity Capture-MS	physical	Li J (2016)	27507650	10090	10090	High Throughput	-	-	-	-	-	BIOGRID
1527303	240057	13383	232153	199228	-	-	Syngap1	Dlg1	Gm1963|Syngap	B130052P05Rik|Dlgh1|E-dlg/SAP97|SAP-97|SAP97|mKIAA4187	Affinity Capture-MS	physical	Li J (2016)	27507650	10090	10090	High Throughput	-	-	-	-	-	BIOGRID
1527304	240057	22631	232153	204623	-	-	Syngap1	Ywhaz	Gm1963|Syngap	1110013I11Rik|14-3-3zeta|AI596267|AL022924|AU020854	Affinity Capture-MS	physical	Li J (2016)	27507650	10090	10090	High Throughput	-	-	-	-	-	BIOGRID
1527305	240057	53310	232153	207274	-	RP23-142M12.1	Syngap1	Dlg3	Gm1963|Syngap	Dlgh3|SAP102|mKIAA1232	Affinity Capture-MS	physical	Li J (2016)	27507650	10090	10090	High Throughput	-	-	-	-	-	BIOGRID
1527306	240057	232227	232153	231231	-	-	Syngap1	Iqsec1	Gm1963|Syngap	AW561907|BC026481|BRAG2|D6Ertd349e|cI-43	Affinity Capture-MS	physical	Li J (2016)	27507650	10090	10090	High Throughput	-	-	-	-	-	BIOGRID
1527307	240057	22628	232153	204620	-	-	Syngap1	Ywhag	Gm1963|Syngap	14-3-3gamma|D7Bwg1348e	Affinity Capture-MS	physical	Li J (2016)	27507650	10090	10090	High Throughput	-	-	-	-	-	BIOGRID
1527308	240057	22627	232153	204619	-	RP23-78H4.1	Syngap1	Ywhae	Gm1963|Syngap	AU019196	Affinity Capture-MS	physical	Li J (2016)	27507650	10090	10090	High Throughput	-	-	-	-	-	BIOGRID
1527309	240057	20743	232153	203462	-	-	Syngap1	Sptbn2	Gm1963|Syngap	Spnb3|mKIAA0302	Affinity Capture-MS	physical	Li J (2016)	27507650	10090	10090	High Throughput	-	-	-	-	-	BIOGRID
1527310	240057	12934	232153	198891	-	-	Syngap1	Dpysl2	Gm1963|Syngap	AI851130|Crmp2|DRP2|Musunc33|TOAD-64|Ulip2	Affinity Capture-MS	physical	Li J (2016)	27507650	10090	10090	High Throughput	-	-	-	-	-	BIOGRID
1527311	240057	20964	232153	203600	-	RP23-132C19.2	Syngap1	Syn1	Gm1963|Syngap	Syn-1	Affinity Capture-MS	physical	Li J (2016)	27507650	10090	10090	High Throughput	-	-	-	-	-	BIOGRID
1527312	240057	20742	232153	203461	-	RP23-189P1.1	Syngap1	Sptbn1	Gm1963|Syngap	9930031C03Rik|AL033301|SPTB2|Spnb-2|Spnb2|elf1|elf3|mKIAA4049	Affinity Capture-MS	physical	Li J (2016)	27507650	10090	10090	High Throughput	-	-	-	-	-	BIOGRID
1527313	240057	244310	232153	232634	-	-	Syngap1	Dlgap2	Gm1963|Syngap	6430596N04Rik|DAP2|Sapap2	Affinity Capture-MS	physical	Li J (2016)	27507650	10090	10090	High Throughput	-	-	-	-	-	BIOGRID
1527314	240057	58234	232153	208407	-	-	Syngap1	Shank3	Gm1963|Syngap	AI841104|SHANK3c-3|SHANK3c-4|Shank3b	Affinity Capture-MS	physical	Li J (2016)	27507650	10090	10090	High Throughput	-	-	-	-	-	BIOGRID
1527315	240057	380785	232153	237646	-	-	Syngap1	Begain	Gm1963|Syngap	BM948371|Gm897	Affinity Capture-MS	physical	Li J (2016)	27507650	10090	10090	High Throughput	-	-	-	-	-	BIOGRID
1527316	240057	19339	232153	202544	-	-	Syngap1	Rab3a	Gm1963|Syngap	-	Affinity Capture-MS	physical	Li J (2016)	27507650	10090	10090	High Throughput	-	-	-	-	-	BIOGRID
1527317	240057	22629	232153	204621	-	-	Syngap1	Ywhah	Gm1963|Syngap	-	Affinity Capture-MS	physical	Li J (2016)	27507650	10090	10090	High Throughput	-	-	-	-	-	BIOGRID
1527318	240057	224671	232153	230301	-	-	Syngap1	Btbd9	Gm1963|Syngap	1700023F20Rik|4930402L05|AI464421	Affinity Capture-MS	physical	Li J (2016)	27507650	10090	10090	High Throughput	-	-	-	-	-	BIOGRID
1527319	240057	14544	232153	199872	-	-	Syngap1	Gda	Gm1963|Syngap	AU015411|AW047581	Affinity Capture-MS	physical	Li J (2016)	27507650	10090	10090	High Throughput	-	-	-	-	-	BIOGRID
1527320	240057	14681	232153	199970	-	-	Syngap1	Gnao1	Gm1963|Syngap	AW050213|Galphao|Gnao|alphaO	Affinity Capture-MS	physical	Li J (2016)	27507650	10090	10090	High Throughput	-	-	-	-	-	BIOGRID
1527321	240057	14814	232153	200071	-	-	Syngap1	Grin2d	Gm1963|Syngap	GluN2D|NMDAR2D|NR2D	Affinity Capture-MS	physical	Li J (2016)	27507650	10090	10090	High Throughput	-	-	-	-	-	BIOGRID
1527322	240057	14645	232153	199947	-	-	Syngap1	Glul	Gm1963|Syngap	GS|Glns	Affinity Capture-MS	physical	Li J (2016)	27507650	10090	10090	High Throughput	-	-	-	-	-	BIOGRID
1527323	240057	235380	232153	231650	-	RP24-383M20.1	Syngap1	Dmxl2	Gm1963|Syngap	6330586A12|6430411K14Rik|E130119P06Rik|mKIAA0856	Affinity Capture-MS	physical	Li J (2016)	27507650	10090	10090	High Throughput	-	-	-	-	-	BIOGRID
1527324	240057	13424	232153	199254	-	-	Syngap1	Dync1h1	Gm1963|Syngap	9930018I23Rik|AI894280|DHC1|DHC1a|DNCL|Dnchc1|Dnec1|Dnecl|Loa|MAP1C|P22|Swl|mKIAA0325	Affinity Capture-MS	physical	Li J (2016)	27507650	10090	10090	High Throughput	-	-	-	-	-	BIOGRID
1527325	240057	53321	232153	207284	-	RP23-281C18.4	Syngap1	Cntnap1	Gm1963|Syngap	AI841080|Caspr|NCP1|Nrxn4|p190|shm	Affinity Capture-MS	physical	Li J (2016)	27507650	10090	10090	High Throughput	-	-	-	-	-	BIOGRID
1527326	240057	242274	232153	232388	-	-	Syngap1	Lrrc7	Gm1963|Syngap	AK122498|densin|mKIAA1365	Affinity Capture-MS	physical	Li J (2016)	27507650	10090	10090	High Throughput	-	-	-	-	-	BIOGRID
1527327	240057	11496	232153	197967	-	-	Syngap1	Adam22	Gm1963|Syngap	2900022I03Rik|AI854032|MDC2	Affinity Capture-MS	physical	Li J (2016)	27507650	10090	10090	High Throughput	-	-	-	-	-	BIOGRID
1527328	240057	230904	232153	231053	-	RP23-139J21.11-001	Syngap1	Fbxo2	Gm1963|Syngap	FBG1|FBX2|Fbs1|Fbs2|NFB42|Prpl4	Affinity Capture-MS	physical	Li J (2016)	27507650	10090	10090	High Throughput	-	-	-	-	-	BIOGRID
1527329	240057	210274	232153	229144	-	-	Syngap1	Shank2	Gm1963|Syngap	ProSAP1|mKIAA1022	Affinity Capture-MS	physical	Li J (2016)	27507650	10090	10090	High Throughput	-	-	-	-	-	BIOGRID
