#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
65659	179202	171786	44244	37272	K07C11.2	CELE_Y39G10AR.12	air-1	tpxl-1	CELE_K07C11.2|let-412	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BIOGRID
819777	171786	177655	37272	42767	CELE_Y39G10AR.12	C28C12.2	tpxl-1	mesp-1	-	CELE_C28C12.2	Two-hybrid	physical	Boxem M (2008)	18692475	6239	6239	High Throughput	-	-	-	Corrected dataset:  Erratum in Cell. 2012 Dec 21;151(7):1633.	-	BIOGRID
820048	177655	171786	42767	37272	C28C12.2	CELE_Y39G10AR.12	mesp-1	tpxl-1	CELE_C28C12.2	-	Two-hybrid	physical	Boxem M (2008)	18692475	6239	6239	High Throughput	-	-	-	Corrected dataset:  Erratum in Cell. 2012 Dec 21;151(7):1633.	-	BIOGRID
820310	179202	171786	44244	37272	K07C11.2	CELE_Y39G10AR.12	air-1	tpxl-1	CELE_K07C11.2|let-412	-	Two-hybrid	physical	Boxem M (2008)	18692475	6239	6239	High Throughput	-	-	-	Corrected dataset:  Erratum in Cell. 2012 Dec 21;151(7):1633.	-	BIOGRID
2834784	171786	172886	37272	38305	CELE_Y39G10AR.12	CELE_C25A1.9	tpxl-1	rsa-1	-	-	Affinity Capture-Western	physical	Schlaitz AL (2007)	17218259	6239	6239	Low Throughput	-	-	-	-	-	WORMBASE
2836025	172155	171786	37615	37272	F56A3.4	CELE_Y39G10AR.12	spd-5	tpxl-1	CELE_F56A3.4	-	Co-localization	physical	Woodruff JB (2017)	28575670	6239	6239	Low Throughput	-	-	-	-	-	WORMBASE
2836713	171786	179202	37272	44244	CELE_Y39G10AR.12	K07C11.2	tpxl-1	air-1	-	CELE_K07C11.2|let-412	Affinity Capture-Western	physical	Ozlue N (2005)	16054030	6239	6239	Low Throughput	-	-	-	-	-	WORMBASE
2837263	171786	176536	37272	41722	CELE_Y39G10AR.12	CELE_Y48A6B.11	tpxl-1	rsa-2	-	-	Affinity Capture-Western	physical	Schlaitz AL (2007)	17218259	6239	6239	Low Throughput	-	-	-	-	-	WORMBASE
2837717	172155	171786	37615	37272	F56A3.4	CELE_Y39G10AR.12	spd-5	tpxl-1	CELE_F56A3.4	-	Reconstituted Complex	physical	Woodruff JB (2017)	28575670	6239	6239	Low Throughput	-	-	-	-	-	WORMBASE
2837800	171786	179202	37272	44244	CELE_Y39G10AR.12	K07C11.2	tpxl-1	air-1	-	CELE_K07C11.2|let-412	Biochemical Activity	physical	Ozlue N (2005)	16054030	6239	6239	Low Throughput	-	-	-	-	-	WORMBASE
3386662	180510	171786	45456	37272	F52D2.4	CELE_Y39G10AR.12	meg-3	tpxl-1	gei-12|CELE_F52D2.4	-	Affinity Capture-MS	physical	Cipriani PG (2021)	34223818	6239	6239	High Throughput	-0.064359741	-	-	High confidence interactions were identified using a measure that combined fold-change of prey abundance as well as the p-value of a Student's t-test for experimental versus control purifications. Hit proteins were identified according to their p-value from the t SAM statistic as previously described (Chen et al., 2016). The t SAM statistic of the enrichment is provided in the score column.	-	BIOGRID

