#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
63918	182458	175852	47310	41073	C09G1.1	CELE_ZK328.5	pqn-11	npp-10	CELE_C09G1.1	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BIOGRID
67570	175018	175852	40305	41073	Y54G9A.6	CELE_ZK328.5	bub-3	npp-10	CELE_Y54G9A.6	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BIOGRID
819914	175852	172687	41073	38120	CELE_ZK328.5	DY3.2	npp-10	lmn-1	-	CELE_DY3.2|Lam1	Two-hybrid	physical	Boxem M (2008)	18692475	6239	6239	High Throughput	-	-	-	Corrected dataset:  Erratum in Cell. 2012 Dec 21;151(7):1633.	-	BIOGRID
819915	175852	176172	41073	41376	CELE_ZK328.5	F10E9.8	npp-10	sas-4	-	CELE_F10E9.8|dcd-1	Two-hybrid	physical	Boxem M (2008)	18692475	6239	6239	High Throughput	-	-	-	Corrected dataset:  Erratum in Cell. 2012 Dec 21;151(7):1633.	-	BIOGRID
819916	175852	176211	41073	41415	CELE_ZK328.5	CELE_F22B7.5	npp-10	dnj-10	-	-	Two-hybrid	physical	Boxem M (2008)	18692475	6239	6239	High Throughput	-	-	-	Corrected dataset:  Erratum in Cell. 2012 Dec 21;151(7):1633.	-	BIOGRID
819917	175852	180765	41073	45700	CELE_ZK328.5	K05B2.3	npp-10	ifa-4	-	CELE_K05B2.3|CelIF a4|Cel IF A4	Two-hybrid	physical	Boxem M (2008)	18692475	6239	6239	High Throughput	-	-	-	Corrected dataset:  Erratum in Cell. 2012 Dec 21;151(7):1633.	-	BIOGRID
819918	175852	172213	41073	37671	CELE_ZK328.5	M01E11.6	npp-10	klp-15	-	CELE_M01E11.6	Two-hybrid	physical	Boxem M (2008)	18692475	6239	6239	High Throughput	-	-	-	Corrected dataset:  Erratum in Cell. 2012 Dec 21;151(7):1633.	-	BIOGRID
819919	175852	172234	41073	37691	CELE_ZK328.5	T19B4.2	npp-10	npp-7	-	CELE_T19B4.2	Two-hybrid	physical	Boxem M (2008)	18692475	6239	6239	High Throughput	-	-	-	Corrected dataset:  Erratum in Cell. 2012 Dec 21;151(7):1633.	-	BIOGRID
819920	175852	172854	41073	38276	CELE_ZK328.5	CELE_T24D1.3	npp-10	T24D1.3	-	-	Two-hybrid	physical	Boxem M (2008)	18692475	6239	6239	High Throughput	-	-	-	Corrected dataset:  Erratum in Cell. 2012 Dec 21;151(7):1633.	-	BIOGRID
819921	175852	175133	41073	40414	CELE_ZK328.5	Y54E2A.3	npp-10	tac-1	-	CELE_Y54E2A.3|2P40	Two-hybrid	physical	Boxem M (2008)	18692475	6239	6239	High Throughput	-	-	-	Corrected dataset:  Erratum in Cell. 2012 Dec 21;151(7):1633.	-	BIOGRID
1173565	3837	175852	110035	41073	-	CELE_ZK328.5	KPNB1	npp-10	IMB1|IPO1|IPOB|Impnb|NTF97	-	Reconstituted Complex	physical	Schmidt HB (2015)	25562883	9606	6239	Low Throughput	-	-	-	Figure 5	-	BIOGRID
2577424	175852	179160	41073	44203	CELE_ZK328.5	CELE_ZK742.1	npp-10	xpo-1	-	-	Co-fractionation	physical	Hu LZ (2019)	31308550	6239	6239	High Throughput	0.739	-	-	High confidence protein interactions have an EPIC PPI score >= 0.5	-	BIOGRID
2577540	175852	174823	41073	40127	CELE_ZK328.5	K12D12.2	npp-10	npp-3	-	CELE_K12D12.2	Co-fractionation	physical	Hu LZ (2019)	31308550	6239	6239	High Throughput	0.723	-	-	High confidence protein interactions have an EPIC PPI score >= 0.5	-	BIOGRID
2577718	175852	176758	41073	41927	CELE_ZK328.5	T03F6.5	npp-10	lis-1	-	CELE_T03F6.5|pnm-1	Co-fractionation	physical	Hu LZ (2019)	31308550	6239	6239	High Throughput	0.701	-	-	High confidence protein interactions have an EPIC PPI score >= 0.5	-	BIOGRID
2578034	175852	172116	41073	37577	CELE_ZK328.5	CELE_F28B3.7	npp-10	him-1	-	-	Co-fractionation	physical	Hu LZ (2019)	31308550	6239	6239	High Throughput	0.707	-	-	High confidence protein interactions have an EPIC PPI score >= 0.5	-	BIOGRID
2578587	175852	179789	41073	44808	CELE_ZK328.5	CELE_W07G4.3	npp-10	W07G4.3	-	-	Co-fractionation	physical	Hu LZ (2019)	31308550	6239	6239	High Throughput	0.708	-	-	High confidence protein interactions have an EPIC PPI score >= 0.5	-	BIOGRID
2579036	175852	174367	41073	39695	CELE_ZK328.5	F54C9.1	npp-10	iff-2	-	CELE_F54C9.1	Co-fractionation	physical	Hu LZ (2019)	31308550	6239	6239	High Throughput	0.652	-	-	High confidence protein interactions have an EPIC PPI score >= 0.5	-	BIOGRID
2580355	175852	174456	41073	39781	CELE_ZK328.5	CELE_T23G7.3	npp-10	T23G7.3	-	-	Co-fractionation	physical	Hu LZ (2019)	31308550	6239	6239	High Throughput	0.678	-	-	High confidence protein interactions have an EPIC PPI score >= 0.5	-	BIOGRID
