#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
64802	174350	175462	39679	40702	F22B5.7	CELE_C48D5.1	zyg-9	nhr-6	CELE_F22B5.7	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BIOGRID
64803	174350	180957	39679	45885	F22B5.7	CELE_C53B7.3	zyg-9	C53B7.3	CELE_F22B5.7	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BIOGRID
64804	174350	171762	39679	37249	F22B5.7	CELE_Y37E3.1	zyg-9	Y37E3.1	CELE_F22B5.7	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BIOGRID
466358	175909	174350	41127	39679	C05D11.4	F22B5.7	let-756	zyg-9	CELE_C05D11.4	CELE_F22B5.7	Negative Genetic	genetic	Byrne AB (2007)	17897480	6239	6239	High Throughput	4.1429	-	organism development variant	A systematic genetic interaction analysis (SGI) was carried out to detect interactions between 11 query mutants and 858 target genes compromised by RNA interference (RNAi).  Interactions were determined using growth scores that indicated whether the resulting number of progeny from the double mutant was significantly different than that of single mutant controls.|Negative Genetic	-	BIOGRID
466359	181055	174350	45979	39679	C14F5.5	F22B5.7	sem-5	zyg-9	CELE_C14F5.5	CELE_F22B5.7	Negative Genetic	genetic	Byrne AB (2007)	17897480	6239	6239	High Throughput	1.875	-	organism development variant	A systematic genetic interaction analysis (SGI) was carried out to detect interactions between 11 query mutants and 858 target genes compromised by RNA interference (RNAi).  Interactions were determined using growth scores that indicated whether the resulting number of progeny from the double mutant was significantly different than that of single mutant controls.|Negative Genetic	-	BIOGRID
466360	174044	174350	39384	39679	C32D5.2	F22B5.7	sma-6	zyg-9	CELE_C32D5.2	CELE_F22B5.7	Negative Genetic	genetic	Byrne AB (2007)	17897480	6239	6239	High Throughput	4.6	-	organism development variant	A systematic genetic interaction analysis (SGI) was carried out to detect interactions between 11 query mutants and 858 target genes compromised by RNA interference (RNAi).  Interactions were determined using growth scores that indicated whether the resulting number of progeny from the double mutant was significantly different than that of single mutant controls.|Negative Genetic	-	BIOGRID
466361	180982	174350	45907	39679	C54D1.6	F22B5.7	bar-1	zyg-9	CELE_C54D1.6|pvl-1|spy-1	CELE_F22B5.7	Negative Genetic	genetic	Byrne AB (2007)	17897480	6239	6239	High Throughput	4.3	-	organism development variant	A systematic genetic interaction analysis (SGI) was carried out to detect interactions between 11 query mutants and 858 target genes compromised by RNA interference (RNAi).  Interactions were determined using growth scores that indicated whether the resulting number of progeny from the double mutant was significantly different than that of single mutant controls.|Negative Genetic	-	BIOGRID
466362	176286	174350	41485	39679	F02A9.6	F22B5.7	glp-1	zyg-9	CELE_F02A9.6|emb-33	CELE_F22B5.7	Negative Genetic	genetic	Byrne AB (2007)	17897480	6239	6239	High Throughput	3.1	-	organism development variant	A systematic genetic interaction analysis (SGI) was carried out to detect interactions between 11 query mutants and 858 target genes compromised by RNA interference (RNAi).  Interactions were determined using growth scores that indicated whether the resulting number of progeny from the double mutant was significantly different than that of single mutant controls.|Negative Genetic	-	BIOGRID
466363	181291	174350	46202	39679	CELE_F58A3.2	F22B5.7	egl-15	zyg-9	-	CELE_F22B5.7	Negative Genetic	genetic	Byrne AB (2007)	17897480	6239	6239	High Throughput	3.3125	-	organism development variant	A systematic genetic interaction analysis (SGI) was carried out to detect interactions between 11 query mutants and 858 target genes compromised by RNA interference (RNAi).  Interactions were determined using growth scores that indicated whether the resulting number of progeny from the double mutant was significantly different than that of single mutant controls.|Negative Genetic	-	BIOGRID
466364	178846	174350	43898	39679	T28F12.3	F22B5.7	sos-1	zyg-9	CELE_T28F12.3|let-341	CELE_F22B5.7	Negative Genetic	genetic	Byrne AB (2007)	17897480	6239	6239	High Throughput	1.5	-	organism development variant	A systematic genetic interaction analysis (SGI) was carried out to detect interactions between 11 query mutants and 858 target genes compromised by RNA interference (RNAi).  Interactions were determined using growth scores that indicated whether the resulting number of progeny from the double mutant was significantly different than that of single mutant controls.|Negative Genetic	-	BIOGRID
466365	175410	174350	40655	39679	CELE_Y55D5A.5	F22B5.7	daf-2	zyg-9	-	CELE_F22B5.7	Negative Genetic	genetic	Byrne AB (2007)	17897480	6239	6239	High Throughput	2.8333	-	organism development variant	A systematic genetic interaction analysis (SGI) was carried out to detect interactions between 11 query mutants and 858 target genes compromised by RNA interference (RNAi).  Interactions were determined using growth scores that indicated whether the resulting number of progeny from the double mutant was significantly different than that of single mutant controls.|Negative Genetic	-	BIOGRID
466366	174462	174350	39787	39679	CELE_ZK1067.1	F22B5.7	let-23	zyg-9	-	CELE_F22B5.7	Negative Genetic	genetic	Byrne AB (2007)	17897480	6239	6239	High Throughput	3.8333	-	organism development variant	A systematic genetic interaction analysis (SGI) was carried out to detect interactions between 11 query mutants and 858 target genes compromised by RNA interference (RNAi).  Interactions were determined using growth scores that indicated whether the resulting number of progeny from the double mutant was significantly different than that of single mutant controls.|Negative Genetic	-	BIOGRID
466367	178104	174350	43199	39679	ZK792.6	F22B5.7	let-60	zyg-9	CELE_ZK792.6|lin-34	CELE_F22B5.7	Negative Genetic	genetic	Byrne AB (2007)	17897480	6239	6239	High Throughput	5.1875	-	organism development variant	A systematic genetic interaction analysis (SGI) was carried out to detect interactions between 11 query mutants and 858 target genes compromised by RNA interference (RNAi).  Interactions were determined using growth scores that indicated whether the resulting number of progeny from the double mutant was significantly different than that of single mutant controls.|Negative Genetic	-	BIOGRID
819842	175133	174350	40414	39679	Y54E2A.3	F22B5.7	tac-1	zyg-9	CELE_Y54E2A.3|2P40	CELE_F22B5.7	Two-hybrid	physical	Boxem M (2008)	18692475	6239	6239	High Throughput	-	-	-	Corrected dataset:  Erratum in Cell. 2012 Dec 21;151(7):1633.	-	BIOGRID
820142	174350	175133	39679	40414	F22B5.7	Y54E2A.3	zyg-9	tac-1	CELE_F22B5.7	CELE_Y54E2A.3|2P40	Two-hybrid	physical	Boxem M (2008)	18692475	6239	6239	High Throughput	-	-	-	Corrected dataset:  Erratum in Cell. 2012 Dec 21;151(7):1633.	-	BIOGRID
820273	174059	174350	39399	39679	CELE_F58F12.1	F22B5.7	F58F12.1	zyg-9	phi-38	CELE_F22B5.7	Two-hybrid	physical	Boxem M (2008)	18692475	6239	6239	High Throughput	-	-	-	Corrected dataset:  Erratum in Cell. 2012 Dec 21;151(7):1633.	-	BIOGRID
820422	3565201	174350	532519	39679	CELE_T04A8.7	F22B5.7	CELE_T04A8.7	zyg-9	-	CELE_F22B5.7	Two-hybrid	physical	Boxem M (2008)	18692475	6239	6239	High Throughput	-	-	-	Corrected dataset:  Erratum in Cell. 2012 Dec 21;151(7):1633.	-	BIOGRID
2576257	174350	177873	39679	42976	F22B5.7	W01B6.9	zyg-9	ndc-80	CELE_F22B5.7	CELE_W01B6.9|cogc-7	Co-fractionation	physical	Hu LZ (2019)	31308550	6239	6239	High Throughput	0.693	-	-	High confidence protein interactions have an EPIC PPI score >= 0.5	-	BIOGRID
2577427	174350	172350	39679	37802	F22B5.7	K06A5.4	zyg-9	knl-2	CELE_F22B5.7	CELE_K06A5.4	Co-fractionation	physical	Hu LZ (2019)	31308550	6239	6239	High Throughput	0.707	-	-	High confidence protein interactions have an EPIC PPI score >= 0.5	-	BIOGRID
2579349	174350	181065	39679	45988	F22B5.7	K07E3.3	zyg-9	dao-3	CELE_F22B5.7	CELE_K07E3.3	Co-fractionation	physical	Hu LZ (2019)	31308550	6239	6239	High Throughput	0.529	-	-	High confidence protein interactions have an EPIC PPI score >= 0.5	-	BIOGRID
2579847	174350	181055	39679	45979	F22B5.7	C14F5.5	zyg-9	sem-5	CELE_F22B5.7	CELE_C14F5.5	Co-fractionation	physical	Hu LZ (2019)	31308550	6239	6239	High Throughput	0.516	-	-	High confidence protein interactions have an EPIC PPI score >= 0.5	-	BIOGRID
2580414	174350	173314	39679	38700	F22B5.7	Y105E8A.22	zyg-9	exc-4	CELE_F22B5.7	CELE_Y105E8A.22	Co-fractionation	physical	Hu LZ (2019)	31308550	6239	6239	High Throughput	0.572	-	-	High confidence protein interactions have an EPIC PPI score >= 0.5	-	BIOGRID
2580537	174350	179353	39679	44390	F22B5.7	T06E4.1	zyg-9	hcp-2	CELE_F22B5.7	CELE_T06E4.1	Co-fractionation	physical	Hu LZ (2019)	31308550	6239	6239	High Throughput	0.671	-	-	High confidence protein interactions have an EPIC PPI score >= 0.5	-	BIOGRID
2580989	174350	172342	39679	37795	F22B5.7	ZC328.4	zyg-9	san-1	CELE_F22B5.7	CELE_ZC328.4|mad-3|mdf-3	Co-fractionation	physical	Hu LZ (2019)	31308550	6239	6239	High Throughput	0.652	-	-	High confidence protein interactions have an EPIC PPI score >= 0.5	-	BIOGRID
2581821	174350	259546	39679	56693	F22B5.7	T12D8.2	zyg-9	drr-2	CELE_F22B5.7	CELE_T12D8.2	Co-fractionation	physical	Hu LZ (2019)	31308550	6239	6239	High Throughput	0.508	-	-	High confidence protein interactions have an EPIC PPI score >= 0.5	-	BIOGRID
2582176	175133	174350	40414	39679	Y54E2A.3	F22B5.7	tac-1	zyg-9	CELE_Y54E2A.3|2P40	CELE_F22B5.7	Co-fractionation	physical	Hu LZ (2019)	31308550	6239	6239	High Throughput	0.641	-	-	High confidence protein interactions have an EPIC PPI score >= 0.5	-	BIOGRID
2582852	174350	172041	39679	37511	F22B5.7	T21E12.4	zyg-9	dhc-1	CELE_F22B5.7	CELE_T21E12.4|spd-4|let-354	Co-fractionation	physical	Hu LZ (2019)	31308550	6239	6239	High Throughput	0.696	-	-	High confidence protein interactions have an EPIC PPI score >= 0.5	-	BIOGRID
