#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
467100	174044	173078	39384	38481	C32D5.2	Y53C10A.12	sma-6	hsf-1	CELE_C32D5.2	CELE_Y53C10A.12	Negative Genetic	genetic	Byrne AB (2007)	17897480	6239	6239	High Throughput	3.3333	-	organism development variant	A systematic genetic interaction analysis (SGI) was carried out to detect interactions between 11 query mutants and 858 target genes compromised by RNA interference (RNAi).  Interactions were determined using growth scores that indicated whether the resulting number of progeny from the double mutant was significantly different than that of single mutant controls.|Negative Genetic	-	BIOGRID
467101	180982	173078	45907	38481	C54D1.6	Y53C10A.12	bar-1	hsf-1	CELE_C54D1.6|pvl-1|spy-1	CELE_Y53C10A.12	Negative Genetic	genetic	Byrne AB (2007)	17897480	6239	6239	High Throughput	1.8571	-	organism development variant	A systematic genetic interaction analysis (SGI) was carried out to detect interactions between 11 query mutants and 858 target genes compromised by RNA interference (RNAi).  Interactions were determined using growth scores that indicated whether the resulting number of progeny from the double mutant was significantly different than that of single mutant controls.|Negative Genetic	-	BIOGRID
467102	181291	173078	46202	38481	CELE_F58A3.2	Y53C10A.12	egl-15	hsf-1	-	CELE_Y53C10A.12	Negative Genetic	genetic	Byrne AB (2007)	17897480	6239	6239	High Throughput	3.875	-	organism development variant	A systematic genetic interaction analysis (SGI) was carried out to detect interactions between 11 query mutants and 858 target genes compromised by RNA interference (RNAi).  Interactions were determined using growth scores that indicated whether the resulting number of progeny from the double mutant was significantly different than that of single mutant controls.|Negative Genetic	-	BIOGRID
467103	175410	173078	40655	38481	CELE_Y55D5A.5	Y53C10A.12	daf-2	hsf-1	-	CELE_Y53C10A.12	Negative Genetic	genetic	Byrne AB (2007)	17897480	6239	6239	High Throughput	3.8	-	organism development variant	A systematic genetic interaction analysis (SGI) was carried out to detect interactions between 11 query mutants and 858 target genes compromised by RNA interference (RNAi).  Interactions were determined using growth scores that indicated whether the resulting number of progeny from the double mutant was significantly different than that of single mutant controls.|Negative Genetic	-	BIOGRID
467104	178104	173078	43199	38481	ZK792.6	Y53C10A.12	let-60	hsf-1	CELE_ZK792.6|lin-34	CELE_Y53C10A.12	Negative Genetic	genetic	Byrne AB (2007)	17897480	6239	6239	High Throughput	2.3125	-	organism development variant	A systematic genetic interaction analysis (SGI) was carried out to detect interactions between 11 query mutants and 858 target genes compromised by RNA interference (RNAi).  Interactions were determined using growth scores that indicated whether the resulting number of progeny from the double mutant was significantly different than that of single mutant controls.|Negative Genetic	-	BIOGRID
2834464	180695	173078	45630	38481	CELE_F20B6.8	Y53C10A.12	hpk-1	hsf-1	-	CELE_Y53C10A.12	Co-localization	physical	Das R (2017)	29036198	6239	6239	Low Throughput	-	-	-	-	-	WORMBASE
2834467	266820	173078	57309	38481	K12C11.2	Y53C10A.12	smo-1	hsf-1	CELE_K12C11.2|SMT3	CELE_Y53C10A.12	Biochemical Activity	physical	Das R (2017)	29036198	6239	6239	Low Throughput	-	-	-	-	-	WORMBASE
2835238	178614	173078	43683	38481	T21H3.3	Y53C10A.12	cmd-1	hsf-1	CELE_T21H3.3	CELE_Y53C10A.12	Affinity Capture-MS	physical	Shen X (2008)	17854888	6239	6239	High Throughput	-	-	-	-	-	WORMBASE
2835806	173954	173078	39296	38481	F59E12.10	Y53C10A.12	ddl-1	hsf-1	CELE_F59E12.10	CELE_Y53C10A.12	Affinity Capture-Western	physical	Chiang WC (2012)	22265419	6239	6239	Low Throughput	-	-	-	-	-	WORMBASE
2835819	173078	173078	38481	38481	Y53C10A.12	Y53C10A.12	hsf-1	hsf-1	CELE_Y53C10A.12	CELE_Y53C10A.12	Co-fractionation	physical	Enoki Y (2011)	21510947	6239	6239	Low Throughput	-	-	-	-	-	WORMBASE
2837567	178614	173078	43683	38481	T21H3.3	Y53C10A.12	cmd-1	hsf-1	CELE_T21H3.3	CELE_Y53C10A.12	Affinity Capture-Western	physical	Shen X (2008)	17854888	6239	6239	Low Throughput	-	-	-	-	-	WORMBASE
2839211	173078	173954	38481	39296	Y53C10A.12	F59E12.10	hsf-1	ddl-1	CELE_Y53C10A.12	CELE_F59E12.10	Affinity Capture-Western	physical	Chiang WC (2012)	22265419	6239	6239	Low Throughput	-	-	-	-	-	WORMBASE
3386771	180510	173078	45456	38481	F52D2.4	Y53C10A.12	meg-3	hsf-1	gei-12|CELE_F52D2.4	CELE_Y53C10A.12	Affinity Capture-MS	physical	Cipriani PG (2021)	34223818	6239	6239	High Throughput	-0.115498862	-	-	High confidence interactions were identified using a measure that combined fold-change of prey abundance as well as the p-value of a Student's t-test for experimental versus control purifications. Hit proteins were identified according to their p-value from the t SAM statistic as previously described (Chen et al., 2016). The t SAM statistic of the enrichment is provided in the score column.	-	BIOGRID
3704952	175783	173078	41010	38481	CELE_F54E7.3	Y53C10A.12	par-3	hsf-1	-	CELE_Y53C10A.12	Two-hybrid	physical	Lenfant N (2010)	21110867	6239	6239	High Throughput	-	-	-	-	-	BIOGRID

