#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
66659	176023	171607	41235	37111	CELE_T20H4.5	CELE_F53G12.5	T20H4.5	mex-3	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BIOGRID
67048	175195	171607	40470	37111	CELE_W07B3.2	CELE_F53G12.5	gei-4	mex-3	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BIOGRID
466569	175909	171607	41127	37111	C05D11.4	CELE_F53G12.5	let-756	mex-3	CELE_C05D11.4	-	Negative Genetic	genetic	Byrne AB (2007)	17897480	6239	6239	High Throughput	5.5714	-	organism development variant	A systematic genetic interaction analysis (SGI) was carried out to detect interactions between 11 query mutants and 858 target genes compromised by RNA interference (RNAi).  Interactions were determined using growth scores that indicated whether the resulting number of progeny from the double mutant was significantly different than that of single mutant controls.|Negative Genetic	-	BIOGRID
466570	181055	171607	45979	37111	C14F5.5	CELE_F53G12.5	sem-5	mex-3	CELE_C14F5.5	-	Negative Genetic	genetic	Byrne AB (2007)	17897480	6239	6239	High Throughput	5.25	-	organism development variant	A systematic genetic interaction analysis (SGI) was carried out to detect interactions between 11 query mutants and 858 target genes compromised by RNA interference (RNAi).  Interactions were determined using growth scores that indicated whether the resulting number of progeny from the double mutant was significantly different than that of single mutant controls.|Negative Genetic	-	BIOGRID
466571	181291	171607	46202	37111	CELE_F58A3.2	CELE_F53G12.5	egl-15	mex-3	-	-	Negative Genetic	genetic	Byrne AB (2007)	17897480	6239	6239	High Throughput	5.6667	-	organism development variant	A systematic genetic interaction analysis (SGI) was carried out to detect interactions between 11 query mutants and 858 target genes compromised by RNA interference (RNAi).  Interactions were determined using growth scores that indicated whether the resulting number of progeny from the double mutant was significantly different than that of single mutant controls.|Negative Genetic	-	BIOGRID
466572	178846	171607	43898	37111	T28F12.3	CELE_F53G12.5	sos-1	mex-3	CELE_T28F12.3|let-341	-	Negative Genetic	genetic	Byrne AB (2007)	17897480	6239	6239	High Throughput	3.0	-	organism development variant	A systematic genetic interaction analysis (SGI) was carried out to detect interactions between 11 query mutants and 858 target genes compromised by RNA interference (RNAi).  Interactions were determined using growth scores that indicated whether the resulting number of progeny from the double mutant was significantly different than that of single mutant controls.|Negative Genetic	-	BIOGRID
466573	175410	171607	40655	37111	CELE_Y55D5A.5	CELE_F53G12.5	daf-2	mex-3	-	-	Negative Genetic	genetic	Byrne AB (2007)	17897480	6239	6239	High Throughput	2.875	-	organism development variant	A systematic genetic interaction analysis (SGI) was carried out to detect interactions between 11 query mutants and 858 target genes compromised by RNA interference (RNAi).  Interactions were determined using growth scores that indicated whether the resulting number of progeny from the double mutant was significantly different than that of single mutant controls.|Negative Genetic	-	BIOGRID
466574	178104	171607	43199	37111	ZK792.6	CELE_F53G12.5	let-60	mex-3	CELE_ZK792.6|lin-34	-	Negative Genetic	genetic	Byrne AB (2007)	17897480	6239	6239	High Throughput	4.6875	-	organism development variant	A systematic genetic interaction analysis (SGI) was carried out to detect interactions between 11 query mutants and 858 target genes compromised by RNA interference (RNAi).  Interactions were determined using growth scores that indicated whether the resulting number of progeny from the double mutant was significantly different than that of single mutant controls.|Negative Genetic	-	BIOGRID
2833813	177703	171607	42811	37111	C09G9.6	CELE_F53G12.5	oma-1	mex-3	CELE_C09G9.6|moe-1	-	Two-hybrid	physical	Spike CA (2014)	25261697	6239	6239	Low Throughput	-	-	-	-	-	WORMBASE
2834500	172760	171607	38191	37111	CELE_C12C8.3	CELE_F53G12.5	lin-41	mex-3	-	-	Affinity Capture-MS	physical	Tsukamoto T (2017)	28576864	6239	6239	High Throughput	-	-	-	-	-	WORMBASE
