#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
242835	4968	6636	111018	112520	-	-	OGG1	SNRPF	HMMH|HOGG1|MUTM|OGH1	SMF|Sm-F|snRNP-F	Affinity Capture-MS	physical	Ewing RM (2007)	17353931	9606	9606	High Throughput	0.336	-	-	Exogenous expression of bait	-	BIOGRID
255508	4968	7515	111018	113349	-	-	OGG1	XRCC1	HMMH|HOGG1|MUTM|OGH1	RCC	Reconstituted Complex	physical	Marsin S (2003)	12933815	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
255509	4968	7515	111018	113349	-	-	OGG1	XRCC1	HMMH|HOGG1|MUTM|OGH1	RCC	Two-hybrid	physical	Marsin S (2003)	12933815	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
269784	4968	1114	111018	107539	-	-	OGG1	CHGB	HMMH|HOGG1|MUTM|OGH1	SCG1	Two-hybrid	physical	Stelzl U (2005)	16169070	9606	9606	High Throughput	1.0	-	-	-	-	BIOGRID
303650	5578	4968	111564	111018	-	-	PRKCA	OGG1	AAG6|PKC-alpha|PKCA|PRKACA	HMMH|HOGG1|MUTM|OGH1	Affinity Capture-Western	physical	Dantzer F (2002)	12034821	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
303651	5578	4968	111564	111018	-	-	PRKCA	OGG1	AAG6|PKC-alpha|PKCA|PRKACA	HMMH|HOGG1|MUTM|OGH1	Biochemical Activity	physical	Dantzer F (2002)	12034821	9606	9606	Low Throughput	-	Phosphorylation	-	-	-	BIOGRID
576210	18294	4968	201906	111018	-	-	Ogg1	OGG1	Mmh	HMMH|HOGG1|MUTM|OGH1	Affinity Capture-MS	physical	Hutchins JR (2010)	20360068	10090	9606	High Throughput	-	-	-	-	-	BIOGRID
717620	1161	4968	107581	111018	-	-	ERCC8	OGG1	CKN1|CSA|UVSS2	HMMH|HOGG1|MUTM|OGH1	Affinity Capture-Western	physical	Kamenisch Y (2010)	20100872	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
717622	2074	4968	108386	111018	-	-	ERCC6	OGG1	ARMD5|CKN2|COFS|COFS1|CSB|RAD26|UVSS1	HMMH|HOGG1|MUTM|OGH1	Affinity Capture-Western	physical	Kamenisch Y (2010)	20100872	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
2261075	187	4968	106693	111018	-	-	APLNR	OGG1	AGTRL1|APJ|APJR|HG11	HMMH|HOGG1|MUTM|OGH1	Affinity Capture-MS	physical	Huttlin EL (2017)	28514442	9606	9606	High Throughput	0.880404019	-	-	BioPlex 2.0 HEK 293T cells CompPASS score = 0.880404019, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 3.0 (PMID: 33961781) and may be re-scored from BioPlex 1.0 (PMID: 26186194). Only scores from within BioPlex 2.0 (PMID: 28514442) should be compared directly.	-	BIOGRID
2474570	1108	4968	107533	111018	-	-	CHD4	OGG1	CHD-4|Mi-2b|Mi2-BETA	HMMH|HOGG1|MUTM|OGH1	Affinity Capture-Western	physical	Xia L (2017)	28486105	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
2474571	4968	1108	111018	107533	-	-	OGG1	CHD4	HMMH|HOGG1|MUTM|OGH1	CHD-4|Mi-2b|Mi2-BETA	Affinity Capture-Western	physical	Xia L (2017)	28486105	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
2610468	4968	5810	111018	111771	-	-	OGG1	RAD1	HMMH|HOGG1|MUTM|OGH1	HRAD1|REC1	Affinity Capture-Western	physical	Park MJ (2009)	19615952	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
2610469	4968	5883	111018	111820	-	-	OGG1	RAD9A	HMMH|HOGG1|MUTM|OGH1	RAD9	Affinity Capture-Western	physical	Park MJ (2009)	19615952	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
2610470	4968	3364	111018	109596	-	tcag7.704	OGG1	HUS1	HMMH|HOGG1|MUTM|OGH1	hHUS1	Affinity Capture-Western	physical	Park MJ (2009)	19615952	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
2610471	5810	4968	111771	111018	-	-	RAD1	OGG1	HRAD1|REC1	HMMH|HOGG1|MUTM|OGH1	Reconstituted Complex	physical	Park MJ (2009)	19615952	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
2610472	5883	4968	111820	111018	-	-	RAD9A	OGG1	RAD9	HMMH|HOGG1|MUTM|OGH1	Reconstituted Complex	physical	Park MJ (2009)	19615952	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
2610473	3364	4968	109596	111018	tcag7.704	-	HUS1	OGG1	hHUS1	HMMH|HOGG1|MUTM|OGH1	Reconstituted Complex	physical	Park MJ (2009)	19615952	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
2954916	23586	4968	117121	111018	RP11-334P12.2	-	DDX58	OGG1	RIG-I|RIGI|RLR-1	HMMH|HOGG1|MUTM|OGH1	Affinity Capture-RNA	physical	Wu SF (2020)	32513696	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
2974128	23327	4968	116915	111018	-	-	NEDD4L	OGG1	NEDD4-2|NEDD4.2|RSP5|hNEDD4-2	HMMH|HOGG1|MUTM|OGH1	Biochemical Activity	physical	Hughes JR (2020)	33282879	9606	9606	Low Throughput	-	Ubiquitination	-	E2: UbcH5a, UbcH5b, UbcH5c, UbcH6 or UbcH7	-	BIOGRID
2974134	4968	23327	111018	116915	-	-	OGG1	NEDD4L	HMMH|HOGG1|MUTM|OGH1	NEDD4-2|NEDD4.2|RSP5|hNEDD4-2	Affinity Capture-Western	physical	Hughes JR (2020)	33282879	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
