#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
1280783	12932893	12934354	4261887	4263348	Y75_p0094	Y75_p2133	ftsZ	yeiW	-	-	Positive Genetic	genetic	Babu M (2011)	22125496	316407	316407	High Throughput	2.99106	-	-	Conditions: rich growth medium|Genetic interactions were considered significant if they had an E-score >= 2.0 for positive interactions (alleviating interactions) and E-score <= -2.0 for negative interactions (aggravating interactions).	-	BIOGRID
1281332	12932893	12932127	4261887	4261121	Y75_p0094	Y75_s0032	ftsZ	gcvB	-	-	Negative Genetic	genetic	Babu M (2011)	22125496	316407	316407	High Throughput	-20.0000002	-	-	Conditions: rich growth medium|Genetic interactions were considered significant if they had an E-score >= 2.0 for positive interactions (alleviating interactions) and E-score <= -2.0 for negative interactions (aggravating interactions).	-	BIOGRID
1281573	12932893	12932926	4261887	4261920	Y75_p0094	Y75_s0026	ftsZ	micF	-	-	Negative Genetic	genetic	Babu M (2011)	22125496	316407	316407	High Throughput	-20.0000002	-	-	Conditions: rich growth medium|Genetic interactions were considered significant if they had an E-score >= 2.0 for positive interactions (alleviating interactions) and E-score <= -2.0 for negative interactions (aggravating interactions).	-	BIOGRID
1281962	12932893	12933883	4261887	4262877	Y75_p0094	Y75_s0013	ftsZ	micC	-	-	Negative Genetic	genetic	Babu M (2011)	22125496	316407	316407	High Throughput	-20.0000002	-	-	Conditions: rich growth medium|Genetic interactions were considered significant if they had an E-score >= 2.0 for positive interactions (alleviating interactions) and E-score <= -2.0 for negative interactions (aggravating interactions).	-	BIOGRID
1282935	12932893	12930637	4261887	4259631	Y75_p0094	Y75_p1601	ftsZ	blr	-	-	Positive Genetic	genetic	Babu M (2011)	22125496	316407	316407	High Throughput	6.06236	-	-	Conditions: rich growth medium|Genetic interactions were considered significant if they had an E-score >= 2.0 for positive interactions (alleviating interactions) and E-score <= -2.0 for negative interactions (aggravating interactions).	-	BIOGRID
1283642	12932893	12932750	4261887	4261744	Y75_p0094	Y75_p4240	ftsZ	tsr	-	-	Positive Genetic	genetic	Babu M (2011)	22125496	316407	316407	High Throughput	6.30883	-	-	Conditions: rich growth medium|Genetic interactions were considered significant if they had an E-score >= 2.0 for positive interactions (alleviating interactions) and E-score <= -2.0 for negative interactions (aggravating interactions).	-	BIOGRID
1283741	12932893	12932751	4261887	4261745	Y75_p0094	Y75_p4239	ftsZ	yjiY	-	-	Positive Genetic	genetic	Babu M (2011)	22125496	316407	316407	High Throughput	2.72126	-	-	Conditions: rich growth medium|Genetic interactions were considered significant if they had an E-score >= 2.0 for positive interactions (alleviating interactions) and E-score <= -2.0 for negative interactions (aggravating interactions).	-	BIOGRID
1284367	12932893	12930382	4261887	4259376	Y75_p0094	Y75_p4194	ftsZ	yjhR	-	-	Negative Genetic	genetic	Babu M (2011)	22125496	316407	316407	High Throughput	-20.0000002	-	-	Conditions: rich growth medium|Genetic interactions were considered significant if they had an E-score >= 2.0 for positive interactions (alleviating interactions) and E-score <= -2.0 for negative interactions (aggravating interactions).	-	BIOGRID
1284601	12932893	12932560	4261887	4261554	Y75_p0094	Y75_p4174	ftsZ	fecA	-	-	Positive Genetic	genetic	Babu M (2011)	22125496	316407	316407	High Throughput	3.79909	-	-	Conditions: rich growth medium|Genetic interactions were considered significant if they had an E-score >= 2.0 for positive interactions (alleviating interactions) and E-score <= -2.0 for negative interactions (aggravating interactions).	-	BIOGRID
1284882	12932893	12933747	4261887	4262741	Y75_p0094	Y75_p4172	ftsZ	fecC	-	-	Positive Genetic	genetic	Babu M (2011)	22125496	316407	316407	High Throughput	2.45102	-	-	Conditions: rich growth medium|Genetic interactions were considered significant if they had an E-score >= 2.0 for positive interactions (alleviating interactions) and E-score <= -2.0 for negative interactions (aggravating interactions).	-	BIOGRID
1285070	12932893	12933746	4261887	4262740	Y75_p0094	Y75_p4171	ftsZ	fecD	-	-	Positive Genetic	genetic	Babu M (2011)	22125496	316407	316407	High Throughput	2.23975	-	-	Conditions: rich growth medium|Genetic interactions were considered significant if they had an E-score >= 2.0 for positive interactions (alleviating interactions) and E-score <= -2.0 for negative interactions (aggravating interactions).	-	BIOGRID
1285680	12932893	12930568	4261887	4259562	Y75_p0094	Y75_p4135	ftsZ	yjgK	-	-	Positive Genetic	genetic	Babu M (2011)	22125496	316407	316407	High Throughput	2.97257	-	-	Conditions: rich growth medium|Genetic interactions were considered significant if they had an E-score >= 2.0 for positive interactions (alleviating interactions) and E-score <= -2.0 for negative interactions (aggravating interactions).	-	BIOGRID
1285969	12932893	12930314	4261887	4259308	Y75_p0094	Y75_p4106	ftsZ	ytfM	-	-	Positive Genetic	genetic	Babu M (2011)	22125496	316407	316407	High Throughput	5.5677	-	-	Conditions: rich growth medium|Genetic interactions were considered significant if they had an E-score >= 2.0 for positive interactions (alleviating interactions) and E-score <= -2.0 for negative interactions (aggravating interactions).	-	BIOGRID
1286091	12932893	12930644	4261887	4259638	Y75_p0094	Y75_p4092	ftsZ	ytfB	-	-	Positive Genetic	genetic	Babu M (2011)	22125496	316407	316407	High Throughput	5.04268	-	-	Conditions: rich growth medium|Genetic interactions were considered significant if they had an E-score >= 2.0 for positive interactions (alleviating interactions) and E-score <= -2.0 for negative interactions (aggravating interactions).	-	BIOGRID
1286172	12932893	12933701	4261887	4262695	Y75_p0094	Y75_p4073	ftsZ	aidB	-	-	Positive Genetic	genetic	Babu M (2011)	22125496	316407	316407	High Throughput	2.4448	-	-	Conditions: rich growth medium|Genetic interactions were considered significant if they had an E-score >= 2.0 for positive interactions (alleviating interactions) and E-score <= -2.0 for negative interactions (aggravating interactions).	-	BIOGRID
1286609	12932893	12932259	4261887	4261253	Y75_p0094	Y75_p4060	ftsZ	hflK	-	-	Positive Genetic	genetic	Babu M (2011)	22125496	316407	316407	High Throughput	3.00746	-	-	Conditions: rich growth medium|Genetic interactions were considered significant if they had an E-score >= 2.0 for positive interactions (alleviating interactions) and E-score <= -2.0 for negative interactions (aggravating interactions).	-	BIOGRID
1286630	12932893	12932258	4261887	4261252	Y75_p0094	Y75_p4059	ftsZ	hflX	-	-	Negative Genetic	genetic	Babu M (2011)	22125496	316407	316407	High Throughput	-8.28772	-	-	Conditions: rich growth medium|Genetic interactions were considered significant if they had an E-score >= 2.0 for positive interactions (alleviating interactions) and E-score <= -2.0 for negative interactions (aggravating interactions).	-	BIOGRID
1287627	12932893	12933705	4261887	4262699	Y75_p0094	Y75_p4040	ftsZ	frdD	-	-	Positive Genetic	genetic	Babu M (2011)	22125496	316407	316407	High Throughput	2.35614	-	-	Conditions: rich growth medium|Genetic interactions were considered significant if they had an E-score >= 2.0 for positive interactions (alleviating interactions) and E-score <= -2.0 for negative interactions (aggravating interactions).	-	BIOGRID
1288212	12932893	12933693	4261887	4262687	Y75_p0094	Y75_p4031	ftsZ	yjeI	-	-	Positive Genetic	genetic	Babu M (2011)	22125496	316407	316407	High Throughput	2.03214	-	-	Conditions: rich growth medium|Genetic interactions were considered significant if they had an E-score >= 2.0 for positive interactions (alleviating interactions) and E-score <= -2.0 for negative interactions (aggravating interactions).	-	BIOGRID
1288424	12932893	12934083	4261887	4263077	Y75_p0094	Y75_p4030	ftsZ	groL	-	-	Negative Genetic	genetic	Babu M (2011)	22125496	316407	316407	High Throughput	-2.05756	-	-	Conditions: rich growth medium|Genetic interactions were considered significant if they had an E-score >= 2.0 for positive interactions (alleviating interactions) and E-score <= -2.0 for negative interactions (aggravating interactions).	-	BIOGRID
1288659	12932893	12933697	4261887	4262691	Y75_p0094	Y75_p4023	ftsZ	dipZ	-	-	Negative Genetic	genetic	Babu M (2011)	22125496	316407	316407	High Throughput	-20.0000002	-	-	Conditions: rich growth medium|Genetic interactions were considered significant if they had an E-score >= 2.0 for positive interactions (alleviating interactions) and E-score <= -2.0 for negative interactions (aggravating interactions).	-	BIOGRID
1289009	12932893	12933680	4261887	4262674	Y75_p0094	Y75_p3955	ftsZ	yjcH	-	-	Positive Genetic	genetic	Babu M (2011)	22125496	316407	316407	High Throughput	4.50141	-	-	Conditions: rich growth medium|Genetic interactions were considered significant if they had an E-score >= 2.0 for positive interactions (alleviating interactions) and E-score <= -2.0 for negative interactions (aggravating interactions).	-	BIOGRID
