#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
1405840	12930672	12930979	4259666	4259973	Y75_p4150	Y75_p0785	idnD	dps	-	-	Negative Genetic	genetic	Babu M (2014)	24586182	316407	316407	High Throughput	-3.85984	-	-	Conditions: rich growth medium|Genetic interactions were considered significant if they had an S-score >= 3.08809 for positive interactions (alleviating interactions) and S-score <= -3.38787 for negative interactions (aggravating interactions).	-	BIOGRID
1405841	12932418	12930979	4261412	4259973	Y75_p2934	Y75_p0785	exbB	dps	-	-	Negative Genetic	genetic	Babu M (2014)	24586182	316407	316407	High Throughput	-4.47796	-	-	Conditions: rich growth medium|Genetic interactions were considered significant if they had an S-score >= 3.08809 for positive interactions (alleviating interactions) and S-score <= -3.38787 for negative interactions (aggravating interactions).	-	BIOGRID
1405842	12933281	12930979	4262275	4259973	Y75_p2696	Y75_p0785	ygcJ	dps	-	-	Positive Genetic	genetic	Babu M (2014)	24586182	316407	316407	High Throughput	3.76014	-	-	Conditions: rich growth medium|Genetic interactions were considered significant if they had an S-score >= 3.08809 for positive interactions (alleviating interactions) and S-score <= -3.38787 for negative interactions (aggravating interactions).	-	BIOGRID
1405843	12932588	12930979	4261582	4259973	Y75_p2693	Y75_p0785	ygbT	dps	-	-	Positive Genetic	genetic	Babu M (2014)	24586182	316407	316407	High Throughput	3.56557	-	-	Conditions: rich growth medium|Genetic interactions were considered significant if they had an S-score >= 3.08809 for positive interactions (alleviating interactions) and S-score <= -3.38787 for negative interactions (aggravating interactions).	-	BIOGRID
1405844	12931030	12930979	4260024	4259973	Y75_p0919	Y75_p0785	ycbX	dps	-	-	Negative Genetic	genetic	Babu M (2014)	24586182	316407	316407	High Throughput	-10.3087	-	-	Conditions: rich growth medium|Genetic interactions were considered significant if they had an S-score >= 3.08809 for positive interactions (alleviating interactions) and S-score <= -3.38787 for negative interactions (aggravating interactions).	-	BIOGRID
1405845	12930987	12930979	4259981	4259973	Y75_p0802	Y75_p0785	yliA	dps	-	-	Negative Genetic	genetic	Babu M (2014)	24586182	316407	316407	High Throughput	-10.4862	-	-	Conditions: rich growth medium|Genetic interactions were considered significant if they had an S-score >= 3.08809 for positive interactions (alleviating interactions) and S-score <= -3.38787 for negative interactions (aggravating interactions).	-	BIOGRID
2363097	12930825	12930979	4259819	4259973	Y75_p0389	Y75_p0785	brnQ	dps	-	-	Affinity Capture-MS	physical	Babu M (2017)	29176613	316407	316407	High Throughput	7.496610031	-	-	Protein interactions were considered significant if they had a sum of log likelihood scores >= 5.26839785610029, i.e. LLS score >= 5.27.	-	BIOGRID
2363170	12930505	12930979	4259499	4259973	Y75_p0557	Y75_p0785	cusS	dps	-	-	Affinity Capture-MS	physical	Babu M (2017)	29176613	316407	316407	High Throughput	7.748751958	-	-	Protein interactions were considered significant if they had a sum of log likelihood scores >= 5.26839785610029, i.e. LLS score >= 5.27.	-	BIOGRID
2363477	12930977	12930979	4259971	4259973	Y75_p0783	Y75_p0785	glnP	dps	-	-	Affinity Capture-MS	physical	Babu M (2017)	29176613	316407	316407	High Throughput	7.145126331	-	-	Protein interactions were considered significant if they had a sum of log likelihood scores >= 5.26839785610029, i.e. LLS score >= 5.27.	-	BIOGRID
2363814	12932865	12930979	4261859	4259973	Y75_p0089	Y75_p0785	murG	dps	-	-	Affinity Capture-MS	physical	Babu M (2017)	29176613	316407	316407	High Throughput	6.716073322	-	-	Protein interactions were considered significant if they had a sum of log likelihood scores >= 5.26839785610029, i.e. LLS score >= 5.27.	-	BIOGRID
