#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
1382558	12931829	12932884	4260823	4261878	Y75_p3940	Y75_p3091	alr	nusA	-	-	Negative Genetic	genetic	Babu M (2014)	24586182	316407	316407	High Throughput	-4.51118	-	-	Conditions: rich growth medium|Genetic interactions were considered significant if they had an S-score >= 3.08809 for positive interactions (alleviating interactions) and S-score <= -3.38787 for negative interactions (aggravating interactions).	-	BIOGRID
1382559	12930288	12932884	4259282	4261878	Y75_p3122	Y75_p3091	rpoN	nusA	-	-	Negative Genetic	genetic	Babu M (2014)	24586182	316407	316407	High Throughput	-4.72544	-	-	Conditions: rich growth medium|Genetic interactions were considered significant if they had an S-score >= 3.08809 for positive interactions (alleviating interactions) and S-score <= -3.38787 for negative interactions (aggravating interactions).	-	BIOGRID
1382560	12933070	12932884	4262064	4261878	Y75_p3101	Y75_p3091	greA	nusA	-	-	Negative Genetic	genetic	Babu M (2014)	24586182	316407	316407	High Throughput	-4.0235	-	-	Conditions: rich growth medium|Genetic interactions were considered significant if they had an S-score >= 3.08809 for positive interactions (alleviating interactions) and S-score <= -3.38787 for negative interactions (aggravating interactions).	-	BIOGRID
1382561	12932164	12932884	4261158	4261878	Y75_p3058	Y75_p3091	agaS	nusA	-	-	Negative Genetic	genetic	Babu M (2014)	24586182	316407	316407	High Throughput	-4.33954	-	-	Conditions: rich growth medium|Genetic interactions were considered significant if they had an S-score >= 3.08809 for positive interactions (alleviating interactions) and S-score <= -3.38787 for negative interactions (aggravating interactions).	-	BIOGRID
1382562	12933326	12932884	4262320	4261878	Y75_p2800	Y75_p3091	xdhB	nusA	-	-	Negative Genetic	genetic	Babu M (2014)	24586182	316407	316407	High Throughput	-4.51733	-	-	Conditions: rich growth medium|Genetic interactions were considered significant if they had an S-score >= 3.08809 for positive interactions (alleviating interactions) and S-score <= -3.38787 for negative interactions (aggravating interactions).	-	BIOGRID
1382563	12931690	12932884	4260684	4261878	Y75_p2753	Y75_p3091	recD	nusA	-	-	Negative Genetic	genetic	Babu M (2014)	24586182	316407	316407	High Throughput	-4.17613	-	-	Conditions: rich growth medium|Genetic interactions were considered significant if they had an S-score >= 3.08809 for positive interactions (alleviating interactions) and S-score <= -3.38787 for negative interactions (aggravating interactions).	-	BIOGRID
1382564	12932129	12932884	4261123	4261878	Y75_p2748	Y75_p3091	ygdK	nusA	-	-	Negative Genetic	genetic	Babu M (2014)	24586182	316407	316407	High Throughput	-4.53459	-	-	Conditions: rich growth medium|Genetic interactions were considered significant if they had an S-score >= 3.08809 for positive interactions (alleviating interactions) and S-score <= -3.38787 for negative interactions (aggravating interactions).	-	BIOGRID
1382565	12932115	12932884	4261109	4261878	Y75_p2695	Y75_p3091	ygcI	nusA	-	-	Negative Genetic	genetic	Babu M (2014)	24586182	316407	316407	High Throughput	-7.12001	-	-	Conditions: rich growth medium|Genetic interactions were considered significant if they had an S-score >= 3.08809 for positive interactions (alleviating interactions) and S-score <= -3.38787 for negative interactions (aggravating interactions).	-	BIOGRID
1382566	12931625	12932884	4260619	4261878	Y75_p2542	Y75_p3091	yfiH	nusA	-	-	Negative Genetic	genetic	Babu M (2014)	24586182	316407	316407	High Throughput	-4.53003	-	-	Conditions: rich growth medium|Genetic interactions were considered significant if they had an S-score >= 3.08809 for positive interactions (alleviating interactions) and S-score <= -3.38787 for negative interactions (aggravating interactions).	-	BIOGRID
1382567	12930439	12932884	4259433	4261878	Y75_p2484	Y75_p3091	iscR	nusA	-	-	Negative Genetic	genetic	Babu M (2014)	24586182	316407	316407	High Throughput	-3.5757	-	-	Conditions: rich growth medium|Genetic interactions were considered significant if they had an S-score >= 3.08809 for positive interactions (alleviating interactions) and S-score <= -3.38787 for negative interactions (aggravating interactions).	-	BIOGRID
