#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
1375281	12932107	12933677	4261101	4262671	Y75_p3247	Y75_p3946	metL	ssb	-	-	Positive Genetic	genetic	Babu M (2014)	24586182	316407	316407	High Throughput	4.00947	-	-	Conditions: rich growth medium|Genetic interactions were considered significant if they had an S-score >= 3.08809 for positive interactions (alleviating interactions) and S-score <= -3.38787 for negative interactions (aggravating interactions).	-	BIOGRID
1375282	12933648	12933677	4262642	4262671	Y75_p3285	Y75_p3946	yiiL	ssb	-	-	Negative Genetic	genetic	Babu M (2014)	24586182	316407	316407	High Throughput	-3.70817	-	-	Conditions: rich growth medium|Genetic interactions were considered significant if they had an S-score >= 3.08809 for positive interactions (alleviating interactions) and S-score <= -3.38787 for negative interactions (aggravating interactions).	-	BIOGRID
1375283	12933596	12933677	4262590	4262671	Y75_p3486	Y75_p3946	ibpA	ssb	-	-	Positive Genetic	genetic	Babu M (2014)	24586182	316407	316407	High Throughput	4.00935	-	-	Conditions: rich growth medium|Genetic interactions were considered significant if they had an S-score >= 3.08809 for positive interactions (alleviating interactions) and S-score <= -3.38787 for negative interactions (aggravating interactions).	-	BIOGRID
1375284	12931815	12933677	4260809	4262671	Y75_p3487	Y75_p3946	ibpB	ssb	-	-	Positive Genetic	genetic	Babu M (2014)	24586182	316407	316407	High Throughput	6.18072	-	-	Conditions: rich growth medium|Genetic interactions were considered significant if they had an S-score >= 3.08809 for positive interactions (alleviating interactions) and S-score <= -3.38787 for negative interactions (aggravating interactions).	-	BIOGRID
1375285	12932225	12933677	4261219	4262671	Y75_p3762	Y75_p3946	gntY	ssb	-	-	Negative Genetic	genetic	Babu M (2014)	24586182	316407	316407	High Throughput	-5.10914	-	-	Conditions: rich growth medium|Genetic interactions were considered significant if they had an S-score >= 3.08809 for positive interactions (alleviating interactions) and S-score <= -3.38787 for negative interactions (aggravating interactions).	-	BIOGRID
1375286	12933070	12933677	4262064	4262671	Y75_p3101	Y75_p3946	greA	ssb	-	-	Negative Genetic	genetic	Babu M (2014)	24586182	316407	316407	High Throughput	-3.93344	-	-	Conditions: rich growth medium|Genetic interactions were considered significant if they had an S-score >= 3.08809 for positive interactions (alleviating interactions) and S-score <= -3.38787 for negative interactions (aggravating interactions).	-	BIOGRID
1375287	12933319	12933677	4262313	4262671	Y75_p2793	Y75_p3946	ygeO	ssb	-	-	Positive Genetic	genetic	Babu M (2014)	24586182	316407	316407	High Throughput	3.44148	-	-	Conditions: rich growth medium|Genetic interactions were considered significant if they had an S-score >= 3.08809 for positive interactions (alleviating interactions) and S-score <= -3.38787 for negative interactions (aggravating interactions).	-	BIOGRID
1375288	12933282	12933677	4262276	4262671	Y75_p2701	Y75_p3946	cysI	ssb	-	-	Negative Genetic	genetic	Babu M (2014)	24586182	316407	316407	High Throughput	-4.13496	-	-	Conditions: rich growth medium|Genetic interactions were considered significant if they had an S-score >= 3.08809 for positive interactions (alleviating interactions) and S-score <= -3.38787 for negative interactions (aggravating interactions).	-	BIOGRID
1375289	12931754	12933677	4260748	4262671	Y75_p2698	Y75_p3946	ygcL	ssb	-	-	Positive Genetic	genetic	Babu M (2014)	24586182	316407	316407	High Throughput	3.18826	-	-	Conditions: rich growth medium|Genetic interactions were considered significant if they had an S-score >= 3.08809 for positive interactions (alleviating interactions) and S-score <= -3.38787 for negative interactions (aggravating interactions).	-	BIOGRID
1375290	12932115	12933677	4261109	4262671	Y75_p2695	Y75_p3946	ygcI	ssb	-	-	Negative Genetic	genetic	Babu M (2014)	24586182	316407	316407	High Throughput	-6.5676	-	-	Conditions: rich growth medium|Genetic interactions were considered significant if they had an S-score >= 3.08809 for positive interactions (alleviating interactions) and S-score <= -3.38787 for negative interactions (aggravating interactions).	-	BIOGRID
1375291	12932586	12933677	4261580	4262671	Y75_p2694	Y75_p3946	ygcH	ssb	-	-	Positive Genetic	genetic	Babu M (2014)	24586182	316407	316407	High Throughput	4.51144	-	-	Conditions: rich growth medium|Genetic interactions were considered significant if they had an S-score >= 3.08809 for positive interactions (alleviating interactions) and S-score <= -3.38787 for negative interactions (aggravating interactions).	-	BIOGRID
1375292	12932588	12933677	4261582	4262671	Y75_p2693	Y75_p3946	ygbT	ssb	-	-	Positive Genetic	genetic	Babu M (2014)	24586182	316407	316407	High Throughput	4.24297	-	-	Conditions: rich growth medium|Genetic interactions were considered significant if they had an S-score >= 3.08809 for positive interactions (alleviating interactions) and S-score <= -3.38787 for negative interactions (aggravating interactions).	-	BIOGRID
1375293	12934517	12933677	4263511	4262671	Y75_p2483	Y75_p3946	iscS	ssb	-	-	Negative Genetic	genetic	Babu M (2014)	24586182	316407	316407	High Throughput	-3.79821	-	-	Conditions: rich growth medium|Genetic interactions were considered significant if they had an S-score >= 3.08809 for positive interactions (alleviating interactions) and S-score <= -3.38787 for negative interactions (aggravating interactions).	-	BIOGRID
1375294	12934043	12933677	4263037	4262671	Y75_p2480	Y75_p3946	hscB	ssb	-	-	Negative Genetic	genetic	Babu M (2014)	24586182	316407	316407	High Throughput	-4.26595	-	-	Conditions: rich growth medium|Genetic interactions were considered significant if they had an S-score >= 3.08809 for positive interactions (alleviating interactions) and S-score <= -3.38787 for negative interactions (aggravating interactions).	-	BIOGRID
1375295	12931521	12933677	4260515	4262671	Y75_p2266	Y75_p3946	yfcE	ssb	-	-	Positive Genetic	genetic	Babu M (2014)	24586182	316407	316407	High Throughput	3.37453	-	-	Conditions: rich growth medium|Genetic interactions were considered significant if they had an S-score >= 3.08809 for positive interactions (alleviating interactions) and S-score <= -3.38787 for negative interactions (aggravating interactions).	-	BIOGRID
1375296	12934542	12933677	4263536	4262671	Y75_p1798	Y75_p3946	cspC	ssb	-	-	Positive Genetic	genetic	Babu M (2014)	24586182	316407	316407	High Throughput	3.68815	-	-	Conditions: rich growth medium|Genetic interactions were considered significant if they had an S-score >= 3.08809 for positive interactions (alleviating interactions) and S-score <= -3.38787 for negative interactions (aggravating interactions).	-	BIOGRID
1375297	12931312	12933677	4260306	4262671	Y75_p1749	Y75_p3946	ydjJ	ssb	-	-	Negative Genetic	genetic	Babu M (2014)	24586182	316407	316407	High Throughput	-5.13753	-	-	Conditions: rich growth medium|Genetic interactions were considered significant if they had an S-score >= 3.08809 for positive interactions (alleviating interactions) and S-score <= -3.38787 for negative interactions (aggravating interactions).	-	BIOGRID
1375298	12931328	12933677	4260322	4262671	Y75_p1736	Y75_p3946	gdhA	ssb	-	-	Negative Genetic	genetic	Babu M (2014)	24586182	316407	316407	High Throughput	-4.84685	-	-	Conditions: rich growth medium|Genetic interactions were considered significant if they had an S-score >= 3.08809 for positive interactions (alleviating interactions) and S-score <= -3.38787 for negative interactions (aggravating interactions).	-	BIOGRID
1375299	12934488	12933677	4263482	4262671	Y75_p1217	Y75_p3946	oppA	ssb	-	-	Negative Genetic	genetic	Babu M (2014)	24586182	316407	316407	High Throughput	-6.46797	-	-	Conditions: rich growth medium|Genetic interactions were considered significant if they had an S-score >= 3.08809 for positive interactions (alleviating interactions) and S-score <= -3.38787 for negative interactions (aggravating interactions).	-	BIOGRID
1375300	12931077	12933677	4260071	4262671	Y75_p1067	Y75_p3946	yceG	ssb	-	-	Negative Genetic	genetic	Babu M (2014)	24586182	316407	316407	High Throughput	-4.91766	-	-	Conditions: rich growth medium|Genetic interactions were considered significant if they had an S-score >= 3.08809 for positive interactions (alleviating interactions) and S-score <= -3.38787 for negative interactions (aggravating interactions).	-	BIOGRID
1375301	12931038	12933677	4260032	4262671	Y75_p0929	Y75_p3946	ompA	ssb	-	-	Negative Genetic	genetic	Babu M (2014)	24586182	316407	316407	High Throughput	-5.41544	-	-	Conditions: rich growth medium|Genetic interactions were considered significant if they had an S-score >= 3.08809 for positive interactions (alleviating interactions) and S-score <= -3.38787 for negative interactions (aggravating interactions).	-	BIOGRID
1375302	12930987	12933677	4259981	4262671	Y75_p0802	Y75_p3946	yliA	ssb	-	-	Negative Genetic	genetic	Babu M (2014)	24586182	316407	316407	High Throughput	-4.08876	-	-	Conditions: rich growth medium|Genetic interactions were considered significant if they had an S-score >= 3.08809 for positive interactions (alleviating interactions) and S-score <= -3.38787 for negative interactions (aggravating interactions).	-	BIOGRID
