#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
1279912	12930420	12933057	4259414	4262051	Y75_p3533	Y75_s0002	ttk	sgrS	-	-	Positive Genetic	genetic	Babu M (2011)	22125496	316407	316407	High Throughput	2.38943	-	-	Conditions: rich growth medium|Genetic interactions were considered significant if they had an E-score >= 2.0 for positive interactions (alleviating interactions) and E-score <= -2.0 for negative interactions (aggravating interactions).	-	BIOGRID
1280276	12930420	12931895	4259414	4260889	Y75_p3533	Y75_p1140	ttk	ymgF	-	-	Positive Genetic	genetic	Babu M (2011)	22125496	316407	316407	High Throughput	3.19426	-	-	Conditions: rich growth medium|Genetic interactions were considered significant if they had an E-score >= 2.0 for positive interactions (alleviating interactions) and E-score <= -2.0 for negative interactions (aggravating interactions).	-	BIOGRID
1280538	12930420	12934354	4259414	4263348	Y75_p3533	Y75_p2133	ttk	yeiW	-	-	Negative Genetic	genetic	Babu M (2011)	22125496	316407	316407	High Throughput	-3.52589	-	-	Conditions: rich growth medium|Genetic interactions were considered significant if they had an E-score >= 2.0 for positive interactions (alleviating interactions) and E-score <= -2.0 for negative interactions (aggravating interactions).	-	BIOGRID
1280832	12930420	12932241	4259414	4261235	Y75_p3533	Y75_s0042	ttk	oxyS	-	-	Positive Genetic	genetic	Babu M (2011)	22125496	316407	316407	High Throughput	2.06698	-	-	Conditions: rich growth medium|Genetic interactions were considered significant if they had an E-score >= 2.0 for positive interactions (alleviating interactions) and E-score <= -2.0 for negative interactions (aggravating interactions).	-	BIOGRID
1281648	12930420	12933883	4259414	4262877	Y75_p3533	Y75_s0013	ttk	micC	-	-	Positive Genetic	genetic	Babu M (2011)	22125496	316407	316407	High Throughput	4.94888	-	-	Conditions: rich growth medium|Genetic interactions were considered significant if they had an E-score >= 2.0 for positive interactions (alleviating interactions) and E-score <= -2.0 for negative interactions (aggravating interactions).	-	BIOGRID
1282020	12930420	12933839	4259414	4262833	Y75_p3533	Y75_s0006	ttk	rybB	-	-	Positive Genetic	genetic	Babu M (2011)	22125496	316407	316407	High Throughput	2.07478	-	-	Conditions: rich growth medium|Genetic interactions were considered significant if they had an E-score >= 2.0 for positive interactions (alleviating interactions) and E-score <= -2.0 for negative interactions (aggravating interactions).	-	BIOGRID
1282388	12930420	12933123	4259414	4262117	Y75_p3533	Y75_p4035	ttk	ecnA	-	-	Positive Genetic	genetic	Babu M (2011)	22125496	316407	316407	High Throughput	2.62914	-	-	Conditions: rich growth medium|Genetic interactions were considered significant if they had an E-score >= 2.0 for positive interactions (alleviating interactions) and E-score <= -2.0 for negative interactions (aggravating interactions).	-	BIOGRID
1282965	12930420	12933112	4259414	4262106	Y75_p3533	Y75_p3382	ttk	rffT	-	-	Positive Genetic	genetic	Babu M (2011)	22125496	316407	316407	High Throughput	3.16059	-	-	Conditions: rich growth medium|Genetic interactions were considered significant if they had an E-score >= 2.0 for positive interactions (alleviating interactions) and E-score <= -2.0 for negative interactions (aggravating interactions).	-	BIOGRID
1286195	12930420	12933713	4259414	4262707	Y75_p3533	Y75_p4071	ttk	yjfM	-	-	Negative Genetic	genetic	Babu M (2011)	22125496	316407	316407	High Throughput	-2.25799	-	-	Conditions: rich growth medium|Genetic interactions were considered significant if they had an E-score >= 2.0 for positive interactions (alleviating interactions) and E-score <= -2.0 for negative interactions (aggravating interactions).	-	BIOGRID
1286381	12930420	12932259	4259414	4261253	Y75_p3533	Y75_p4060	ttk	hflK	-	-	Positive Genetic	genetic	Babu M (2011)	22125496	316407	316407	High Throughput	2.74593	-	-	Conditions: rich growth medium|Genetic interactions were considered significant if they had an E-score >= 2.0 for positive interactions (alleviating interactions) and E-score <= -2.0 for negative interactions (aggravating interactions).	-	BIOGRID
1286799	12930420	12932087	4259414	4261081	Y75_p3533	Y75_p4049	ttk	psd	-	-	Negative Genetic	genetic	Babu M (2011)	22125496	316407	316407	High Throughput	-6.27559	-	-	Conditions: rich growth medium|Genetic interactions were considered significant if they had an E-score >= 2.0 for positive interactions (alleviating interactions) and E-score <= -2.0 for negative interactions (aggravating interactions).	-	BIOGRID
1286890	12930420	12933707	4259414	4262701	Y75_p3533	Y75_p4042	ttk	frdB	-	-	Negative Genetic	genetic	Babu M (2011)	22125496	316407	316407	High Throughput	-6.35754	-	-	Conditions: rich growth medium|Genetic interactions were considered significant if they had an E-score >= 2.0 for positive interactions (alleviating interactions) and E-score <= -2.0 for negative interactions (aggravating interactions).	-	BIOGRID
1289025	12930420	12931829	4259414	4260823	Y75_p3533	Y75_p3940	ttk	alr	-	-	Negative Genetic	genetic	Babu M (2011)	22125496	316407	316407	High Throughput	-20.0000002	-	-	Conditions: rich growth medium|Genetic interactions were considered significant if they had an E-score >= 2.0 for positive interactions (alleviating interactions) and E-score <= -2.0 for negative interactions (aggravating interactions).	-	BIOGRID
1290210	12930420	12934457	4259414	4263451	Y75_p3533	Y75_p3195	ttk	yjaH	-	-	Negative Genetic	genetic	Babu M (2011)	22125496	316407	316407	High Throughput	-3.32748	-	-	Conditions: rich growth medium|Genetic interactions were considered significant if they had an E-score >= 2.0 for positive interactions (alleviating interactions) and E-score <= -2.0 for negative interactions (aggravating interactions).	-	BIOGRID
1291676	12930420	12934168	4259414	4263162	Y75_p3533	Y75_p3261	ttk	glpK	-	-	Positive Genetic	genetic	Babu M (2011)	22125496	316407	316407	High Throughput	3.45855	-	-	Conditions: rich growth medium|Genetic interactions were considered significant if they had an E-score >= 2.0 for positive interactions (alleviating interactions) and E-score <= -2.0 for negative interactions (aggravating interactions).	-	BIOGRID
1292003	12930420	12932224	4259414	4261218	Y75_p3533	Y75_p3269	ttk	cdh	-	-	Negative Genetic	genetic	Babu M (2011)	22125496	316407	316407	High Throughput	-20.0000002	-	-	Conditions: rich growth medium|Genetic interactions were considered significant if they had an E-score >= 2.0 for positive interactions (alleviating interactions) and E-score <= -2.0 for negative interactions (aggravating interactions).	-	BIOGRID
1292374	12930420	12933631	4259414	4262625	Y75_p3533	Y75_p3321	ttk	yihA	-	-	Negative Genetic	genetic	Babu M (2011)	22125496	316407	316407	High Throughput	-20.0000002	-	-	Conditions: rich growth medium|Genetic interactions were considered significant if they had an E-score >= 2.0 for positive interactions (alleviating interactions) and E-score <= -2.0 for negative interactions (aggravating interactions).	-	BIOGRID
1292468	12930420	12934454	4259414	4263448	Y75_p3533	Y75_p3334	ttk	fadB	-	-	Negative Genetic	genetic	Babu M (2011)	22125496	316407	316407	High Throughput	-20.0000002	-	-	Conditions: rich growth medium|Genetic interactions were considered significant if they had an E-score >= 2.0 for positive interactions (alleviating interactions) and E-score <= -2.0 for negative interactions (aggravating interactions).	-	BIOGRID
1292833	12930420	12930573	4259414	4259567	Y75_p3533	Y75_p3340	ttk	tatC	-	-	Negative Genetic	genetic	Babu M (2011)	22125496	316407	316407	High Throughput	-20.0000002	-	-	Conditions: rich growth medium|Genetic interactions were considered significant if they had an E-score >= 2.0 for positive interactions (alleviating interactions) and E-score <= -2.0 for negative interactions (aggravating interactions).	-	BIOGRID
1293018	12930420	12934061	4259414	4263055	Y75_p3533	Y75_p3342	ttk	tatA	-	-	Negative Genetic	genetic	Babu M (2011)	22125496	316407	316407	High Throughput	-2.73026	-	-	Conditions: rich growth medium|Genetic interactions were considered significant if they had an E-score >= 2.0 for positive interactions (alleviating interactions) and E-score <= -2.0 for negative interactions (aggravating interactions).	-	BIOGRID
1293730	12930420	12934524	4259414	4263518	Y75_p3533	Y75_p3381	ttk	wzyE	-	-	Negative Genetic	genetic	Babu M (2011)	22125496	316407	316407	High Throughput	-20.0000002	-	-	Conditions: rich growth medium|Genetic interactions were considered significant if they had an E-score >= 2.0 for positive interactions (alleviating interactions) and E-score <= -2.0 for negative interactions (aggravating interactions).	-	BIOGRID
1293969	12930420	12933113	4259414	4262107	Y75_p3533	Y75_p3383	ttk	wzxE	-	-	Negative Genetic	genetic	Babu M (2011)	22125496	316407	316407	High Throughput	-2.71503	-	-	Conditions: rich growth medium|Genetic interactions were considered significant if they had an E-score >= 2.0 for positive interactions (alleviating interactions) and E-score <= -2.0 for negative interactions (aggravating interactions).	-	BIOGRID
1294330	12930420	12932370	4259414	4261364	Y75_p3533	Y75_p3386	ttk	rffH	-	-	Negative Genetic	genetic	Babu M (2011)	22125496	316407	316407	High Throughput	-2.9388	-	-	Conditions: rich growth medium|Genetic interactions were considered significant if they had an E-score >= 2.0 for positive interactions (alleviating interactions) and E-score <= -2.0 for negative interactions (aggravating interactions).	-	BIOGRID
1294876	12930420	12934328	4259414	4263322	Y75_p3533	Y75_p3391	ttk	rfe	-	-	Negative Genetic	genetic	Babu M (2011)	22125496	316407	316407	High Throughput	-9.86941	-	-	Conditions: rich growth medium|Genetic interactions were considered significant if they had an E-score >= 2.0 for positive interactions (alleviating interactions) and E-score <= -2.0 for negative interactions (aggravating interactions).	-	BIOGRID
1296036	12933747	12930420	4262741	4259414	Y75_p4172	Y75_p3533	fecC	ttk	-	-	Positive Genetic	genetic	Babu M (2011)	22125496	316407	316407	High Throughput	2.45647	-	-	Conditions: rich growth medium|Genetic interactions were considered significant if they had an E-score >= 2.0 for positive interactions (alleviating interactions) and E-score <= -2.0 for negative interactions (aggravating interactions).	-	BIOGRID
1296037	12933746	12930420	4262740	4259414	Y75_p4171	Y75_p3533	fecD	ttk	-	-	Negative Genetic	genetic	Babu M (2011)	22125496	316407	316407	High Throughput	-3.98346	-	-	Conditions: rich growth medium|Genetic interactions were considered significant if they had an E-score >= 2.0 for positive interactions (alleviating interactions) and E-score <= -2.0 for negative interactions (aggravating interactions).	-	BIOGRID
1296038	12933706	12930420	4262700	4259414	Y75_p4041	Y75_p3533	frdC	ttk	-	-	Negative Genetic	genetic	Babu M (2011)	22125496	316407	316407	High Throughput	-20.0000002	-	-	Conditions: rich growth medium|Genetic interactions were considered significant if they had an E-score >= 2.0 for positive interactions (alleviating interactions) and E-score <= -2.0 for negative interactions (aggravating interactions).	-	BIOGRID
1296039	12933622	12930420	4262616	4259414	Y75_p3353	Y75_p3533	pldB	ttk	-	-	Positive Genetic	genetic	Babu M (2011)	22125496	316407	316407	High Throughput	2.34817	-	-	Conditions: rich growth medium|Genetic interactions were considered significant if they had an E-score >= 2.0 for positive interactions (alleviating interactions) and E-score <= -2.0 for negative interactions (aggravating interactions).	-	BIOGRID
1296040	12932409	12930420	4261403	4259414	Y75_p3565	Y75_p3533	secB	ttk	-	-	Positive Genetic	genetic	Babu M (2011)	22125496	316407	316407	High Throughput	2.54732	-	-	Conditions: rich growth medium|Genetic interactions were considered significant if they had an E-score >= 2.0 for positive interactions (alleviating interactions) and E-score <= -2.0 for negative interactions (aggravating interactions).	-	BIOGRID
1296041	12933517	12930420	4262511	4259414	Y75_p3695	Y75_p3533	yhhH	ttk	-	-	Negative Genetic	genetic	Babu M (2011)	22125496	316407	316407	High Throughput	-3.52132	-	-	Conditions: rich growth medium|Genetic interactions were considered significant if they had an E-score >= 2.0 for positive interactions (alleviating interactions) and E-score <= -2.0 for negative interactions (aggravating interactions).	-	BIOGRID
1296042	12932672	12930420	4261666	4259414	Y75_p3731	Y75_p3533	ggt	ttk	-	-	Negative Genetic	genetic	Babu M (2011)	22125496	316407	316407	High Throughput	-7.80682	-	-	Conditions: rich growth medium|Genetic interactions were considered significant if they had an E-score >= 2.0 for positive interactions (alleviating interactions) and E-score <= -2.0 for negative interactions (aggravating interactions).	-	BIOGRID
1296043	12933507	12930420	4262501	4259414	Y75_p3748	Y75_p3533	glgA	ttk	-	-	Negative Genetic	genetic	Babu M (2011)	22125496	316407	316407	High Throughput	-4.93452	-	-	Conditions: rich growth medium|Genetic interactions were considered significant if they had an E-score >= 2.0 for positive interactions (alleviating interactions) and E-score <= -2.0 for negative interactions (aggravating interactions).	-	BIOGRID
1296044	12933998	12930420	4262992	4259414	Y75_p3780	Y75_p3533	mrcA	ttk	-	-	Negative Genetic	genetic	Babu M (2011)	22125496	316407	316407	High Throughput	-3.05921	-	-	Conditions: rich growth medium|Genetic interactions were considered significant if they had an E-score >= 2.0 for positive interactions (alleviating interactions) and E-score <= -2.0 for negative interactions (aggravating interactions).	-	BIOGRID
1296045	12933252	12930420	4262246	4259414	Y75_p3847	Y75_p3533	gspH	ttk	-	-	Negative Genetic	genetic	Babu M (2011)	22125496	316407	316407	High Throughput	-2.60395	-	-	Conditions: rich growth medium|Genetic interactions were considered significant if they had an E-score >= 2.0 for positive interactions (alleviating interactions) and E-score <= -2.0 for negative interactions (aggravating interactions).	-	BIOGRID
1296046	12932947	12930420	4261941	4259414	Y75_p3169	Y75_p3533	mreC	ttk	-	-	Positive Genetic	genetic	Babu M (2011)	22125496	316407	316407	High Throughput	11.2818	-	-	Conditions: rich growth medium|Genetic interactions were considered significant if they had an E-score >= 2.0 for positive interactions (alleviating interactions) and E-score <= -2.0 for negative interactions (aggravating interactions).	-	BIOGRID
