#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
100392	852614	851142	33002	31682	YGL237C	YLR423C	HAP2	ATG17	L000000752	APG17|protein kinase regulatory subunit ATG17	Affinity Capture-MS	physical	Ho Y (2002)	11805837	559292	559292	High Throughput	-	-	-	-	-	BIOGRID
100842	852518	851142	32914	31682	YBR217W	YLR423C	ATG12	ATG17	APG12|L000004702	APG17|protein kinase regulatory subunit ATG17	Affinity Capture-MS	physical	Ho Y (2002)	11805837	559292	559292	High Throughput	-	-	-	-	-	BIOGRID
103546	855539	851142	35650	31682	YNL182C	YLR423C	IPI3	ATG17	-	APG17|protein kinase regulatory subunit ATG17	Affinity Capture-MS	physical	Ho Y (2002)	11805837	559292	559292	High Throughput	-	-	-	-	-	BIOGRID
105077	851142	851846	31682	32309	YLR423C	YDR259C	ATG17	YAP6	APG17|protein kinase regulatory subunit ATG17	HAL7|L000004344	Two-hybrid	physical	Ito T (2001)	11283351	559292	559292	High Throughput	-	-	-	-	-	BIOGRID
113582	851814	851142	32280	31682	YDR228C	YLR423C	PCF11	ATG17	L000004116	APG17|protein kinase regulatory subunit ATG17	Two-hybrid	physical	Uetz P (2000)	10688190	559292	559292	High Throughput	-	-	-	-	-	BIOGRID
113805	854938	851142	35102	31682	YML064C	YLR423C	TEM1	ATG17	Ras family GTPase TEM1|L000002282	APG17|protein kinase regulatory subunit ATG17	Two-hybrid	physical	Uetz P (2000)	10688190	559292	559292	High Throughput	-	-	-	-	-	BIOGRID
113844	852660	851142	33044	31682	YGL212W	YLR423C	VAM7	ATG17	VPL24|VPS43|L000002452	APG17|protein kinase regulatory subunit ATG17	Two-hybrid	physical	Uetz P (2000)	10688190	559292	559292	High Throughput	-	-	-	-	-	BIOGRID
114009	856604	851142	36631	31682	YHR197W	YLR423C	RIX1	ATG17	IPI2	APG17|protein kinase regulatory subunit ATG17	Two-hybrid	physical	Uetz P (2000)	10688190	559292	559292	High Throughput	-	-	-	-	-	BIOGRID
114072	851142	853017	31682	33365	YLR423C	YGR120C	ATG17	COG2	APG17|protein kinase regulatory subunit ATG17	SEC35|L000004877	Two-hybrid	physical	Uetz P (2000)	10688190	559292	559292	High Throughput	-	-	-	-	-	BIOGRID
136861	853416	851142	33724	31682	YJL036W	YLR423C	SNX4	ATG17	ATG24|CVT13|S000007467|L000004764	APG17|protein kinase regulatory subunit ATG17	Affinity Capture-Western	physical	Nice DC (2002)	12048214	559292	559292	Low Throughput	-	-	-	-	-	BIOGRID
143360	851142	851142	31682	31682	YLR423C	YLR423C	ATG17	ATG17	APG17|protein kinase regulatory subunit ATG17	APG17|protein kinase regulatory subunit ATG17	Two-hybrid	physical	Drees BL (2001)	11489916	559292	559292	High Throughput	-	-	-	-	-	BIOGRID
143361	851142	853958	31682	34214	YLR423C	YKR083C	ATG17	DAD2	APG17|protein kinase regulatory subunit ATG17	HSK1	Two-hybrid	physical	Drees BL (2001)	11489916	559292	559292	High Throughput	-	-	-	-	-	BIOGRID
143427	852398	851142	32806	31682	YBR102C	YLR423C	EXO84	ATG17	USA3|S000007470|L000003227	APG17|protein kinase regulatory subunit ATG17	Two-hybrid	physical	Drees BL (2001)	11489916	559292	559292	High Throughput	-	-	-	-	-	BIOGRID
143461	856418	851142	36454	31682	YHR023W	YLR423C	MYO1	ATG17	myosin 1|L000001222	APG17|protein kinase regulatory subunit ATG17	Two-hybrid	physical	Drees BL (2001)	11489916	559292	559292	High Throughput	-	-	-	-	-	BIOGRID
143464	855929	851142	36009	31682	YPL174C	YLR423C	NIP100	ATG17	PAC13|L000001254	APG17|protein kinase regulatory subunit ATG17	Two-hybrid	physical	Drees BL (2001)	11489916	559292	559292	High Throughput	-	-	-	-	-	BIOGRID
143477	856294	851142	36338	31682	YPR165W	YLR423C	RHO1	ATG17	Rho family GTPase RHO1|L000001630	APG17|protein kinase regulatory subunit ATG17	Two-hybrid	physical	Drees BL (2001)	11489916	559292	559292	High Throughput	-	-	-	-	-	BIOGRID
143485	855634	851142	35734	31682	YNL090W	YLR423C	RHO2	ATG17	Rho family GTPase RHO2|L000001631	APG17|protein kinase regulatory subunit ATG17	Two-hybrid	physical	Drees BL (2001)	11489916	559292	559292	High Throughput	-	-	-	-	-	BIOGRID
143522	852168	851142	32597	31682	YBL106C	YLR423C	SRO77	ATG17	SNI2|SOP2|L000004194	APG17|protein kinase regulatory subunit ATG17	Two-hybrid	physical	Drees BL (2001)	11489916	559292	559292	High Throughput	-	-	-	-	-	BIOGRID
149617	855836	851142	35923	31682	YPL240C	YLR423C	HSP82	ATG17	HSP90|Hsp90 family chaperone HSP82|L000000822	APG17|protein kinase regulatory subunit ATG17	Two-hybrid	physical	Zhao R (2005)	15766533	559292	559292	High Throughput	-	-	-	-	-	BIOGRID
149902	852695	851142	33074	31682	YGL180W	YLR423C	ATG1	ATG17	APG1|AUT3|CVT10|serine/threonine protein kinase ATG1|L000003955|S000028502|L000004761	APG17|protein kinase regulatory subunit ATG17	Affinity Capture-Western	physical	Kabeya Y (2005)	15743910	559292	559292	Low Throughput	-	-	-	-	-	BIOGRID
149903	851142	856315	31682	36357	YLR423C	YPR185W	ATG17	ATG13	APG17|protein kinase regulatory subunit ATG17	APG13|serine/threonine protein kinase regulatory subunit ATG13|L000003956	Affinity Capture-Western	physical	Kabeya Y (2005)	15743910	559292	559292	Low Throughput	-	-	-	-	-	BIOGRID
150460	856315	851142	36357	31682	YPR185W	YLR423C	ATG13	ATG17	APG13|serine/threonine protein kinase regulatory subunit ATG13|L000003956	APG17|protein kinase regulatory subunit ATG17	Two-hybrid	physical	Cheong H (2005)	15901835	559292	559292	Low Throughput	-	-	-	-	-	BIOGRID
150461	852695	851142	33074	31682	YGL180W	YLR423C	ATG1	ATG17	APG1|AUT3|CVT10|serine/threonine protein kinase ATG1|L000003955|S000028502|L000004761	APG17|protein kinase regulatory subunit ATG17	Two-hybrid	physical	Cheong H (2005)	15901835	559292	559292	Low Throughput	-	-	-	-	-	BIOGRID
150463	851142	852695	31682	33074	YLR423C	YGL180W	ATG17	ATG1	APG17|protein kinase regulatory subunit ATG17	APG1|AUT3|CVT10|serine/threonine protein kinase ATG1|L000003955|S000028502|L000004761	Affinity Capture-Western	physical	Cheong H (2005)	15901835	559292	559292	Low Throughput	-	-	-	-	-	BIOGRID
150464	851142	856315	31682	36357	YLR423C	YPR185W	ATG17	ATG13	APG17|protein kinase regulatory subunit ATG17	APG13|serine/threonine protein kinase regulatory subunit ATG13|L000003956	Affinity Capture-Western	physical	Cheong H (2005)	15901835	559292	559292	Low Throughput	-	-	-	-	-	BIOGRID
151102	856162	851142	36225	31682	YPR049C	YLR423C	ATG11	ATG17	CVT3|CVT9|autophagy protein ATG11|L000004760|L000004756|S000029130	APG17|protein kinase regulatory subunit ATG17	Two-hybrid	physical	Yorimitsu T (2005)	15659643	559292	559292	Low Throughput	-	-	-	-	-	BIOGRID
180809	852496	851142	32894	31682	YBR197C	YLR423C	YBR197C	ATG17	-	APG17|protein kinase regulatory subunit ATG17	Affinity Capture-MS	physical	Krogan NJ (2006)	16554755	559292	559292	High Throughput	-	-	-	-	-	BIOGRID
181448	851585	851142	32072	31682	YDR022C	YLR423C	ATG31	ATG17	CIS1|L000003475	APG17|protein kinase regulatory subunit ATG17	Affinity Capture-MS	physical	Krogan NJ (2006)	16554755	559292	559292	High Throughput	-	-	-	-	-	BIOGRID
184750	851142	854543	31682	34746	YLR423C	YOR361C	ATG17	PRT1	APG17|protein kinase regulatory subunit ATG17	CDC63|DNA26|L000001515	Affinity Capture-MS	physical	Krogan NJ (2006)	16554755	559292	559292	High Throughput	-	-	-	-	-	BIOGRID
184751	851142	855937	31682	36017	YLR423C	YPL166W	ATG17	ATG29	APG17|protein kinase regulatory subunit ATG17	-	Affinity Capture-MS	physical	Krogan NJ (2006)	16554755	559292	559292	High Throughput	-	-	-	-	-	BIOGRID
184752	851142	856162	31682	36225	YLR423C	YPR049C	ATG17	ATG11	APG17|protein kinase regulatory subunit ATG17	CVT3|CVT9|autophagy protein ATG11|L000004760|L000004756|S000029130	Affinity Capture-MS	physical	Krogan NJ (2006)	16554755	559292	559292	High Throughput	-	-	-	-	-	BIOGRID
186981	853621	851142	33911	31682	YJR156C	YLR423C	THI11	ATG17	L000003222	APG17|protein kinase regulatory subunit ATG17	Affinity Capture-MS	physical	Krogan NJ (2006)	16554755	559292	559292	High Throughput	-	-	-	-	-	BIOGRID
188818	851142	856162	31682	36225	YLR423C	YPR049C	ATG17	ATG11	APG17|protein kinase regulatory subunit ATG17	CVT3|CVT9|autophagy protein ATG11|L000004760|L000004756|S000029130	Affinity Capture-MS	physical	Gavin AC (2006)	16429126	559292	559292	High Throughput	-	-	-	-	-	BIOGRID
188819	851142	855937	31682	36017	YLR423C	YPL166W	ATG17	ATG29	APG17|protein kinase regulatory subunit ATG17	-	Affinity Capture-MS	physical	Gavin AC (2006)	16429126	559292	559292	High Throughput	-	-	-	-	-	BIOGRID
188820	855937	851142	36017	31682	YPL166W	YLR423C	ATG29	ATG17	-	APG17|protein kinase regulatory subunit ATG17	Affinity Capture-MS	physical	Gavin AC (2006)	16429126	559292	559292	High Throughput	-	-	-	-	-	BIOGRID
188821	856162	851142	36225	31682	YPR049C	YLR423C	ATG11	ATG17	CVT3|CVT9|autophagy protein ATG11|L000004760|L000004756|S000029130	APG17|protein kinase regulatory subunit ATG17	Affinity Capture-MS	physical	Gavin AC (2006)	16429126	559292	559292	High Throughput	-	-	-	-	-	BIOGRID
203554	855116	851142	35266	31682	YMR091C	YLR423C	NPL6	ATG17	RSC7|L000001272	APG17|protein kinase regulatory subunit ATG17	Synthetic Growth Defect	genetic	Wilson B (2006)	16204215	559292	559292	High Throughput	-	-	vegetative growth	Confirmed by tetrad or random spore analysis	-	BIOGRID
203875	854539	851142	34742	31682	YOR357C	YLR423C	SNX3	ATG17	GRD19|L000002931	APG17|protein kinase regulatory subunit ATG17	Two-hybrid	physical	Vollert CS (2004)	15263065	559292	559292	Low Throughput	-	-	-	-	-	BIOGRID
