#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
269145	841810	831999	27035	17275	AT1G53720	AT5G18810	CYP59	SCL28	ATCYP59|CYCLOPHILIN 59|F22G10.24|F22G10_24	F17K4.60|F17K4_60|SC35-like splicing factor 28	Reconstituted Complex	physical	Gullerova M (2006)	16497658	3702	3702	Low Throughput	-	-	-	-	-	BIOGRID
296914	831999	838997	17275	24235	AT5G18810	AT1G23860	SCL28	RSZP21	F17K4.60|F17K4_60|SC35-like splicing factor 28	RS-containing zinc finger protein 21|SRZ-21|SRZ21|T23E23.2|T23E23_2	Reconstituted Complex	physical	Lorkovic ZJ (2008)	18674533	3702	3702	Low Throughput	-	-	-	-	-	BIOGRID
296915	831999	839262	17275	24497	AT5G18810	AT1G02840	SCL28	SR1	F17K4.60|F17K4_60|SC35-like splicing factor 28	ATSRP34|F22D16.16|F22D16_16|SRP34	Reconstituted Complex	physical	Lorkovic ZJ (2008)	18674533	3702	3702	Low Throughput	-	-	-	-	-	BIOGRID
296916	831999	831999	17275	17275	AT5G18810	AT5G18810	SCL28	SCL28	F17K4.60|F17K4_60|SC35-like splicing factor 28	F17K4.60|F17K4_60|SC35-like splicing factor 28	Reconstituted Complex	physical	Lorkovic ZJ (2008)	18674533	3702	3702	Low Throughput	-	-	-	-	-	BIOGRID
296917	831999	824712	17275	10028	AT5G18810	AT3G55460	SCL28	SCL30	F17K4.60|F17K4_60|SC35-like splicing factor 28	SC35-like splicing factor 30	Reconstituted Complex	physical	Lorkovic ZJ (2008)	18674533	3702	3702	Low Throughput	-	-	-	-	-	BIOGRID
296918	831999	820559	17275	5893	AT5G18810	AT3G13570	SCL28	SCL30A	F17K4.60|F17K4_60|SC35-like splicing factor 28	SC35-like splicing factor 30A	Reconstituted Complex	physical	Lorkovic ZJ (2008)	18674533	3702	3702	Low Throughput	-	-	-	-	-	BIOGRID
296919	831999	837433	17275	22674	AT5G18810	AT1G09140	SCL28	ATSRP30	F17K4.60|F17K4_60|SC35-like splicing factor 28	ATSRP30.1|ATSRP30.2|SERINE-ARGININE PROTEIN 30|T12M4.19|T12M4_19	Reconstituted Complex	physical	Lorkovic ZJ (2008)	18674533	3702	3702	Low Throughput	-	-	-	-	-	BIOGRID
296923	824712	831999	10028	17275	AT3G55460	AT5G18810	SCL30	SCL28	SC35-like splicing factor 30	F17K4.60|F17K4_60|SC35-like splicing factor 28	Reconstituted Complex	physical	Lorkovic ZJ (2008)	18674533	3702	3702	Low Throughput	-	-	-	-	-	BIOGRID
296929	820559	831999	5893	17275	AT3G13570	AT5G18810	SCL30A	SCL28	SC35-like splicing factor 30A	F17K4.60|F17K4_60|SC35-like splicing factor 28	Reconstituted Complex	physical	Lorkovic ZJ (2008)	18674533	3702	3702	Low Throughput	-	-	-	-	-	BIOGRID
296932	841976	831999	27201	17275	AT1G55310	AT5G18810	SR33	SCL28	ATSCL33|F7A10.26|F7A10.27|F7A10_26|SC35-LIKE SPLICING FACTOR 33|SCL33	F17K4.60|F17K4_60|SC35-like splicing factor 28	Reconstituted Complex	physical	Lorkovic ZJ (2008)	18674533	3702	3702	Low Throughput	-	-	-	-	-	BIOGRID
