#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
575904	12412	144983	198534	126887	RP23-353J21.1	RP11-78J21.1	Cbx1	HNRNPA1L2	Cbx|Cbx-rs2|E430007M08Rik|HP1B|Hp1beta|M31|MOD1	-	Affinity Capture-MS	physical	Hutchins JR (2010)	20360068	10090	9606	High Throughput	-	-	-	-	-	BIOGRID
575910	79456	144983	219759	126887	-	RP11-78J21.1	Recql4	HNRNPA1L2	RecQ4	-	Affinity Capture-MS	physical	Hutchins JR (2010)	20360068	10090	9606	High Throughput	-	-	-	-	-	BIOGRID
577721	12534	144983	198624	126887	-	RP11-78J21.1	Cdk1	HNRNPA1L2	Cdc2|Cdc2a|p34[CDC2]	-	Affinity Capture-MS	physical	Hutchins JR (2010)	20360068	10090	9606	High Throughput	-	-	-	-	-	BIOGRID
577740	74107	144983	216498	126887	-	RP11-78J21.1	Cep55	HNRNPA1L2	1200008O12Rik|2700032M20Rik	-	Affinity Capture-MS	physical	Hutchins JR (2010)	20360068	10090	9606	High Throughput	-	-	-	-	-	BIOGRID
750032	9689	144983	115042	126887	-	RP11-78J21.1	BZW1	HNRNPA1L2	BZAP45|Nbla10236	-	Co-fractionation	physical	Havugimana PC (2012)	22939629	9606	9606	High Throughput	0.826	-	-	Denoised score >= 0.75	-	BIOGRID
752399	144983	220988	126887	128670	RP11-78J21.1	-	HNRNPA1L2	HNRNPA3	-	2610510D13Rik|D10S102|FBRNP|HNRPA3	Co-fractionation	physical	Havugimana PC (2012)	22939629	9606	9606	High Throughput	0.781	-	-	Denoised score >= 0.75	-	BIOGRID
753453	144983	5861	126887	111799	RP11-78J21.1	-	HNRNPA1L2	RAB1A	-	RAB1|YPT1	Co-fractionation	physical	Havugimana PC (2012)	22939629	9606	9606	High Throughput	0.765	-	-	Denoised score >= 0.75	-	BIOGRID
754235	144983	871	126887	107318	RP11-78J21.1	PIG14	HNRNPA1L2	SERPINH1	-	AsTP3|CBP1|CBP2|HSP47|OI10|PPROM|RA-A47|SERPINH2|gp46	Co-fractionation	physical	Havugimana PC (2012)	22939629	9606	9606	High Throughput	0.754	-	-	Denoised score >= 0.75	-	BIOGRID
797556	2099	144983	108403	126887	RP1-130E4.1	RP11-78J21.1	ESR1	HNRNPA1L2	ER|ESR|ESRA|ESTRR|Era|NR3A1	-	Affinity Capture-MS	physical	Tarallo R (2011)	21182205	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
837860	951475	144983	1205534	126887	HCVgp1	RP11-78J21.1	HCVgp1	HNRNPA1L2	-	-	Affinity Capture-MS	physical	Pichlmair A (2012)	22810585	11103	9606	High Throughput	-	-	-	We isolated interacting cellular proteins by tandem affinity purification (TAP) and analysed purified proteins by tandem mass spectrometry	-	BIOGRID
