#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
424436	79101	221830	122548	128759	-	-	TAF1D	TWISTNB	JOSD3|RAFI41|TAF(I)41|TAFI41	-	Affinity Capture-MS	physical	Sowa ME (2009)	19615732	9606	9606	High Throughput	5.12	-	-	exogenous expression of bait	-	BIOGRID
663591	1994	221830	108309	128759	-	-	ELAVL1	TWISTNB	ELAV1|HUR|Hua|MelG	-	Affinity Capture-RNA	physical	Abdelmohsen K (2009)	19322201	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
665800	409	221830	106902	128759	-	-	ARRB2	TWISTNB	ARB2|ARR2|BARR2	-	Affinity Capture-MS	physical	Xiao K (2007)	17620599	9606	9606	High Throughput	-	-	-	exogenous expression of bait	-	BIOGRID
824784	5501	221830	111495	128759	-	-	PPP1CC	TWISTNB	PP-1G|PP1C|PPP1G	-	Two-hybrid	physical	Fardilha M (2011)	21382349	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
859325	4350	221830	110490	128759	Z69720.1-002	-	MPG	TWISTNB	AAG|ADPG|APNG|CRA36.1|MDG|Mid1|PIG11|PIG16|anpg	-	Affinity Capture-MS	physical	Liang C (2013)	23537643	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
1182821	221830	84172	128759	123926	-	-	TWISTNB	POLR1B	-	RPA135|RPA2|Rpo1-2	Affinity Capture-MS	physical	Huttlin EL (2015)	26186194	9606	9606	High Throughput	0.979579811	-	-	BioPlex 1.0 HEK 293T cells CompPASS score = 0.979579811, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 2.0 (PMID: 28514442) and BioPlex 3.0 (PMID: 33961781). Only scores from within BioPlex 1.0 (PMID: 26186194) should be compared directly.	-	BIOGRID
1182822	221830	25885	128759	117396	-	-	TWISTNB	POLR1A	-	A190|RPA1|RPA194|RPO1-4|RPO14	Affinity Capture-MS	physical	Huttlin EL (2015)	26186194	9606	9606	High Throughput	0.982968141	-	-	BioPlex 1.0 HEK 293T cells CompPASS score = 0.982968141, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 2.0 (PMID: 28514442) and BioPlex 3.0 (PMID: 33961781). Only scores from within BioPlex 1.0 (PMID: 26186194) should be compared directly.	-	BIOGRID
1182823	221830	54700	128759	120102	-	-	TWISTNB	RRN3	-	A-270G1.2|TIFIA	Affinity Capture-MS	physical	Huttlin EL (2015)	26186194	9606	9606	High Throughput	0.999985362	-	-	BioPlex 1.0 HEK 293T cells CompPASS score = 0.999985362, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 2.0 (PMID: 28514442) and BioPlex 3.0 (PMID: 33961781). Only scores from within BioPlex 1.0 (PMID: 26186194) should be compared directly.	-	BIOGRID
1182824	221830	51082	128759	119272	-	-	TWISTNB	POLR1D	-	AC19|POLR1C|RPA16|RPA9|RPAC2|RPC16|RPO1-3|TCS2	Affinity Capture-MS	physical	Huttlin EL (2015)	26186194	9606	9606	High Throughput	0.954133195	-	-	BioPlex 1.0 HEK 293T cells CompPASS score = 0.954133195, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 2.0 (PMID: 28514442) and BioPlex 3.0 (PMID: 33961781). Only scores from within BioPlex 1.0 (PMID: 26186194) should be compared directly.	-	BIOGRID
1190027	7101	221830	112956	128759	RP3-429G5.1	-	NR2E1	TWISTNB	TLL|TLX|XTLL	-	Affinity Capture-MS	physical	Huttlin EL (2015)	26186194	9606	9606	High Throughput	0.969123446	-	-	BioPlex 1.0 HEK 293T cells CompPASS score = 0.969123446, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 2.0 (PMID: 28514442) and BioPlex 3.0 (PMID: 33961781). Only scores from within BioPlex 1.0 (PMID: 26186194) should be compared directly.	-	BIOGRID
