#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
832150	260305	58234	234431	208407	RP23-352D7.1	-	Nphp4	Shank3	4930564O18Rik|nmf192	AI841104|SHANK3c-3|SHANK3c-4|Shank3b	Affinity Capture-MS	physical	Sang L (2011)	21565611	10090	10090	High Throughput	-	-	-	-	-	BIOGRID
844761	58234	19713	208407	202865	-	-	Shank3	Ret	AI841104|SHANK3c-3|SHANK3c-4|Shank3b	PTC|RET51|RET9|c-Ret	Affinity Capture-Western	physical	Schuetz G (2004)	15569713	10090	10090	Low Throughput	-	-	-	-	-	BIOGRID
844762	58234	14784	208407	200046	-	RP23-28I4.1	Shank3	Grb2	AI841104|SHANK3c-3|SHANK3c-4|Shank3b	AA408164|Ash	Affinity Capture-Western	physical	Schuetz G (2004)	15569713	10090	10090	Low Throughput	-	-	-	-	-	BIOGRID
1526928	58234	20742	208407	203461	-	RP23-189P1.1	Shank3	Sptbn1	AI841104|SHANK3c-3|SHANK3c-4|Shank3b	9930031C03Rik|AL033301|SPTB2|Spnb-2|Spnb2|elf1|elf3|mKIAA4049	Affinity Capture-MS	physical	Li J (2016)	27507650	10090	10090	High Throughput	-	-	-	-	-	BIOGRID
1526929	58234	20740	208407	203459	-	RP23-443G7.6	Shank3	Sptan1	AI841104|SHANK3c-3|SHANK3c-4|Shank3b	2610027H02Rik|Spna-2|Spna2	Affinity Capture-MS	physical	Li J (2016)	27507650	10090	10090	High Throughput	-	-	-	-	-	BIOGRID
1526930	58234	20743	208407	203462	-	-	Shank3	Sptbn2	AI841104|SHANK3c-3|SHANK3c-4|Shank3b	Spnb3|mKIAA0302	Affinity Capture-MS	physical	Li J (2016)	27507650	10090	10090	High Throughput	-	-	-	-	-	BIOGRID
1526931	58234	12322	208407	198461	-	-	Shank3	Camk2a	AI841104|SHANK3c-3|SHANK3c-4|Shank3b	CaMKII|R74975|mKIAA0968	Affinity Capture-MS	physical	Li J (2016)	27507650	10090	10090	High Throughput	-	-	-	-	-	BIOGRID
1526932	58234	12323	208407	198462	-	RP23-340E18.5	Shank3	Camk2b	AI841104|SHANK3c-3|SHANK3c-4|Shank3b	-	Affinity Capture-MS	physical	Li J (2016)	27507650	10090	10090	High Throughput	-	-	-	-	-	BIOGRID
1526933	58234	54126	208407	207566	-	-	Shank3	Arhgef7	AI841104|SHANK3c-3|SHANK3c-4|Shank3b	Cool|PIX|Pak3bp|betaPix|betaPix-b|betaPix-c|cool-1|mKIAA0142|p85Cool1|p85SPR	Affinity Capture-MS	physical	Li J (2016)	27507650	10090	10090	High Throughput	-	-	-	-	-	BIOGRID
1526934	58234	13429	208407	199257	-	RP23-161B9.8	Shank3	Dnm1	AI841104|SHANK3c-3|SHANK3c-4|Shank3b	AI838169|Dnm|Ftfl|mKIAA4093	Affinity Capture-MS	physical	Li J (2016)	27507650	10090	10090	High Throughput	-	-	-	-	-	BIOGRID
