#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
253324	9924	255967	115252	129129	-	RP11-179F17.3	PAN2	PAN3	USP52	-	Affinity Capture-Western	physical	Uchida N (2004)	14583602	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
253325	9924	26986	115252	117939	-	-	PAN2	PABPC1	USP52	PAB1|PABP|PABP1|PABPC2|PABPL1	Affinity Capture-Western	physical	Uchida N (2004)	14583602	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
422930	9924	372	115252	106867	-	-	PAN2	ARCN1	USP52	COPD	Affinity Capture-MS	physical	Sowa ME (2009)	19615732	9606	9606	High Throughput	1.81	-	-	exogenous expression of bait	-	BIOGRID
423215	9924	5202	115252	111224	-	HSPC231	PAN2	PFDN2	USP52	PFD2	Affinity Capture-MS	physical	Sowa ME (2009)	19615732	9606	9606	High Throughput	1.02	-	-	exogenous expression of bait	-	BIOGRID
423233	9924	5339	115252	111355	-	-	PAN2	PLEC	USP52	EBS1|EBSO|HD1|LGMD2Q|PCN|PLEC1|PLEC1b|PLTN	Affinity Capture-MS	physical	Sowa ME (2009)	19615732	9606	9606	High Throughput	2.86	-	-	exogenous expression of bait	-	BIOGRID
423394	9924	6921	115252	112783	-	-	PAN2	TCEB1	USP52	SIII|eloC	Affinity Capture-MS	physical	Sowa ME (2009)	19615732	9606	9606	High Throughput	1.71	-	-	exogenous expression of bait	-	BIOGRID
423396	9924	6923	115252	112785	-	-	PAN2	TCEB2	USP52	ELOB|SIII	Affinity Capture-MS	physical	Sowa ME (2009)	19615732	9606	9606	High Throughput	3.13	-	-	exogenous expression of bait	-	BIOGRID
423432	9924	7411	115252	113254	-	RP13-228J13.4	PAN2	VBP1	USP52	PFD3|PFDN3|VBP-1	Affinity Capture-MS	physical	Sowa ME (2009)	19615732	9606	9606	High Throughput	3.13	-	-	exogenous expression of bait	-	BIOGRID
423663	9924	9688	115252	115041	-	-	PAN2	NUP93	USP52	NIC96	Affinity Capture-MS	physical	Sowa ME (2009)	19615732	9606	9606	High Throughput	2.56	-	-	exogenous expression of bait	-	BIOGRID
423754	9924	10574	115252	115825	-	-	PAN2	CCT7	USP52	CCTETA|CCTH|NIP7-1|TCP1ETA	Affinity Capture-MS	physical	Sowa ME (2009)	19615732	9606	9606	High Throughput	1.08	-	-	exogenous expression of bait	-	BIOGRID
424062	9924	54148	115252	119918	-	MSTP003	PAN2	MRPL39	USP52	C21orf92|L39mt|MRP-L5|MRPL5|PRED22|PRED66|RPML5	Affinity Capture-MS	physical	Sowa ME (2009)	19615732	9606	9606	High Throughput	2.0	-	-	exogenous expression of bait	-	BIOGRID
