#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
2545071	3640277	3639694	1223371	1222788	C6_03690W_A	CR_00610W_A	ALS5	IFF4	CA2852|orf6.4915|IPF21493.1|C6_03690W|ALA1|orf19.13158|Contig4-3044_0001|orf19.5736|ALS99|CaO6.4915|CaO19.5736|Contig4-2957_0018|C6_03690W_B|CaO19.13158|IPF19771.1	IPF2507.1|CaO6.8724|orf19.7472|CR_00610W|CaO19.7472|Contig4-3027_0015|CAWG_01420|CR_00610W_B|CA5819|orf6.8724	Negative Genetic	genetic	Shapiro RS (2018)	29062088	237561	237561	Low Throughput	-	-	competitive growth	CRISPR GI screen|Cell Line:C. albicans|Experimental Setup:Timecourse|GIST: A-phenotypic negative genetic interaction|Library:Targted Adhesin Candida Library|Significance Threshold: The authors report significant genetic interactions by a boolean method: -1 for significant negative interactions, 1 for significant positive interactions and 0 for no signifcant interactions in supp table 4	-	BIOGRID
2545083	3640277	3646790	1223371	1229883	C6_03690W_A	C4_03510C_A	ALS5	HWP2	CA2852|orf6.4915|IPF21493.1|C6_03690W|ALA1|orf19.13158|Contig4-3044_0001|orf19.5736|ALS99|CaO6.4915|CaO19.5736|Contig4-2957_0018|C6_03690W_B|CaO19.13158|IPF19771.1	CaO19.10888|Contig4-2768_0013|Contig4-2768_0012|CaO19.3380|CA1430|orf19.10888|C4_03510C_B|C4_03510C|PGA8|orf6.2933|IPF23887.1|IPF14331.2|CaO6.2933|orf19.3380|IPF14331	Negative Genetic	genetic	Shapiro RS (2018)	29062088	237561	237561	Low Throughput	-	-	competitive growth	CRISPR GI screen|Cell Line:C. albicans|Experimental Setup:Timecourse|GIST: A-phenotypic negative genetic interaction|Library:Targted Adhesin Candida Library|Significance Threshold: The authors report significant genetic interactions by a boolean method: -1 for significant negative interactions, 1 for significant positive interactions and 0 for no signifcant interactions in supp table 4	-	BIOGRID
2545084	3640277	3636068	1223371	1219162	C6_03690W_A	C1_13450W_A	ALS5	HYR1	CA2852|orf6.4915|IPF21493.1|C6_03690W|ALA1|orf19.13158|Contig4-3044_0001|orf19.5736|ALS99|CaO6.4915|CaO19.5736|Contig4-2957_0018|C6_03690W_B|CaO19.13158|IPF19771.1	C1_13450W|Contig4-2860_0006|C1_13450W_B|CA1576|IPF19734.1|orf6.3143|orf19.12440|IPF7957.2|CaO19.12440|GPX1|orf19.4975|HYR1.53|orf6.857|CaO19.4975|CaO6.857|CA0557|CaO6.3143|IPF19516.2	Negative Genetic	genetic	Shapiro RS (2018)	29062088	237561	237561	Low Throughput	-	-	competitive growth	CRISPR GI screen|Cell Line:C. albicans|Experimental Setup:Timecourse|GIST: A-phenotypic negative genetic interaction|Library:Targted Adhesin Candida Library|Significance Threshold: The authors report significant genetic interactions by a boolean method: -1 for significant negative interactions, 1 for significant positive interactions and 0 for no signifcant interactions in supp table 4	-	BIOGRID
2545085	3640277	3641352	1223371	1224445	C6_03690W_A	C7_03290C_A	ALS5	RBR3	CA2852|orf6.4915|IPF21493.1|C6_03690W|ALA1|orf19.13158|Contig4-3044_0001|orf19.5736|ALS99|CaO6.4915|CaO19.5736|Contig4-2957_0018|C6_03690W_B|CaO19.13158|IPF19771.1	C7_03290C|IPF17914.3eoc|CA0344|orf19.1346|IPF25998.1|CaO19.8926|orf6.3408|CaO6.1159|CaO6.3408|CaO6.3407|Contig4-2402_0004|IPF16164.3|orf6.3407|orf19.8926|IPF17914.3|IPF17914.2|CaO19.5123|CaO19.5124|CA1760|IFF1|IPF16302.3|C7_03290C_B|CaO19.12589|CaO19.1346|orf19.5124|orf19.5123|orf6.1159|orf19.12589|CaJ7.0381|CAWG_05662	Negative Genetic	genetic	Shapiro RS (2018)	29062088	237561	237561	Low Throughput	-	-	competitive growth	CRISPR GI screen|Cell Line:C. albicans|Experimental Setup:Timecourse|GIST: A-phenotypic negative genetic interaction|Library:Targted Adhesin Candida Library|Significance Threshold: The authors report significant genetic interactions by a boolean method: -1 for significant negative interactions, 1 for significant positive interactions and 0 for no signifcant interactions in supp table 4	-	BIOGRID
2545086	3640277	3646793	1223371	1228470	C6_03690W_A	C4_03520C_A	ALS5	RBT1	CA2852|orf6.4915|IPF21493.1|C6_03690W|ALA1|orf19.13158|Contig4-3044_0001|orf19.5736|ALS99|CaO6.4915|CaO19.5736|Contig4-2957_0018|C6_03690W_B|CaO19.13158|IPF19771.1	CaO6.2929|orf6.4889|CA2830|orf19.3384|CaO6.4889|CaO19.8907|orf19.1327|Contig4-2768_0006|orf19.8907|IPF16136.1|IPF15385.2|IPF19252.2|C4_03520C_B|CaO19.1327|IPF23893.1|CAWG_03456|RBT99|C4_03520C|CaO19.10892|CaO19.3384|CaO6.489|ECE99|orf6.489|orf6.2929|orf19.10892	Negative Genetic	genetic	Shapiro RS (2018)	29062088	237561	237561	Low Throughput	-	-	competitive growth	CRISPR GI screen|Cell Line:C. albicans|Experimental Setup:Timecourse|GIST: A-phenotypic negative genetic interaction|Library:Targted Adhesin Candida Library|Significance Threshold: The authors report significant genetic interactions by a boolean method: -1 for significant negative interactions, 1 for significant positive interactions and 0 for no signifcant interactions in supp table 4	-	BIOGRID
2545099	3647965	3640277	1228800	1223371	CR_07070C_A	C6_03690W_A	ALS3	ALS5	CR_07070C|CA0448|ALS10|ALS3-1|orf6.1614|ALS8|IPF12997.2|CaO19.9891|CA0591|CAWG_02005|orf19.1816|orf6.2760|IPF25511.1|ALS2|IPF24952.1|ALS3.5eoc|IPF12561.2|IPF12561.3|CaO6.2760|orf19.9379|CaO19.2355|CaO6.1614|CaO19.1816|CaO19.9379|orf19.2355|CR_07070C_B|orf19.9891	CA2852|orf6.4915|IPF21493.1|C6_03690W|ALA1|orf19.13158|Contig4-3044_0001|orf19.5736|ALS99|CaO6.4915|CaO19.5736|Contig4-2957_0018|C6_03690W_B|CaO19.13158|IPF19771.1	Negative Genetic	genetic	Shapiro RS (2018)	29062088	237561	237561	Low Throughput	-	-	competitive growth	CRISPR GI screen|Cell Line:C. albicans|Experimental Setup:Timecourse|GIST: A-phenotypic negative genetic interaction|Library:Targted Adhesin Candida Library|Significance Threshold: The authors report significant genetic interactions by a boolean method: -1 for significant negative interactions, 1 for significant positive interactions and 0 for no signifcant interactions in supp table 4	-	BIOGRID
2545104	3640277	3643684	1223371	1226778	C6_03690W_A	C2_09530W_A	ALS5	EAP1	CA2852|orf6.4915|IPF21493.1|C6_03690W|ALA1|orf19.13158|Contig4-3044_0001|orf19.5736|ALS99|CaO6.4915|CaO19.5736|Contig4-2957_0018|C6_03690W_B|CaO19.13158|IPF19771.1	CA3173|IPF14145|orf19.8979|CaO6.162|orf6.5354|C2_09530W_B|CaO6.5354|IPF7676.3|orf19.1401|orf6.162|CaO19.1401|PGA47|Contig4-2651_0004|CAWG_06028|IPF14145.2|CaO19.8979|C2_09530W	Negative Genetic	genetic	Shapiro RS (2018)	29062088	237561	237561	Low Throughput	-	-	competitive growth	CRISPR GI screen|Cell Line:C. albicans|Experimental Setup:Timecourse|GIST: A-phenotypic negative genetic interaction|Library:Targted Adhesin Candida Library|Significance Threshold: The authors report significant genetic interactions by a boolean method: -1 for significant negative interactions, 1 for significant positive interactions and 0 for no signifcant interactions in supp table 4	-	BIOGRID
2545112	3640280	3640277	1223374	1223371	C6_03700W_A	C6_03690W_A	ALS1	ALS5	orf19.13163|CA0316|C6_03700W_B|orf19.5741|CaO19.13163|IPF13002.1|CAWG_05003|C6_03700W|IPF21498.1|Contig4-2848_0008|IPF13002.2|orf6.1115|ALS1.3eoc|CaO19.5741|CaO6.1115	CA2852|orf6.4915|IPF21493.1|C6_03690W|ALA1|orf19.13158|Contig4-3044_0001|orf19.5736|ALS99|CaO6.4915|CaO19.5736|Contig4-2957_0018|C6_03690W_B|CaO19.13158|IPF19771.1	Negative Genetic	genetic	Shapiro RS (2018)	29062088	237561	237561	Low Throughput	-	-	competitive growth	CRISPR GI screen|Cell Line:C. albicans|Experimental Setup:Timecourse|GIST: A-phenotypic negative genetic interaction|Library:Targted Adhesin Candida Library|Significance Threshold: The authors report significant genetic interactions by a boolean method: -1 for significant negative interactions, 1 for significant positive interactions and 0 for no signifcant interactions in supp table 4	-	BIOGRID
2545201	3641352	3640277	1224445	1223371	C7_03290C_A	C6_03690W_A	RBR3	ALS5	C7_03290C|IPF17914.3eoc|CA0344|orf19.1346|IPF25998.1|CaO19.8926|orf6.3408|CaO6.1159|CaO6.3408|CaO6.3407|Contig4-2402_0004|IPF16164.3|orf6.3407|orf19.8926|IPF17914.3|IPF17914.2|CaO19.5123|CaO19.5124|CA1760|IFF1|IPF16302.3|C7_03290C_B|CaO19.12589|CaO19.1346|orf19.5124|orf19.5123|orf6.1159|orf19.12589|CaJ7.0381|CAWG_05662	CA2852|orf6.4915|IPF21493.1|C6_03690W|ALA1|orf19.13158|Contig4-3044_0001|orf19.5736|ALS99|CaO6.4915|CaO19.5736|Contig4-2957_0018|C6_03690W_B|CaO19.13158|IPF19771.1	Positive Genetic	genetic	Shapiro RS (2018)	29062088	237561	237561	Low Throughput	-	-	competitive growth	CRISPR GI screen|Cell Line:C. albicans|Experimental Setup:Timecourse, cells grown on biofilm vulnerable material: polystyrene|GIST: A-phenotypic positive genetic interaction|Library:Targted Adhesin Candida Library|Significance Threshold: The authors report significant genetic interactions by a boolean method: -1 for significant negative interactions, 1 for significant positive interactions and 0 for no signifcant interactions in supp table 4	-	BIOGRID
2545206	3645372	3640277	1228465	1223371	C4_03570W_A	C6_03690W_A	HWP1	ALS5	orf19.1321|CaO19.8901|IPF12916.1|CaO19.1321|C4_03570W|orf6.4883|C4_03570W_B|CaO6.4883|CA2825|ECE2|orf19.8901|CAWG_03451|Contig4-2436_0002|IPF26012.1	CA2852|orf6.4915|IPF21493.1|C6_03690W|ALA1|orf19.13158|Contig4-3044_0001|orf19.5736|ALS99|CaO6.4915|CaO19.5736|Contig4-2957_0018|C6_03690W_B|CaO19.13158|IPF19771.1	Positive Genetic	genetic	Shapiro RS (2018)	29062088	237561	237561	Low Throughput	-	-	competitive growth	CRISPR GI screen|Cell Line:C. albicans|Experimental Setup:Timecourse, cells grown on biofilm vulnerable material: pvc|GIST: A-phenotypic positive genetic interaction|Library:Targted Adhesin Candida Library|Significance Threshold: The authors report significant genetic interactions by a boolean method: -1 for significant negative interactions, 1 for significant positive interactions and 0 for no signifcant interactions in supp table 4	-	BIOGRID
