#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
2459393	3638010	3634999	1221104	1217875	C7_00080C_A	C1_10150W_A	SAC7	WOR1	IPF5642.1|Contig4-2995_0014|CAWG_05365|orf6.8438|CaJ7.0013|orf19.7115|CA5584|CaO6.8438|CaO19.7115|C7_00080C_B|C7_00080C	TOS9|CA1512|CAWG_00418|IPF15255.2|CaO19.12348|orf6.3050|IPF15255|orf19.12348|YEL007W|CaO6.3050|C1_10150W_B|CaO19.4884|IPF22376.1|orf19.4884|EAP2|C1_10150W|Contig4-2464_0001	Dosage Rescue	genetic	Yang SL (2018)	29343748	237561	237561	Low Throughput	-	-	colony color	-	-	BIOGRID
2459394	3642557	3634999	1225651	1217875	CR_02860W_A	C1_10150W_A	RHO1	WOR1	IPF11690.2|CaO19.10362|CaO19.2843|IPF24501.1|CR_02860W|Contig4-3058_0012|orf6.4937|CAWG_01622|CaO6.4937|orf19.2843|Contig4-2293_0002|CR_02860W_B|CA2866|orf19.10362	TOS9|CA1512|CAWG_00418|IPF15255.2|CaO19.12348|orf6.3050|IPF15255|orf19.12348|YEL007W|CaO6.3050|C1_10150W_B|CaO19.4884|IPF22376.1|orf19.4884|EAP2|C1_10150W|Contig4-2464_0001	Dosage Rescue	genetic	Yang SL (2018)	29343748	237561	237561	Low Throughput	-	-	colony color	-	-	BIOGRID
2459396	3641179	3634999	1224136	1217875	C4_04420W_A	C1_10150W_A	FGR3	WOR1	IPF23458.1|CAWG_03368|Contig4-3060_0032|C4_04420W_B|CaO6.7540|orf19.3845|IPF4078.1|orf19.11326|IPF4078|CA4868|orf6.7540|CaO19.3845|C4_04420W|CaO19.11326	TOS9|CA1512|CAWG_00418|IPF15255.2|CaO19.12348|orf6.3050|IPF15255|orf19.12348|YEL007W|CaO6.3050|C1_10150W_B|CaO19.4884|IPF22376.1|orf19.4884|EAP2|C1_10150W|Contig4-2464_0001	Affinity Capture-Western	physical	Yan M (2015)	26112173	237561	237561	Low Throughput	-	-	-	-	-	BIOGRID
2459398	3634999	3641179	1217875	1224136	C1_10150W_A	C4_04420W_A	WOR1	FGR3	TOS9|CA1512|CAWG_00418|IPF15255.2|CaO19.12348|orf6.3050|IPF15255|orf19.12348|YEL007W|CaO6.3050|C1_10150W_B|CaO19.4884|IPF22376.1|orf19.4884|EAP2|C1_10150W|Contig4-2464_0001	IPF23458.1|CAWG_03368|Contig4-3060_0032|C4_04420W_B|CaO6.7540|orf19.3845|IPF4078.1|orf19.11326|IPF4078|CA4868|orf6.7540|CaO19.3845|C4_04420W|CaO19.11326	Two-hybrid	physical	Yan M (2015)	26112173	237561	237561	Low Throughput	-	-	-	-	-	BIOGRID
2459399	3634999	3641179	1217875	1224136	C1_10150W_A	C4_04420W_A	WOR1	FGR3	TOS9|CA1512|CAWG_00418|IPF15255.2|CaO19.12348|orf6.3050|IPF15255|orf19.12348|YEL007W|CaO6.3050|C1_10150W_B|CaO19.4884|IPF22376.1|orf19.4884|EAP2|C1_10150W|Contig4-2464_0001	IPF23458.1|CAWG_03368|Contig4-3060_0032|C4_04420W_B|CaO6.7540|orf19.3845|IPF4078.1|orf19.11326|IPF4078|CA4868|orf6.7540|CaO19.3845|C4_04420W|CaO19.11326	Affinity Capture-Western	physical	Yan M (2015)	26112173	237561	237561	Low Throughput	-	-	-	-	-	BIOGRID
2515712	3634999	3634999	1217875	1217875	C1_10150W_A	C1_10150W_A	WOR1	WOR1	TOS9|CA1512|CAWG_00418|IPF15255.2|CaO19.12348|orf6.3050|IPF15255|orf19.12348|YEL007W|CaO6.3050|C1_10150W_B|CaO19.4884|IPF22376.1|orf19.4884|EAP2|C1_10150W|Contig4-2464_0001	TOS9|CA1512|CAWG_00418|IPF15255.2|CaO19.12348|orf6.3050|IPF15255|orf19.12348|YEL007W|CaO6.3050|C1_10150W_B|CaO19.4884|IPF22376.1|orf19.4884|EAP2|C1_10150W|Contig4-2464_0001	Affinity Capture-MS	physical	Alkafeef SS (2018)	29337983	237561	237561	High Throughput	-	-	-	-	-	BIOGRID
2515715	3634999	3639474	1217875	1222463	C1_10150W_A	C1_00060W_A	WOR1	TUP1	TOS9|CA1512|CAWG_00418|IPF15255.2|CaO19.12348|orf6.3050|IPF15255|orf19.12348|YEL007W|CaO6.3050|C1_10150W_B|CaO19.4884|IPF22376.1|orf19.4884|EAP2|C1_10150W|Contig4-2464_0001	IPF21053.1|IPF4657.2|C1_00060W|orf19.6109|CaO19.13528|CaO6.6232|CA3852|C1_00060W_B|orf6.6232|orf19.13528|CaO19.6109|CAWG_01360	Affinity Capture-MS	physical	Alkafeef SS (2018)	29337983	237561	237561	High Throughput	-	-	-	-	-	BIOGRID
2515716	3634999	3644550	1217875	1227583	C1_10150W_A	C1_11330C_A	WOR1	SMT3	TOS9|CA1512|CAWG_00418|IPF15255.2|CaO19.12348|orf6.3050|IPF15255|orf19.12348|YEL007W|CaO6.3050|C1_10150W_B|CaO19.4884|IPF22376.1|orf19.4884|EAP2|C1_10150W|Contig4-2464_0001	C1_11330C_B|CaO19.670|Contig4-2917_0002|CAWG_00303|IPF20158.1|orf19.8287|CaO6.6563|orf19.670|CaO19.8287|Contig4-2322_0001|IPF26656.1|orf6.6563|C1_11330C|CA4105	Affinity Capture-MS	physical	Alkafeef SS (2018)	29337983	237561	237561	High Throughput	-	-	-	-	-	BIOGRID
2515717	3634999	3646484	1217875	1229577	C1_10150W_A	C1_08500C_A	WOR1	ENO1	TOS9|CA1512|CAWG_00418|IPF15255.2|CaO19.12348|orf6.3050|IPF15255|orf19.12348|YEL007W|CaO6.3050|C1_10150W_B|CaO19.4884|IPF22376.1|orf19.4884|EAP2|C1_10150W|Contig4-2464_0001	Contig4-3031_0010|CAWG_00576|CA3874|CaO19.395|C1_08500C|C1_08500C_B|CaO19.8025|IPF26917.1|ENO|IPF14429.2|orf19.8025|orf6.6269|orf19.395|CaO6.6269	Affinity Capture-MS	physical	Alkafeef SS (2018)	29337983	237561	237561	High Throughput	-	-	-	-	-	BIOGRID
2515718	3634999	3639464	1217875	1222435	C1_10150W_A	C1_00160C_A	WOR1	C1_00160C_A	TOS9|CA1512|CAWG_00418|IPF15255.2|CaO19.12348|orf6.3050|IPF15255|orf19.12348|YEL007W|CaO6.3050|C1_10150W_B|CaO19.4884|IPF22376.1|orf19.4884|EAP2|C1_10150W|Contig4-2464_0001	orf19.6090|CA3862|Contig4-2998_0012|CaO19.13509|CaO19.6090|CaO6.6252|C1_00160C|CAWG_01349|IPF21063.1|IPF4616.2|orf6.6252|orf19.13509|C1_00160C_B|NSR1	Affinity Capture-MS	physical	Alkafeef SS (2018)	29337983	237561	237561	High Throughput	-	-	-	-	-	BIOGRID
