#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
121689	83755	143684	123756	126816	-	-	KRTAP4-12	FAM76B	KAP4.12|KRTAP4.12	-	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
663465	1994	143684	108309	126816	-	-	ELAVL1	FAM76B	ELAV1|HUR|Hua|MelG	-	Affinity Capture-RNA	physical	Abdelmohsen K (2009)	19322201	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
907257	6733	143684	112611	126816	-	-	SRPK2	FAM76B	SFRSK2	-	Biochemical Activity	physical	Varjosalo M (2013)	23602568	9606	9606	High Throughput	-	Phosphorylation	-	Substrate (Hit) was protein microarray; all hits had Z-score greater than 0.25	-	BIOGRID
907415	6732	143684	112610	126816	RP3-422H11.1	-	SRPK1	FAM76B	SFRSK1	-	Biochemical Activity	physical	Varjosalo M (2013)	23602568	9606	9606	High Throughput	-	Phosphorylation	-	Substrate (Hit) was protein microarray; all hits had Z-score greater than 0.25	-	BIOGRID
918718	143684	10419	126816	115688	-	-	FAM76B	PRMT5	-	HRMT1L5|IBP72|JBP1|SKB1|SKB1Hs	Two-hybrid	physical	Weimann M (2013)	23455924	9606	9606	High Throughput	-	-	-	Hit identified by mass spec	-	BIOGRID
1039419	3846	143684	110044	126816	-	-	KRTAP5-9	FAM76B	KRN1|KRTAP5-1|KRTAP5.9	-	Two-hybrid	physical	Rolland T (2014)	25416956	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1049406	83899	143684	123810	126816	-	-	KRTAP9-2	FAM76B	KAP9.2|KRTAP9.2	-	Two-hybrid	physical	Rolland T (2014)	25416956	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1049679	100132476	143684	124451	126816	hCG_1818025	-	KRTAP4-7	FAM76B	KAP4.7|KRTAP4.7	-	Two-hybrid	physical	Rolland T (2014)	25416956	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1050121	143684	386675	126816	132126	-	-	FAM76B	KRTAP10-7	-	KAP10.7|KAP18.7|KRTAP18-7	Two-hybrid	physical	Rolland T (2014)	25416956	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1050122	143684	386676	126816	132127	-	-	FAM76B	KRTAP10-9	-	KAP10.9|KAP18.9|KRTAP18-9	Two-hybrid	physical	Rolland T (2014)	25416956	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1050123	143684	386677	126816	132128	-	-	FAM76B	KRTAP10-1	-	KAP10.1|KAP18-1|KAP18.1|KRTAP10.1|KRTAP18-1|KRTAP18.1	Two-hybrid	physical	Rolland T (2014)	25416956	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1050124	143684	386678	126816	132129	-	-	FAM76B	KRTAP10-11	-	KAP10.11|KAP18.11|KRTAP18-11|KRTAP18.11	Two-hybrid	physical	Rolland T (2014)	25416956	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1050125	143684	386680	126816	132131	-	-	FAM76B	KRTAP10-5	-	KAP10.5|KAP18-5|KAP18.5|KRTAP10.5|KRTAP18-5|KRTAP18.1|KRTAP18.5	Two-hybrid	physical	Rolland T (2014)	25416956	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1050126	143684	386681	126816	132132	-	-	FAM76B	KRTAP10-8	-	KAP10.8|KRTAP18-8|KRTAP18.8	Two-hybrid	physical	Rolland T (2014)	25416956	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
