#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
504245	155871	57674	1205541	121705	HIV1gp5	hCG_1812857	tat	RNF213	-	ALO17|C17orf27|KIAA1618|MYMY2|MYSTR|NET57	Reconstituted Complex	physical	Gautier VW (2009)	19454010	11676	9606	High Throughput	-	-	-	HIV 1: Protein TAT|High Throughput: An in vitro GST-Tat pull-down assay was performed using nuclear extracts from Jurkat cells followed by mass spectrometric analysis to identify interacting proteins.	-	BIOGRID
561062	7316	57674	113164	121705	-	hCG_1812857	UBC	RNF213	HMG20	ALO17|C17orf27|KIAA1618|MYMY2|MYSTR|NET57	Affinity Capture-MS	physical	Matsumoto M (2005)	16196087	9606	9606	High Throughput	-	-	-	#LPPI|Likely protein-protein interaction|native only	-	BIOGRID
838374	155945	57674	1205543	121705	HIV1gp7	hCG_1812857	vpu	RNF213	-	ALO17|C17orf27|KIAA1618|MYMY2|MYSTR|NET57	Affinity Capture-MS	physical	Jaeger S (2012)	22190034	11676	9606	High Throughput	-	-	-	HIV1 gene: vpu P05919|PRO_0000085433|P05919#PRO_0000085433|NP_057855.1, protein: vpu P05919|NP_057855.1	-	BIOGRID
844460	84733	57674	124228	121705	-	hCG_1812857	CBX2	RNF213	CDCA6|M33|SRXY5	ALO17|C17orf27|KIAA1618|MYMY2|MYSTR|NET57	Affinity Capture-MS	physical	Vandamme J (2011)	21282530	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
844486	8535	57674	114105	121705	-	hCG_1812857	CBX4	RNF213	NBP16|PC2	ALO17|C17orf27|KIAA1618|MYMY2|MYSTR|NET57	Affinity Capture-MS	physical	Vandamme J (2011)	21282530	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
844528	23466	57674	117028	121705	RP3-327J16.5	hCG_1812857	CBX6	RNF213	-	ALO17|C17orf27|KIAA1618|MYMY2|MYSTR|NET57	Affinity Capture-MS	physical	Vandamme J (2011)	21282530	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
887322	1956	57674	108276	121705	-	hCG_1812857	EGFR	RNF213	ERBB|ERBB1|HER1|NISBD2|PIG61|mENA	ALO17|C17orf27|KIAA1618|MYMY2|MYSTR|NET57	Affinity Capture-MS	physical	Foerster S (2013)	23956138	9606	9606	Low Throughput|High Throughput	-	-	-	-	-	BIOGRID
891927	219348	57674	128524	121705	RP11-369J21.8	hCG_1812857	PLAC9	RNF213	-	ALO17|C17orf27|KIAA1618|MYMY2|MYSTR|NET57	Two-hybrid	physical	Wang J (2011)	21988832	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
937886	57674	57674	121705	121705	hCG_1812857	hCG_1812857	RNF213	RNF213	ALO17|C17orf27|KIAA1618|MYMY2|MYSTR|NET57	ALO17|C17orf27|KIAA1618|MYMY2|MYSTR|NET57	Affinity Capture-Western	physical	Morito D (2014)	24658080	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
1036996	373	57674	106868	121705	-	hCG_1812857	TRIM23	RNF213	ARD1|ARFD1|RNF46	ALO17|C17orf27|KIAA1618|MYMY2|MYSTR|NET57	Two-hybrid	physical	Rolland T (2014)	25416956	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1038712	2801	57674	109063	121705	RP11-395P17.5	hCG_1812857	GOLGA2	RNF213	GM130	ALO17|C17orf27|KIAA1618|MYMY2|MYSTR|NET57	Two-hybrid	physical	Rolland T (2014)	25416956	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1041579	5966	57674	111898	121705	-	hCG_1812857	REL	RNF213	C-Rel	ALO17|C17orf27|KIAA1618|MYMY2|MYSTR|NET57	Two-hybrid	physical	Rolland T (2014)	25416956	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1041723	5987	57674	111919	121705	DAAP-182E11.3	hCG_1812857	TRIM27	RNF213	RFP|RNF76	ALO17|C17orf27|KIAA1618|MYMY2|MYSTR|NET57	Two-hybrid	physical	Rolland T (2014)	25416956	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1043053	7205	57674	113056	121705	tcag7.1300	hCG_1812857	TRIP6	RNF213	OIP-1|OIP1|TRIP-6|TRIP6i2|ZRP-1	ALO17|C17orf27|KIAA1618|MYMY2|MYSTR|NET57	Two-hybrid	physical	Rolland T (2014)	25416956	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
