#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
315459	21804	216963	204158	229822	-	RP23-81E16.3	Tgfb1i1	Git1	ARA55|Hic5|TSC-5|hic-5	Cat-1|p95Cat	Two-hybrid	physical	Nishiya N (2002)	12153727	10090	10090	Low Throughput	-	-	-	-	-	BIOGRID
315465	21804	216963	204158	229822	-	RP23-81E16.3	Tgfb1i1	Git1	ARA55|Hic5|TSC-5|hic-5	Cat-1|p95Cat	Affinity Capture-Western	physical	Nishiya N (2002)	12153727	10090	10090	Low Throughput	-	-	-	-	-	BIOGRID
315466	19303	216963	202525	229822	-	RP23-81E16.3	Pxn	Git1	AW108311|AW123232|Pax	Cat-1|p95Cat	Affinity Capture-Western	physical	Nishiya N (2002)	12153727	10090	10090	Low Throughput	-	-	-	-	-	BIOGRID
573459	22627	216963	204619	229822	RP23-78H4.1	RP23-81E16.3	Ywhae	Git1	AU019196	Cat-1|p95Cat	Affinity Capture-MS	physical	Ballif BA (2006)	16944949	10090	10090	High Throughput	-	-	-	-	-	BIOGRID
677656	216963	72183	229822	215205	RP23-81E16.3	-	Git1	Snx6	Cat-1|p95Cat	2010006G21Rik|2610032J07Rik|2810425K19Rik|AU018928|C85963	Two-hybrid	physical	Cavet ME (2008)	18523162	10090	10090	Low Throughput	-	-	-	-	-	BIOGRID
677657	72183	216963	215205	229822	-	RP23-81E16.3	Snx6	Git1	2010006G21Rik|2610032J07Rik|2810425K19Rik|AU018928|C85963	Cat-1|p95Cat	Affinity Capture-Western	physical	Cavet ME (2008)	18523162	10090	10090	Low Throughput	-	-	-	-	-	BIOGRID
834783	22631	216963	204623	229822	-	RP23-81E16.3	Ywhaz	Git1	1110013I11Rik|14-3-3zeta|AI596267|AL022924|AU020854	Cat-1|p95Cat	Affinity Capture-MS	physical	Angrand PO (2006)	16959763	10090	10090	High Throughput	-	-	-	-	-	BIOGRID
834901	73341	216963	215941	229822	RP23-372E6.1	RP23-81E16.3	Arhgef6	Git1	1600028C08Rik|1700038J06Rik|4930592P22Rik|alpha-PIX	Cat-1|p95Cat	Affinity Capture-Western	physical	Angrand PO (2006)	16959763	10090	10090	Low Throughput	-	-	-	-	-	BIOGRID
834902	54126	216963	207566	229822	-	RP23-81E16.3	Arhgef7	Git1	Cool|PIX|Pak3bp|betaPix|betaPix-b|betaPix-c|cool-1|mKIAA0142|p85Cool1|p85SPR	Cat-1|p95Cat	Affinity Capture-Western	physical	Angrand PO (2006)	16959763	10090	10090	Low Throughput	-	-	-	-	-	BIOGRID
834904	22631	216963	204623	229822	-	RP23-81E16.3	Ywhaz	Git1	1110013I11Rik|14-3-3zeta|AI596267|AL022924|AU020854	Cat-1|p95Cat	Affinity Capture-Western	physical	Angrand PO (2006)	16959763	10090	10090	Low Throughput	-	-	-	-	-	BIOGRID
