#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
251080	387082	4792	132223	110859	-	-	SUMO4	NFKBIA	IDDM5|SMT3H4|SUMO-4|dJ281H8.4	IKBA|MAD-3|NFKBI	Two-hybrid	physical	Guo D (2004)	15247916	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
251081	387082	4792	132223	110859	-	-	SUMO4	NFKBIA	IDDM5|SMT3H4|SUMO-4|dJ281H8.4	IKBA|MAD-3|NFKBI	Affinity Capture-Western	physical	Guo D (2004)	15247916	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
696254	387082	4792	132223	110859	-	-	SUMO4	NFKBIA	IDDM5|SMT3H4|SUMO-4|dJ281H8.4	IKBA|MAD-3|NFKBI	Biochemical Activity	physical	Wang CY (2009)	19222990	9606	9606	Low Throughput	-	Sumoylation	-	-	-	BIOGRID
1272901	226	387082	106728	132223	-	-	ALDOA	SUMO4	ALDA|GSD12|HEL-S-87p	IDDM5|SMT3H4|SUMO-4|dJ281H8.4	Co-fractionation	physical	Wan C (2015)	26344197	9606	9606	High Throughput	0.082875389	-	-	Fractionation was combined with mass spectrometry from five diverse animal species to predict co-complex protein interactions conserved across metazoa using an integrative computational scoring procedure along with an SVM approach. The significant data set of 16655 PPI, was derived from a set of more than 1M interactions by examining a ROC curve of predicted interactions against reference annotated complexes at a 67.5% cumulative precision.	-	BIOGRID
1272902	396	387082	106889	132223	-	-	ARHGDIA	SUMO4	GDIA1|HEL-S-47e|NPHS8|RHOGDI|RHOGDI-1	IDDM5|SMT3H4|SUMO-4|dJ281H8.4	Co-fractionation	physical	Wan C (2015)	26344197	9606	9606	High Throughput	0.082519418	-	-	Fractionation was combined with mass spectrometry from five diverse animal species to predict co-complex protein interactions conserved across metazoa using an integrative computational scoring procedure along with an SVM approach. The significant data set of 16655 PPI, was derived from a set of more than 1M interactions by examining a ROC curve of predicted interactions against reference annotated complexes at a 67.5% cumulative precision.	-	BIOGRID
1272903	397	387082	106890	132223	-	-	ARHGDIB	SUMO4	D4|GDIA2|GDID4|LYGDI|Ly-GDI|RAP1GN1|RhoGDI2	IDDM5|SMT3H4|SUMO-4|dJ281H8.4	Co-fractionation	physical	Wan C (2015)	26344197	9606	9606	High Throughput	0.073764083	-	-	Fractionation was combined with mass spectrometry from five diverse animal species to predict co-complex protein interactions conserved across metazoa using an integrative computational scoring procedure along with an SVM approach. The significant data set of 16655 PPI, was derived from a set of more than 1M interactions by examining a ROC curve of predicted interactions against reference annotated complexes at a 67.5% cumulative precision.	-	BIOGRID
1272904	4507	387082	110611	132223	-	-	MTAP	SUMO4	BDMF|DMSFH|DMSMFH|HEL-249|LGMBF|MSAP|c86fus	IDDM5|SMT3H4|SUMO-4|dJ281H8.4	Co-fractionation	physical	Wan C (2015)	26344197	9606	9606	High Throughput	0.134971013	-	-	Fractionation was combined with mass spectrometry from five diverse animal species to predict co-complex protein interactions conserved across metazoa using an integrative computational scoring procedure along with an SVM approach. The significant data set of 16655 PPI, was derived from a set of more than 1M interactions by examining a ROC curve of predicted interactions against reference annotated complexes at a 67.5% cumulative precision.	-	BIOGRID
1272905	10963	387082	116162	132223	-	-	STIP1	SUMO4	HEL-S-94n|HOP|IEF-SSP-3521|P60|STI1|STI1L	IDDM5|SMT3H4|SUMO-4|dJ281H8.4	Co-fractionation	physical	Wan C (2015)	26344197	9606	9606	High Throughput	0.253103061	-	-	Fractionation was combined with mass spectrometry from five diverse animal species to predict co-complex protein interactions conserved across metazoa using an integrative computational scoring procedure along with an SVM approach. The significant data set of 16655 PPI, was derived from a set of more than 1M interactions by examining a ROC curve of predicted interactions against reference annotated complexes at a 67.5% cumulative precision.	-	BIOGRID
1275787	4914	387082	110969	132223	-	-	NTRK1	SUMO4	MTC|TRK|TRK1|TRKA|Trk-A|p140-TrkA	IDDM5|SMT3H4|SUMO-4|dJ281H8.4	Affinity Capture-MS	physical	Emdal KB (2015)	25921289	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1428117	9477	387082	114862	132223	RP5-973N23.1	-	MED20	SUMO4	PRO0213|TRFP	IDDM5|SMT3H4|SUMO-4|dJ281H8.4	Affinity Capture-MS	physical	Lambert JP (2015)	25281560	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
