#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
575497	253260	79899	128962	122983	-	-	RICTOR	PRR5L	AVO3|PIA|hAVO3	PROTOR2	Affinity Capture-MS	physical	Pearce LR (2007)	17461779	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
852269	253260	79899	128962	122983	-	-	RICTOR	PRR5L	AVO3|PIA|hAVO3	PROTOR2	Two-hybrid	physical	Martin J (2008)	18505677	9606	9606	High Throughput	-	-	-	table 1.	-	BIOGRID
986774	2475	79899	108757	122983	-	-	MTOR	PRR5L	FRAP|FRAP1|FRAP2|RAFT1|RAPT1	PROTOR2	Affinity Capture-MS	physical	Thedieck K (2007)	18030348	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
1022542	2475	79899	108757	122983	-	-	MTOR	PRR5L	FRAP|FRAP1|FRAP2|RAFT1|RAPT1	PROTOR2	Affinity Capture-Western	physical	Thedieck K (2007)	18030348	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
1022544	253260	79899	128962	122983	-	-	RICTOR	PRR5L	AVO3|PIA|hAVO3	PROTOR2	Affinity Capture-Western	physical	Thedieck K (2007)	18030348	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
1022546	79899	2475	122983	108757	-	-	PRR5L	MTOR	PROTOR2	FRAP|FRAP1|FRAP2|RAFT1|RAPT1	Affinity Capture-Western	physical	Thedieck K (2007)	18030348	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
1022547	79899	253260	122983	128962	-	-	PRR5L	RICTOR	PROTOR2	AVO3|PIA|hAVO3	Affinity Capture-Western	physical	Thedieck K (2007)	18030348	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
1022548	79899	79109	122983	122551	-	RP11-269P11.1	PRR5L	MAPKAP1	PROTOR2	JC310|MIP1|SIN1|SIN1b|SIN1g	Affinity Capture-Western	physical	Thedieck K (2007)	18030348	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
1022554	2475	79899	108757	122983	-	-	MTOR	PRR5L	FRAP|FRAP1|FRAP2|RAFT1|RAPT1	PROTOR2	Biochemical Activity	physical	Thedieck K (2007)	18030348	9606	9606	Low Throughput	-	Phosphorylation	-	-	-	BIOGRID
1032063	7538	79899	113370	122983	-	-	ZFP36	PRR5L	G0S24|GOS24|NUP475|RNF162A|TIS11|TTP|zfp-36	PROTOR2	Two-hybrid	physical	Holmes B (2012)	21964062	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
1032068	7538	79899	113370	122983	-	-	ZFP36	PRR5L	G0S24|GOS24|NUP475|RNF162A|TIS11|TTP|zfp-36	PROTOR2	Affinity Capture-Western	physical	Holmes B (2012)	21964062	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
1032069	79899	7538	122983	113370	-	-	PRR5L	ZFP36	PROTOR2	G0S24|GOS24|NUP475|RNF162A|TIS11|TTP|zfp-36	Affinity Capture-Western	physical	Holmes B (2012)	21964062	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
1032070	253260	79899	128962	122983	-	-	RICTOR	PRR5L	AVO3|PIA|hAVO3	PROTOR2	Affinity Capture-Western	physical	Holmes B (2012)	21964062	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
1277209	253260	79899	128962	122983	-	-	RICTOR	PRR5L	AVO3|PIA|hAVO3	PROTOR2	Affinity Capture-MS	physical	Thedieck K (2007)	18030348	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
2634218	328	79899	106825	122983	-	-	APEX1	PRR5L	APE|APE1|APEN|APEX|APX|HAP1|REF1	PROTOR2	Affinity Capture-RNA	physical	Antoniali G (2017)	28986522	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
2695986	9099	79899	114553	122983	-	-	USP2	PRR5L	UBP41|USP9	PROTOR2	Two-hybrid	physical	Luck K (2020)	32296183	9606	9606	High Throughput	-	-	-	This human reference interactome (HuRI) was generated by performing nine two-hybrid screens with the high confidence interactions determined by pairwise verification by quadruplicate retesting and sequence confirmation. This HI-III-20 dataset contains over 52,000 PPIs involving more than 8,000 proteins.	-	BIOGRID
2698299	84217	79899	123951	122983	-	-	ZMYND12	PRR5L	-	PROTOR2	Two-hybrid	physical	Luck K (2020)	32296183	9606	9606	High Throughput	-	-	-	This human reference interactome (HuRI) was generated by performing nine two-hybrid screens with the high confidence interactions determined by pairwise verification by quadruplicate retesting and sequence confirmation. This HI-III-20 dataset contains over 52,000 PPIs involving more than 8,000 proteins.	-	BIOGRID
2700118	4292	79899	110438	122983	-	-	MLH1	PRR5L	COCA2|FCC2|HNPCC|HNPCC2|hMLH1	PROTOR2	Two-hybrid	physical	Luck K (2020)	32296183	9606	9606	High Throughput	-	-	-	This human reference interactome (HuRI) was generated by performing nine two-hybrid screens with the high confidence interactions determined by pairwise verification by quadruplicate retesting and sequence confirmation. This HI-III-20 dataset contains over 52,000 PPIs involving more than 8,000 proteins.	-	BIOGRID
2704081	114327	79899	125313	122983	-	-	EFHC1	PRR5L	EJM1|dJ304B14.2	PROTOR2	Two-hybrid	physical	Luck K (2020)	32296183	9606	9606	High Throughput	-	-	-	This human reference interactome (HuRI) was generated by performing nine two-hybrid screens with the high confidence interactions determined by pairwise verification by quadruplicate retesting and sequence confirmation. This HI-III-20 dataset contains over 52,000 PPIs involving more than 8,000 proteins.	-	BIOGRID
