#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
810025	20371	208643	203183	228998	RP23-54C14.1	-	Foxp3	Eif4g1	JM2|scurfin|sf	E030015G23Rik|eIF4GI	Affinity Capture-MS	physical	Rudra D (2012)	22922362	10090	10090	High Throughput	-	-	-	-	-	BIOGRID
1065018	13626	208643	199384	228998	-	-	Eed	Eif4g1	ENSMUSG00000039373|l(7)5Rn|l7Rn5|lusk	E030015G23Rik|eIF4GI	Affinity Capture-MS	physical	Cao Q (2014)	24457600	10090	10090	High Throughput	-	-	-	-	-	BIOGRID
1256803	217331	208643	229889	228998	RP23-42F6.4	-	Unk	Eif4g1	B230379M23Rik|Zc3h5|Zc3hdc5|mKIAA1753	E030015G23Rik|eIF4GI	Affinity Capture-RNA	physical	Murn J (2015)	25737280	10090	10090	High Throughput	-	-	-	-	-	BIOGRID
1510808	23608	208643	117141	228998	-	-	MKRN1	Eif4g1	RNF61	E030015G23Rik|eIF4GI	Affinity Capture-MS	physical	Cassar PA (2015)	26265008	9606	10090	High Throughput	-	-	-	-	-	BIOGRID
2204838	13684	208643	199420	228998	-	-	Eif4e	Eif4g1	EG668879|Eif4e-ps|If4e|eIF-4E	E030015G23Rik|eIF4GI	Affinity Capture-Western	physical	Dumstorf CA (2010)	20971826	10090	10090	Low Throughput	-	-	-	-	-	BIOGRID
2338421	14265	208643	199716	228998	-	-	Fmr1	Eif4g1	FMRP|Fmr-1	E030015G23Rik|eIF4GI	Affinity Capture-MS	physical	Li J (2017)	28671696	10090	10090	High Throughput	-	-	-	Adult non-postsynaptic density (PSD)	-	BIOGRID
2622215	20238	208643	203083	228998	-	-	Atxn1	Eif4g1	2900016G23Rik|Atx1|C85907|ENSMUSG00000074917|Gm10786|Sca1	E030015G23Rik|eIF4GI	Proximity Label-MS	physical	Zhang S (2018)	30457570	10090	10090	High Throughput	-	-	-	ataxin-1[85Q]|in the presence of Arsenite	-	BIOGRID
2649353	54726	208643	120112	228998	-	-	OTUD4	Eif4g1	DUBA6|HIN1|HSHIN1	E030015G23Rik|eIF4GI	Reconstituted Complex	physical	Das R (2019)	31138677	9606	10090	High Throughput	-	-	-	-	-	BIOGRID
2661995	208643	239528	228998	232092	-	-	Eif4g1	Ago2	E030015G23Rik|eIF4GI	1110029L17Rik|2310051F07Rik|AI225898|AL022874|AW546247|ENSMUSG00000072493|Eif2c2|Gerp95|Gm10365|mKIAA4215	Co-fractionation	physical	Pourhaghighi R (2020)	32325033	10090	10090	High Throughput	0.704	-	-	High confidence interactions had an EPIC Score >= 0.683	-	BIOGRID
2663037	13494	208643	199310	228998	RP23-191E3.4	-	Drg1	Eif4g1	AA408859|AI132520|Nedd3	E030015G23Rik|eIF4GI	Co-fractionation	physical	Pourhaghighi R (2020)	32325033	10090	10090	High Throughput	0.689	-	-	High confidence interactions had an EPIC Score >= 0.683	-	BIOGRID
2663038	78655	208643	219556	228998	-	-	Eif3j1	Eif4g1	1810016I04Rik|2700079K05Rik|AA409117|AA409446|C78575|Eif3j|Eif3j-1|Eif3j-2|Eif3j2|Eif3s1|eIF-3-alpha-A|eIF-3-alpha-B|eIF3-alpha|eIF3-p35|eIF3j-A|eIF3j-B	E030015G23Rik|eIF4GI	Co-fractionation	physical	Pourhaghighi R (2020)	32325033	10090	10090	High Throughput	0.704	-	-	High confidence interactions had an EPIC Score >= 0.683	-	BIOGRID
