#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
504326	155871	23644	1205541	117171	HIV1gp5	-	tat	EDC4	-	GE1|Ge-1|HEDL5|HEDLS|RCD-8|RCD8	Reconstituted Complex	physical	Gautier VW (2009)	19454010	11676	9606	High Throughput	-	-	-	HIV 1: Protein TAT|High Throughput: An in vitro GST-Tat pull-down assay was performed using nuclear extracts from Jurkat cells followed by mass spectrometric analysis to identify interacting proteins.	-	BIOGRID
576291	71521	23644	214756	117171	-	-	Pds5a	EDC4	9030416H16Rik|E230024D05Rik|mKIAA0648	GE1|Ge-1|HEDL5|HEDLS|RCD-8|RCD8	Affinity Capture-MS	physical	Hutchins JR (2010)	20360068	10090	9606	High Throughput	-	-	-	-	-	BIOGRID
576860	234699	23644	231562	117171	-	-	Edc4	EDC4	BC022641	GE1|Ge-1|HEDL5|HEDLS|RCD-8|RCD8	Affinity Capture-MS	physical	Hutchins JR (2010)	20360068	10090	9606	High Throughput	-	-	-	-	-	BIOGRID
590648	23644	167227	117171	127944	-	-	EDC4	DCP2	GE1|Ge-1|HEDL5|HEDLS|RCD-8|RCD8	NUDT20	Two-hybrid	physical	Bloch DB (2011)	21672539	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
590649	23644	196513	117171	128216	-	-	EDC4	DCP1B	GE1|Ge-1|HEDL5|HEDLS|RCD-8|RCD8	DCP1|hDcp1b	Two-hybrid	physical	Bloch DB (2011)	21672539	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
590650	23644	167227	117171	127944	-	-	EDC4	DCP2	GE1|Ge-1|HEDL5|HEDLS|RCD-8|RCD8	NUDT20	Reconstituted Complex	physical	Bloch DB (2011)	21672539	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
590651	23644	196513	117171	128216	-	-	EDC4	DCP1B	GE1|Ge-1|HEDL5|HEDLS|RCD-8|RCD8	DCP1|hDcp1b	Reconstituted Complex	physical	Bloch DB (2011)	21672539	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
594146	5610	23644	111596	117171	-	-	EIF2AK2	EDC4	EIF2AK1|PKR|PPP1R83|PRKR	GE1|Ge-1|HEDL5|HEDLS|RCD-8|RCD8	Affinity Capture-MS	physical	Li S (2011)	21903422	9606	9606	High Throughput	-	-	-	exogenous expression of bait|some interactions identified in this screen were stimulated by the addition of poly(rI:rC), poly(dA:dT), LPS, and/or CpG	-	BIOGRID
594552	5610	23644	111596	117171	-	-	EIF2AK2	EDC4	EIF2AK1|PKR|PPP1R83|PRKR	GE1|Ge-1|HEDL5|HEDLS|RCD-8|RCD8	Reconstituted Complex	physical	Li S (2011)	21903422	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
667374	51547	23644	119602	117171	-	-	SIRT7	EDC4	SIR2L7	GE1|Ge-1|HEDL5|HEDLS|RCD-8|RCD8	Affinity Capture-MS	physical	Tsai YC (2012)	22586326	9606	9606	High Throughput	-	-	-	exogenous expression of bait|figure 2, table S1.	-	BIOGRID
