#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
682677	14633	20747	199943	203465	-	RP23-67E18.3	Gli2	Spop	AW546128	AI315626|Pcif1|TEF2	Affinity Capture-Western	physical	Wang C (2010)	20463034	10090	10090	Low Throughput	-	-	-	-	-	BIOGRID
682678	14634	20747	199944	203465	-	RP23-67E18.3	Gli3	Spop	AI854843|AU023367|Bph|GLI3-190|GLI3FL|Pdn|Xt|add	AI315626|Pcif1|TEF2	Affinity Capture-Western	physical	Wang C (2010)	20463034	10090	10090	Low Throughput	-	-	-	-	-	BIOGRID
715346	26914	20747	205061	203465	-	RP23-67E18.3	H2afy	Spop	H2AF12M|mH2a1|macroH2A1	AI315626|Pcif1|TEF2	Two-hybrid	physical	Takahashi I (2002)	12183056	10090	10090	Low Throughput	-	-	-	-	-	BIOGRID
715347	20747	26914	203465	205061	RP23-67E18.3	-	Spop	H2afy	AI315626|Pcif1|TEF2	H2AF12M|mH2a1|macroH2A1	Reconstituted Complex	physical	Takahashi I (2002)	12183056	10090	10090	Low Throughput	-	-	-	-	-	BIOGRID
715348	26914	20747	205061	203465	-	RP23-67E18.3	H2afy	Spop	H2AF12M|mH2a1|macroH2A1	AI315626|Pcif1|TEF2	Reconstituted Complex	physical	Takahashi I (2002)	12183056	10090	10090	Low Throughput	-	-	-	-	-	BIOGRID
1510371	169792	20747	127988	203465	-	RP23-67E18.3	GLIS3	Spop	ZNF515	AI315626|Pcif1|TEF2	Two-hybrid	physical	ZeRuth GT (2015)	26147758	9606	10090	Low Throughput	-	-	-	Table 1	-	BIOGRID
2615932	20747	71950	203465	215050	RP23-67E18.3	-	Spop	Nanog	AI315626|Pcif1|TEF2	2410002E02Rik|ENK|ecat4	Affinity Capture-Western	physical	Wang X (2019)	30595535	10090	10090	Low Throughput	-	-	-	-	-	BIOGRID
2649430	54726	20747	120112	203465	-	RP23-67E18.3	OTUD4	Spop	DUBA6|HIN1|HSHIN1	AI315626|Pcif1|TEF2	Reconstituted Complex	physical	Das R (2019)	31138677	9606	10090	High Throughput	-	-	-	-	-	BIOGRID
2747964	22724	20747	204677	203465	-	RP23-67E18.3	Zbtb7b	Spop	Thpok|Zfp67|c-Krox	AI315626|Pcif1|TEF2	Affinity Capture-MS	physical	Srivastava A (2020)	32098917	10090	10090	High Throughput	-	-	-	-	-	BIOGRID
2753958	22433	20747	204589	203465	RP23-288K19.1	RP23-67E18.3	Xbp1	Spop	D11Ertd39e|TREB-5|TREB5|XBP-1	AI315626|Pcif1|TEF2	Affinity Capture-Western	physical	Sun S (2019)	31296559	10090	10090	Low Throughput	-	-	-	-	-	BIOGRID
2828303	67526	20747	212249	203465	-	RP23-67E18.3	Atg12	Spop	4931423H11Rik|A330058M13Rik|Apg12l|Atg12l	AI315626|Pcif1|TEF2	Positive Genetic	genetic	Lawson KA (2020)	32968282	10090	10090	Low Throughput	-	-	increased cell proliferation	CRISPR GI screen|Cell Line: Renca|Experimental Setup: TNF exposure|GIST: A-phenotypic positive genetic interaction|Library: mTKO|Significance Threshold: FDR<0.05	-	BIOGRID
3566725	20747	20747	203465	203465	RP23-67E18.3	RP23-67E18.3	Spop	Spop	AI315626|Pcif1|TEF2	AI315626|Pcif1|TEF2	Co-crystal Structure	physical	Cuneo MJ (2023)	36693379	10090	10090	Low Throughput	-	-	-	cryoEM	-	BIOGRID
3566726	20747	20747	203465	203465	RP23-67E18.3	RP23-67E18.3	Spop	Spop	AI315626|Pcif1|TEF2	AI315626|Pcif1|TEF2	Reconstituted Complex	physical	Cuneo MJ (2023)	36693379	10090	10090	Low Throughput	-	-	-	-	-	BIOGRID
3566727	20747	8019	203465	113715	RP23-67E18.3	RP11-374P20.3	Spop	BRD3	AI315626|Pcif1|TEF2	ORFX|RING3L	Biochemical Activity	physical	Cuneo MJ (2023)	36693379	10090	9606	Low Throughput	-	Ubiquitination	-	E2: UbcH5B	-	BIOGRID
3676398	20747	20747	203465	203465	RP23-67E18.3	RP23-67E18.3	Spop	Spop	AI315626|Pcif1|TEF2	AI315626|Pcif1|TEF2	Reconstituted Complex	physical	Sabri N (2023)	37926283	10090	10090	Low Throughput	-	-	-	-	-	BIOGRID
3676400	20747	8019	203465	113715	RP23-67E18.3	RP11-374P20.3	Spop	BRD3	AI315626|Pcif1|TEF2	ORFX|RING3L	Biochemical Activity	physical	Sabri N (2023)	37926283	10090	9606	Low Throughput	-	Ubiquitination	-	E2: UbcH5B	-	BIOGRID
3676402	40958	20747	66141	203465	Dmel_CG7850	RP23-67E18.3	puc	Spop	0238/03|1351/08|CG7850|Dmel\CG7850|JNK-DSP|PUC/MKP|hrt|l(3)84Eh|l(3)A251.1|l(3)j4E1|vco	AI315626|Pcif1|TEF2	Protein-peptide	physical	Sabri N (2023)	37926283	7227	10090	Low Throughput	-	-	-	-	-	BIOGRID
3676403	1616	20747	107985	203465	DADB-159G18.9	RP23-67E18.3	DAXX	Spop	BING2|DAP6|EAP1	AI315626|Pcif1|TEF2	Protein-peptide	physical	Sabri N (2023)	37926283	9606	10090	Low Throughput	-	-	-	-	-	BIOGRID
3676404	1616	20747	107985	203465	DADB-159G18.9	RP23-67E18.3	DAXX	Spop	BING2|DAP6|EAP1	AI315626|Pcif1|TEF2	Co-localization	physical	Sabri N (2023)	37926283	9606	10090	Low Throughput	-	-	-	-	-	BIOGRID
3717238	20747	17874	203465	201639	RP23-67E18.3	-	Spop	Myd88	AI315626|Pcif1|TEF2	-	Affinity Capture-Western	physical	Li Q (2020)	32365080	10090	10090	Low Throughput	-	-	-	-	-	BIOGRID

