#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
36004	37471	40433	63097	65673	Dmel_CG10318	Dmel_CG7421	NC2alpha	Nopp140	CG10318|Dmel\CG10318|Drap1|NC2|dDrap|dDrap1|dDrap1/dNC2a|dNC2	CG7421|DmNopp140|Dmel\CG7421|Nopp- 140	Two-hybrid	physical	Giot L (2003)	14605208	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
39726	32298	40433	58678	65673	Dmel_CG12725	Dmel_CG7421	CG12725	Nopp140	Dmel\CG12725	CG7421|DmNopp140|Dmel\CG7421|Nopp- 140	Two-hybrid	physical	Giot L (2003)	14605208	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
41667	41593	40433	66682	65673	Dmel_CG14383	Dmel_CG7421	CG14383	Nopp140	Dmel\CG14383	CG7421|DmNopp140|Dmel\CG7421|Nopp- 140	Two-hybrid	physical	Giot L (2003)	14605208	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
49567	40433	36232	65673	62020	Dmel_CG7421	Dmel_CG9027	Nopp140	Sod3	CG7421|DmNopp140|Dmel\CG7421|Nopp- 140	CG13200|CG9027|CT25938|Dmel/CG9027|Dmel\CG9027|dSod3	Two-hybrid	physical	Giot L (2003)	14605208	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
653645	44339	40433	68989	65673	Dmel_CG5576	Dmel_CG7421	imd	Nopp140	BG5|CG5576|Dmel\CG5576|anon-WO0172774.166|shadok	CG7421|DmNopp140|Dmel\CG7421|Nopp- 140	Affinity Capture-MS	physical	Guruharsha KG (2011)	22036573	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
2314181	33139	40433	59412	65673	Dmel_CG17596	Dmel_CG7421	S6kII	Nopp140	CG17596|Dmel\CG17596|RSK|dRSK|ign|rsk2	CG7421|DmNopp140|Dmel\CG7421|Nopp- 140	Affinity Capture-MS	physical	Vinayagam A (2016)	27626673	7227	7227	High Throughput	-	-	-	SAINT score > 0.95	-	FLYBASE
2324545	42862	40433	67795	65673	Dmel_CG6147	Dmel_CG7421	Tsc1	Nopp140	CG6147|Dmel\CG6147|TSC|dTSC|dTSC-1|dTSC1|rocky	CG7421|DmNopp140|Dmel\CG7421|Nopp- 140	Affinity Capture-MS	physical	Vinayagam A (2016)	27626673	7227	7227	High Throughput	-	-	-	SAINT score > 0.95	-	FLYBASE
2536270	33203	40433	59459	65673	Dmel_CG2699	Dmel_CG7421	Pi3K21B	Nopp140	CG2699|Dmel\CG2699|Dp60|PI(3)K|PI3K|PI3K-p60|PI[[3]]K|p60|Pi3Kp60|dPI3K|droPIK57	CG7421|DmNopp140|Dmel\CG7421|Nopp- 140	Affinity Capture-MS	physical	Breitkopf SB (2016)	26839216	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
3693310	39645	40433	64967	65673	Dmel_CG45070	Dmel_CG7421	CTPsyn	Nopp140	CG45070|CG6854|CTPS|Dmel\CG45070|Dmel_CG6854	CG7421|DmNopp140|Dmel\CG7421|Nopp- 140	Proximity Label-MS	physical	Zhang B (2021)	33724396	7227	7227	High Throughput	-	-	-	-	-	BIOGRID

