#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
423388	57599	6830	121649	112698	-	-	WDR48	SUPT6H	P80|SPG60|UAF1	SPT6|SPT6H|emb-5	Affinity Capture-MS	physical	Sowa ME (2009)	19615732	9606	9606	High Throughput	4.08	-	-	exogenous expression of bait	-	BIOGRID
424933	6917	6830	112779	112698	-	-	TCEA1	SUPT6H	GTF2S|SII|TCEA|TF2S|TFIIS	SPT6|SPT6H|emb-5	Affinity Capture-MS	physical	Jeronimo C (2007)	17643375	9606	9606	High Throughput	0.987567	-	-	-	-	BIOGRID
458038	55677	6830	120807	112698	-	-	IWS1	SUPT6H	-	SPT6|SPT6H|emb-5	Affinity Capture-Western	physical	Yoh SM (2008)	19141475	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
458040	5430	6830	111426	112698	-	-	POLR2A	SUPT6H	POLR2|POLRA|RPB1|RPBh1|RPO2|RPOL2|RpIILS|hRPB220|hsRPB1	SPT6|SPT6H|emb-5	Far Western	physical	Yoh SM (2008)	19141475	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
458041	55677	6830	120807	112698	-	-	IWS1	SUPT6H	-	SPT6|SPT6H|emb-5	Reconstituted Complex	physical	Yoh SM (2008)	19141475	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
534352	6830	5430	112698	111426	-	-	SUPT6H	POLR2A	SPT6|SPT6H|emb-5	POLR2|POLRA|RPB1|RPBh1|RPO2|RPOL2|RpIILS|hRPB220|hsRPB1	Affinity Capture-Western	physical	Yoh SM (2007)	17234882	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
667415	51547	6830	119602	112698	-	-	SIRT7	SUPT6H	SIR2L7	SPT6|SPT6H|emb-5	Affinity Capture-MS	physical	Tsai YC (2012)	22586326	9606	9606	High Throughput	-	-	-	exogenous expression of bait|figure 2, table S1.	-	BIOGRID
671475	6830	80227	112698	123191	-	-	SUPT6H	PAAF1	SPT6|SPT6H|emb-5	PAAF|Rpn14|WDR71	Affinity Capture-Western	physical	Nakamura M (2012)	22316138	9606	9606	Low Throughput	-	-	-	figure 2A.|figure 2B.|figure 2C.	-	BIOGRID
671476	80227	6830	123191	112698	-	-	PAAF1	SUPT6H	PAAF|Rpn14|WDR71	SPT6|SPT6H|emb-5	Affinity Capture-Western	physical	Nakamura M (2012)	22316138	9606	9606	Low Throughput	-	-	-	figure 2A.	-	BIOGRID
808383	672	6830	107140	112698	-	-	BRCA1	SUPT6H	BRCAI|BRCC1|BROVCA1|FANCS|IRIS|PNCA4|PPP1R53|PSCP|RNF53	SPT6|SPT6H|emb-5	Affinity Capture-MS	physical	Woods NT (2012)	22990118	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
