#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
120607	11007	60493	116198	121924	-	-	CCDC85B	FASTKD5	DIPA	dJ1187M17.5	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
593982	3656	60493	109865	121924	-	-	IRAK2	FASTKD5	IRAK-2	dJ1187M17.5	Affinity Capture-MS	physical	Li S (2011)	21903422	9606	9606	High Throughput	-	-	-	exogenous expression of bait|some interactions identified in this screen were stimulated by the addition of poly(rI:rC), poly(dA:dT), LPS, and/or CpG	-	BIOGRID
594116	79671	60493	122796	121924	-	-	NLRX1	FASTKD5	CLR11.3|DLNB26|NOD26|NOD5|NOD9	dJ1187M17.5	Affinity Capture-MS	physical	Li S (2011)	21903422	9606	9606	High Throughput	-	-	-	exogenous expression of bait|some interactions identified in this screen were stimulated by the addition of poly(rI:rC), poly(dA:dT), LPS, and/or CpG	-	BIOGRID
594337	81622	60493	123557	121924	-	-	UNC93B1	FASTKD5	IIAE1|UNC93|UNC93B|Unc-93B1	dJ1187M17.5	Affinity Capture-MS	physical	Li S (2011)	21903422	9606	9606	High Throughput	-	-	-	exogenous expression of bait|some interactions identified in this screen were stimulated by the addition of poly(rI:rC), poly(dA:dT), LPS, and/or CpG	-	BIOGRID
906769	5596	60493	111582	121924	-	-	MAPK4	FASTKD5	ERK-4|ERK4|PRKM4|p63-MAPK|p63MAPK	dJ1187M17.5	Affinity Capture-MS	physical	Varjosalo M (2013)	23602568	9606	9606	High Throughput	-	-	-	Exogenous expresssion of bait	-	BIOGRID
912802	26270	60493	117654	121924	RP3-330O12.3	-	FBXO6	FASTKD5	FBG2|FBS2|FBX6|Fbx6b	dJ1187M17.5	Affinity Capture-MS	physical	Liu B (2012)	22268729	9606	9606	High Throughput	-	-	-	exogenous expression of bait	-	BIOGRID
1039218	3756	60493	109958	121924	-	-	KCNH1	FASTKD5	EAG|EAG1|Kv10.1|h-eag	dJ1187M17.5	Two-hybrid	physical	Rolland T (2014)	25416956	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1275394	4914	60493	110969	121924	-	-	NTRK1	FASTKD5	MTC|TRK|TRK1|TRKA|Trk-A|p140-TrkA	dJ1187M17.5	Affinity Capture-MS	physical	Emdal KB (2015)	25921289	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1428943	8924	60493	114438	121924	-	-	HERC2	FASTKD5	D15F37S1|MRT38|SHEP1|jdf2|p528	dJ1187M17.5	Affinity Capture-MS	physical	Galligan JT (2015)	25476789	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1455424	7283	60493	113134	121924	-	-	TUBG1	FASTKD5	CDCBM4|GCP-1|TUBG|TUBGCP1	dJ1187M17.5	Affinity Capture-MS	physical	Hein MY (2015)	26496610	9606	9606	High Throughput	-	-	-	interaction detected by quantitative BAC-GFP interactomics (QUBIC)	-	BIOGRID
1455425	9989	60493	115310	121924	-	-	PPP4R1	FASTKD5	MEG1|PP4(Rmeg)|PP4R1	dJ1187M17.5	Affinity Capture-MS	physical	Hein MY (2015)	26496610	9606	9606	High Throughput	-	-	-	interaction detected by quantitative BAC-GFP interactomics (QUBIC)	-	BIOGRID
1455426	23385	60493	116961	121924	RP11-517F10.1	-	NCSTN	FASTKD5	ATAG1874	dJ1187M17.5	Affinity Capture-MS	physical	Hein MY (2015)	26496610	9606	9606	High Throughput	-	-	-	interaction detected by quantitative BAC-GFP interactomics (QUBIC)	-	BIOGRID
1455427	25923	60493	117423	121924	-	-	ATL3	FASTKD5	HSN1F	dJ1187M17.5	Affinity Capture-MS	physical	Hein MY (2015)	26496610	9606	9606	High Throughput	-	-	-	interaction detected by quantitative BAC-GFP interactomics (QUBIC)	-	BIOGRID
1455428	84930	60493	124364	121924	RP11-85G18.2	-	MASTL	FASTKD5	GREATWALL|GW|GWL|MAST-L|THC2|hGWL	dJ1187M17.5	Affinity Capture-MS	physical	Hein MY (2015)	26496610	9606	9606	High Throughput	-	-	-	interaction detected by quantitative BAC-GFP interactomics (QUBIC)	-	BIOGRID
1469428	12166	60493	198371	121924	-	-	Bmpr1a	FASTKD5	1110037I22Rik|ALK3|AU045487|BMPR-IA|Bmpr	dJ1187M17.5	Affinity Capture-MS	physical	Hein MY (2015)	26496610	10090	9606	High Throughput	-	-	-	interaction detected by quantitative BAC-GFP interactomics (QUBIC)	-	BIOGRID
1469429	74470	60493	216776	121924	-	-	Cep72	FASTKD5	2610029E11Rik|4933440J22Rik	dJ1187M17.5	Affinity Capture-MS	physical	Hein MY (2015)	26496610	10090	9606	High Throughput	-	-	-	interaction detected by quantitative BAC-GFP interactomics (QUBIC)	-	BIOGRID
1469430	83431	60493	219922	121924	RP23-396M19.4	-	Ndel1	FASTKD5	2600006O07Rik|MITAP1|NUDEL|mNudel	dJ1187M17.5	Affinity Capture-MS	physical	Hein MY (2015)	26496610	10090	9606	High Throughput	-	-	-	interaction detected by quantitative BAC-GFP interactomics (QUBIC)	-	BIOGRID
1469431	383295	60493	238688	121924	-	-	Ypel5	FASTKD5	2310076K21Rik|CGI-127	dJ1187M17.5	Affinity Capture-MS	physical	Hein MY (2015)	26496610	10090	9606	High Throughput	-	-	-	interaction detected by quantitative BAC-GFP interactomics (QUBIC)	-	BIOGRID
1520164	5460	60493	111456	121924	DADB-104B20.2	-	POU5F1	FASTKD5	OCT3|OCT4|OTF-3|OTF3|OTF4|Oct-3|Oct-4	dJ1187M17.5	Affinity Capture-MS	physical	Oliviero G (2015)	26687479	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
2272535	4887	60493	110947	121924	-	-	NPY2R	FASTKD5	NPY2-R	dJ1187M17.5	Affinity Capture-MS	physical	Huttlin EL (2017)	28514442	9606	9606	High Throughput	0.753369725	-	-	BioPlex 2.0 HEK 293T cells CompPASS score = 0.753369725, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 3.0 (PMID: 33961781) and may be re-scored from BioPlex 1.0 (PMID: 26186194). Only scores from within BioPlex 2.0 (PMID: 28514442) should be compared directly.	-	BIOGRID
2463689	55662	60493	120794	121924	-	-	HIF1AN	FASTKD5	FIH1	dJ1187M17.5	Affinity Capture-MS	physical	Rodriguez J (2016)	26972000	9606	9606	High Throughput	-	-	-	Source of HIF1AN not clear	-	BIOGRID
2465122	112399	60493	125185	121924	-	-	EGLN3	FASTKD5	HIFP4H3|HIFPH3|PHD3	dJ1187M17.5	Affinity Capture-MS	physical	Rodriguez J (2016)	26972000	9606	9606	High Throughput	-	-	-	Source of EGLN3 not clear	-	BIOGRID
2493827	6047	60493	111974	121924	RES4-26	-	RNF4	FASTKD5	SLX5|SNURF	dJ1187M17.5	Affinity Capture-MS	physical	Kumar R (2017)	29180619	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
2497204	997	60493	107432	121924	-	-	CDC34	FASTKD5	E2-CDC34|UBC3|UBCH3|UBE2R1	dJ1187M17.5	Affinity Capture-MS	physical	Liu X (2018)	29564676	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
2560634	55006	60493	120338	121924	-	-	TRMT61B	FASTKD5	-	dJ1187M17.5	Proximity Label-MS	physical	Liu X (2018)	29568061	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
2608264	7182	60493	113034	121924	-	-	NR2C2	FASTKD5	TAK1|TR4	dJ1187M17.5	Affinity Capture-MS	physical	Yu L (2018)	30463901	9606	9606	High Throughput	-	-	-	assayed using BioID (proximity-dependent biotin identification)	-	BIOGRID
2636112	79370	60493	122658	121924	-	-	BCL2L14	FASTKD5	BCLG	dJ1187M17.5	Affinity Capture-MS	physical	Hubel P (2019)	30833792	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
2652361	43740571	60493	4383846	121924	GU280_gp05	-	M	FASTKD5	mem|membrane|SARS-CoV2 M|M protein|SARS-CoV-2 M|VME1_SARS2|PRO_0000449652	dJ1187M17.5	Affinity Capture-MS	physical	Gordon DE (2020)	32353859	2697049	9606	High Throughput	0.758365887	-	-	Average Spectral Counts: 7.33|High confidence interactions were identified using a two-step filtering method involving two different stringency cutoffs. Significant interactions had a final MiST score >= 0.6, SAINTexpress BFDR <= 0.05 and average spectral counts >= 2.|MiST score: 0.758365887|SAINTexpress BFDR: 0	-	BIOGRID
2654182	6780	60493	112657	121924	RP3-470L14.2	-	STAU1	FASTKD5	PPP1R150|STAU	dJ1187M17.5	Affinity Capture-MS	physical	Lee SH (2019)	30948266	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
2655033	55716	60493	120838	121924	UNQ458/PRO783	-	LMBR1L	FASTKD5	LIMR	dJ1187M17.5	Affinity Capture-MS	physical	Choi JH (2019)	31073040	9606	9606	High Throughput	-	-	-	hits are proteins detected in an immunoprecipitation (IP) with the bait protein but not in an IP of the vector only|hits are proteins detected only in immunoprecipitation (IP) of the bait protein but not in a vector control IP	-	BIOGRID
2658176	29117	60493	118883	121924	-	-	BRD7	FASTKD5	BP75|CELTIX1|NAG4	dJ1187M17.5	Affinity Capture-MS	physical	Hu K (2019)	30940648	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
2689186	60493	23281	121924	116880	-	-	FASTKD5	MTUS2	dJ1187M17.5	CAZIP|ICIS|KIAA0774|TIP150	Two-hybrid	physical	Chen S (2018)	29892012	9606	9606	High Throughput	-	-	-	this interaction was found to remain intact in the case of at least one bait protein mutation as part of an assessment of the effect on protein-protein interactions of autism-spectrum disorder mutations in the bait proteins	-	BIOGRID
