#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
40900	42941	39198	67866	64579	Dmel_CG13627	Dmel_CG32062	CG13627	A2bp1	Dmel\CG13627	BcDNA:GM06073|CG14155|CG18441|CG32062|Dmel\CG32062|dA2BP1	Two-hybrid	physical	Giot L (2003)	14605208	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
46068	30975	39198	57548	64579	Dmel_CG3114	Dmel_CG32062	ewg	A2bp1	CG3114|Dmel\CG3114|EC3|EG:BACR37P7.7|NRF-1|l(1)1Ag|l(1)DA659|l(1)EC3|l(1)EC3f|l(1)VA720|l[EC3]	BcDNA:GM06073|CG14155|CG18441|CG32062|Dmel\CG32062|dA2BP1	Two-hybrid	physical	Giot L (2003)	14605208	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
444273	41565	39198	66658	64579	Dmel_CG6054	Dmel_CG32062	Su(fu)	A2bp1	CG6054|Dmel\CG6054|SUFU|dSufu	BcDNA:GM06073|CG14155|CG18441|CG32062|Dmel\CG32062|dA2BP1	Two-hybrid	physical	Formstecher E (2005)	15710747	7227	7227	High Throughput	-	-	-	Predicted Biological Score:D	-	BIOGRID
2305249	39198	34648	64579	60697	Dmel_CG32062	Dmel_CG31762	A2bp1	aret	BcDNA:GM06073|CG14155|CG18441|CG32062|Dmel\CG32062|dA2BP1	BcDNA:GM15173|Bru|Bruno|CG31762|CG6319|Dm Bru|Dmel\CG31762|NEST:bs01g04|NEST:bs34h11|aret/bruno1|arrest/Bruno|ms(2)01284	Phenotypic Enhancement	genetic	Tastan OY (2010)	20724451	7227	7227	Low Throughput	-	-	-	-	-	FLYBASE
2305250	39198	41094	64579	66261	Dmel_CG32062	Dmel_CG9755	A2bp1	pum	BcDNA:GM06073|CG14155|CG18441|CG32062|Dmel\CG32062|dA2BP1	CG9755|CG9763|Dmel\CG9755|EP(3)0883|anon-WO0172774.19|bem|fs(3)02003|l(3)01688|ova|ovt|pkl	Phenotypic Suppression	genetic	Carreira-Rosario A (2016)	26954550	7227	7227	Low Throughput	-	-	-	-	-	FLYBASE
2305251	39198	44543	64579	69121	Dmel_CG32062	Dmel_CG10847	A2bp1	enc	BcDNA:GM06073|CG14155|CG18441|CG32062|Dmel\CG32062|dA2BP1	BB129|CG10847|Dmel\CG10847|fs(3)63F-64A	Phenotypic Enhancement	genetic	Tastan OY (2010)	20724451	7227	7227	Low Throughput	-	-	-	-	-	FLYBASE
2305252	39198	45318	64579	69588	Dmel_CG32062	Dmel_CG10197	A2bp1	kn	BcDNA:GM06073|CG14155|CG18441|CG32062|Dmel\CG32062|dA2BP1	CG10197|Col|Col/Kn|DmCOE|Dmel\CG10197|coe|collier	Phenotypic Suppression	genetic	Usha N (2010)	20226779	7227	7227	Low Throughput	-	-	-	-	-	FLYBASE
2311337	12798291	39198	2592675	64579	Dmel_CR42973	Dmel_CG32062	mir-980	A2bp1	980|CR42973|Dmel\CR42973	BcDNA:GM06073|CG14155|CG18441|CG32062|Dmel\CG32062|dA2BP1	Phenotypic Suppression	genetic	Guven-Ozkan T (2016)	26876166	7227	7227	Low Throughput	-	-	-	-	-	FLYBASE
2320337	39198	31293	64579	57823	Dmel_CG32062	Dmel_CG3936	A2bp1	N	BcDNA:GM06073|CG14155|CG18441|CG32062|Dmel\CG32062|dA2BP1	1.1|16-178|16-55|Ax|CG3936|CT13012|Chp|Co|Dmel\CG3936|EG:140G11.1|EG:163A10.2|NECD|NICD|RICN|anon-EST:Liang-1.12|clone 1.12|dNotch|fa|l(1)3Cb|l(1)Ax|l(1)N|n[fah]|nd|notch|shd|spl|swb	Affinity Capture-Western	physical	Shukla JP (2017)	28174239	7227	7227	Low Throughput	-	-	-	-	-	FLYBASE
2320338	39198	34648	64579	60697	Dmel_CG32062	Dmel_CG31762	A2bp1	aret	BcDNA:GM06073|CG14155|CG18441|CG32062|Dmel\CG32062|dA2BP1	BcDNA:GM15173|Bru|Bruno|CG31762|CG6319|Dm Bru|Dmel\CG31762|NEST:bs01g04|NEST:bs34h11|aret/bruno1|arrest/Bruno|ms(2)01284	Affinity Capture-Western	physical	Tastan OY (2010)	20724451	7227	7227	Low Throughput	-	-	-	-	-	FLYBASE
2320339	39198	34881	64579	60899	Dmel_CG32062	Dmel_CG3497	A2bp1	Su(H)	BcDNA:GM06073|CG14155|CG18441|CG32062|Dmel\CG32062|dA2BP1	BG:DS00929.10|C|CBF1|CG3497|CSL|D|Dmel\CG3497|E(H)|FTZ-F2|RBJK_DROME|RBP-J kappa|RBP-J[[Kappa]]|RBP-Jkappa|SUH|Su_H|anon-WO0257455.3|br7|dRBP-JK|dRBP-J[[Kappa]]|l(1)br7|l(2)35Bh|l(2)br7|l(2)k07904|oss	Affinity Capture-Western	physical	Shukla JP (2017)	28174239	7227	7227	Low Throughput	-	-	-	-	-	FLYBASE
