#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
592318	3783746	3308	971788	109540	-	-	EBNA-LP	HSPA4	-	APG-2|HEL-S-5a|HS24/P52|HSPH2|RY|hsp70|hsp70RY	Affinity Capture-Western	physical	Forsman A (2008)	18457437	10376	9606	Low Throughput	-	-	-	-	-	BIOGRID
592319	3783746	3312	971788	109544	-	-	EBNA-LP	HSPA8	-	HEL-33|HEL-S-72p|HSC54|HSC70|HSC71|HSP71|HSP73|HSPA10|LAP-1|LAP1|NIP71	Affinity Capture-Western	physical	Forsman A (2008)	18457437	10376	9606	Low Throughput	-	-	-	-	-	BIOGRID
592320	3783746	10376	971788	115651	-	-	EBNA-LP	TUBA1B	-	K-ALPHA-1	Affinity Capture-Western	physical	Forsman A (2008)	18457437	10376	9606	Low Throughput	-	-	-	-	-	BIOGRID
592321	3783746	203068	971788	128444	-	DAAP-285E11.4	EBNA-LP	TUBB	-	CDCBM6|M40|OK/SW-cl.56|TUBB1|TUBB5	Affinity Capture-Western	physical	Forsman A (2008)	18457437	10376	9606	Low Throughput	-	-	-	-	-	BIOGRID
592322	3783746	3308	971788	109540	-	-	EBNA-LP	HSPA4	-	APG-2|HEL-S-5a|HS24/P52|HSPH2|RY|hsp70|hsp70RY	Co-purification	physical	Forsman A (2008)	18457437	10376	9606	Low Throughput	-	-	-	-	-	BIOGRID
592323	3783746	3312	971788	109544	-	-	EBNA-LP	HSPA8	-	HEL-33|HEL-S-72p|HSC54|HSC70|HSC71|HSP71|HSP73|HSPA10|LAP-1|LAP1|NIP71	Co-purification	physical	Forsman A (2008)	18457437	10376	9606	Low Throughput	-	-	-	-	-	BIOGRID
592324	3783746	10376	971788	115651	-	-	EBNA-LP	TUBA1B	-	K-ALPHA-1	Co-purification	physical	Forsman A (2008)	18457437	10376	9606	Low Throughput	-	-	-	-	-	BIOGRID
592325	3783746	203068	971788	128444	-	DAAP-285E11.4	EBNA-LP	TUBB	-	CDCBM6|M40|OK/SW-cl.56|TUBB1|TUBB5	Co-purification	physical	Forsman A (2008)	18457437	10376	9606	Low Throughput	-	-	-	-	-	BIOGRID
592326	3783746	9532	971788	114908	-	RP3-496N17.2	EBNA-LP	BAG2	-	BAG-2|dJ417I1.2	Affinity Capture-Western	physical	Forsman A (2008)	18457437	10376	9606	Low Throughput	-	-	-	-	-	BIOGRID
592327	3783746	9531	971788	114907	-	-	EBNA-LP	BAG3	-	BAG-3|BIS|CAIR-1|MFM6	Affinity Capture-Western	physical	Forsman A (2008)	18457437	10376	9606	Low Throughput	-	-	-	-	-	BIOGRID
592328	3783746	3337	971788	109569	-	-	EBNA-LP	DNAJB1	-	HSPF1|Hdj1|Hsp40|RSPH16B|Sis1	Affinity Capture-Western	physical	Forsman A (2008)	18457437	10376	9606	Low Throughput	-	-	-	-	-	BIOGRID
592329	3783746	3320	971788	109552	-	-	EBNA-LP	HSP90AA1	-	EL52|HSP86|HSP89A|HSP90A|HSP90N|HSPC1|HSPCA|HSPCAL1|HSPCAL4|HSPN|Hsp89|Hsp90|LAP-2|LAP2	Affinity Capture-Western	physical	Forsman A (2008)	18457437	10376	9606	Low Throughput	-	-	-	-	-	BIOGRID
592330	3783746	4691	971788	110771	-	-	EBNA-LP	NCL	-	C23	Affinity Capture-Western	physical	Forsman A (2008)	18457437	10376	9606	Low Throughput	-	-	-	-	-	BIOGRID
592331	3783746	5708	971788	111681	-	-	EBNA-LP	PSMD2	-	P97|RPN1|S2|TRAP2	Affinity Capture-Western	physical	Forsman A (2008)	18457437	10376	9606	Low Throughput	-	-	-	-	-	BIOGRID
592332	3783746	4670	971788	110751	-	-	EBNA-LP	HNRNPM	-	CEAR|HNRNPM4|HNRPM|HNRPM4|HTGR1|NAGR1|hnRNP M	Affinity Capture-Western	physical	Forsman A (2008)	18457437	10376	9606	Low Throughput	-	-	-	-	-	BIOGRID
592333	3783746	3181	971788	109422	-	-	EBNA-LP	HNRNPA2B1	-	HNRNPA2|HNRNPB1|HNRPA2|HNRPA2B1|HNRPB1|IBMPFD2|RNPA2|SNRPB1	Affinity Capture-Western	physical	Forsman A (2008)	18457437	10376	9606	Low Throughput	-	-	-	-	-	BIOGRID
592334	3783746	3190	971788	109431	-	RP11-575L7.1	EBNA-LP	HNRNPK	-	CSBP|HNRPK|TUNP	Affinity Capture-Western	physical	Forsman A (2008)	18457437	10376	9606	Low Throughput	-	-	-	-	-	BIOGRID
592335	3783746	4841	971788	110904	-	-	EBNA-LP	NONO	-	NMT55|NRB54|P54|P54NRB|PPP1R114	Affinity Capture-Western	physical	Forsman A (2008)	18457437	10376	9606	Low Throughput	-	-	-	-	-	BIOGRID
592336	3783746	1655	971788	108021	-	-	EBNA-LP	DDX5	-	G17P1|HLR1|HUMP68|p68	Affinity Capture-Western	physical	Forsman A (2008)	18457437	10376	9606	Low Throughput	-	-	-	-	-	BIOGRID
592337	3783746	6421	971788	112319	-	-	EBNA-LP	SFPQ	-	POMP100|PPP1R140|PSF	Affinity Capture-Western	physical	Forsman A (2008)	18457437	10376	9606	Low Throughput	-	-	-	-	-	BIOGRID
592338	3783746	9532	971788	114908	-	RP3-496N17.2	EBNA-LP	BAG2	-	BAG-2|dJ417I1.2	Co-purification	physical	Forsman A (2008)	18457437	10376	9606	Low Throughput	-	-	-	-	-	BIOGRID
592339	3783746	3329	971788	109561	-	-	EBNA-LP	HSPD1	-	CPN60|GROEL|HLD4|HSP-60|HSP60|HSP65|HuCHA60|SPG13	Affinity Capture-Western	physical	Forsman A (2008)	18457437	10376	9606	Low Throughput	-	-	-	-	-	BIOGRID
592340	3783746	10128	971788	115432	-	-	EBNA-LP	LRPPRC	-	CLONE-23970|GP130|LRP130|LSFC	Affinity Capture-MS	physical	Forsman A (2008)	18457437	10376	9606	Low Throughput	-	-	-	-	-	BIOGRID
592341	3783746	6205	971788	112119	-	-	EBNA-LP	RPS11	-	S11	Affinity Capture-MS	physical	Forsman A (2008)	18457437	10376	9606	Low Throughput	-	-	-	-	-	BIOGRID
592343	3783746	6207	971788	112121	-	-	EBNA-LP	RPS13	-	S13	Affinity Capture-MS	physical	Forsman A (2008)	18457437	10376	9606	Low Throughput	-	-	-	-	-	BIOGRID
592344	3783746	6208	971788	112122	-	PRO2640	EBNA-LP	RPS14	-	EMTB|S14	Affinity Capture-MS	physical	Forsman A (2008)	18457437	10376	9606	Low Throughput	-	-	-	-	-	BIOGRID
592345	3783746	6209	971788	112123	-	-	EBNA-LP	RPS15	-	RIG|S15	Affinity Capture-MS	physical	Forsman A (2008)	18457437	10376	9606	Low Throughput	-	-	-	-	-	BIOGRID
592346	3783746	6217	971788	112131	-	-	EBNA-LP	RPS16	-	S16	Affinity Capture-MS	physical	Forsman A (2008)	18457437	10376	9606	Low Throughput	-	-	-	-	-	BIOGRID
592347	3783746	6218	971788	112132	-	-	EBNA-LP	RPS17	-	DBA4|RPS17L|RPS17L1|RPS17L2|S17	Affinity Capture-MS	physical	Forsman A (2008)	18457437	10376	9606	Low Throughput	-	-	-	-	-	BIOGRID
592348	3783746	6222	971788	112136	-	DADB-159G18.1	EBNA-LP	RPS18	-	D6S218E|HKE3|KE-3|KE3|S18	Affinity Capture-MS	physical	Forsman A (2008)	18457437	10376	9606	Low Throughput	-	-	-	-	-	BIOGRID
592350	3783746	6187	971788	112101	-	-	EBNA-LP	RPS2	-	LLREP3|S2	Affinity Capture-MS	physical	Forsman A (2008)	18457437	10376	9606	Low Throughput	-	-	-	-	-	BIOGRID
592351	3783746	6228	971788	112142	-	-	EBNA-LP	RPS23	-	S23	Affinity Capture-MS	physical	Forsman A (2008)	18457437	10376	9606	Low Throughput	-	-	-	-	-	BIOGRID
592352	3783746	6230	971788	112144	-	-	EBNA-LP	RPS25	-	S25	Affinity Capture-MS	physical	Forsman A (2008)	18457437	10376	9606	Low Throughput	-	-	-	-	-	BIOGRID
592353	3783746	51065	971788	119256	-	-	EBNA-LP	RPS27L	-	-	Affinity Capture-MS	physical	Forsman A (2008)	18457437	10376	9606	Low Throughput	-	-	-	-	-	BIOGRID
592355	3783746	6189	971788	112103	-	-	EBNA-LP	RPS3A	-	FTE1|MFTL|S3A	Affinity Capture-MS	physical	Forsman A (2008)	18457437	10376	9606	Low Throughput	-	-	-	-	-	BIOGRID
592356	3783746	6191	971788	112105	-	-	EBNA-LP	RPS4X	-	CCG2|DXS306|RPS4|S4|SCAR|SCR10	Affinity Capture-MS	physical	Forsman A (2008)	18457437	10376	9606	Low Throughput	-	-	-	-	-	BIOGRID
592357	3783746	6194	971788	112108	-	RP11-513M16.6	EBNA-LP	RPS6	-	S6	Affinity Capture-MS	physical	Forsman A (2008)	18457437	10376	9606	Low Throughput	-	-	-	-	-	BIOGRID
592358	3783746	6202	971788	112116	-	RP11-269F19.3	EBNA-LP	RPS8	-	S8	Affinity Capture-MS	physical	Forsman A (2008)	18457437	10376	9606	Low Throughput	-	-	-	-	-	BIOGRID
592359	3783746	6203	971788	112117	-	XXbac-BCX105G6.6	EBNA-LP	RPS9	-	S9	Affinity Capture-MS	physical	Forsman A (2008)	18457437	10376	9606	Low Throughput	-	-	-	-	-	BIOGRID
592557	3783746	6134	971788	112054	-	XX-FW83563B9.1	EBNA-LP	RPL10	-	AUTSX5|DXS648|DXS648E|L10|NOV|QM	Affinity Capture-MS	physical	Forsman A (2008)	18457437	10376	9606	Low Throughput	-	-	-	-	-	BIOGRID
592558	3783746	6135	971788	112055	-	RP11-223J15.3	EBNA-LP	RPL11	-	DBA7|GIG34|L11	Affinity Capture-MS	physical	Forsman A (2008)	18457437	10376	9606	Low Throughput	-	-	-	-	-	BIOGRID
592559	3783746	6136	971788	112056	-	-	EBNA-LP	RPL12	-	L12	Affinity Capture-MS	physical	Forsman A (2008)	18457437	10376	9606	Low Throughput	-	-	-	-	-	BIOGRID
592560	3783746	6137	971788	112057	-	OK/SW-cl.46	EBNA-LP	RPL13	-	BBC1|D16S444E|D16S44E|L13	Affinity Capture-MS	physical	Forsman A (2008)	18457437	10376	9606	Low Throughput	-	-	-	-	-	BIOGRID
592561	3783746	6139	971788	112059	-	-	EBNA-LP	RPL17	-	L17|PD-1|RPL23	Affinity Capture-MS	physical	Forsman A (2008)	18457437	10376	9606	Low Throughput	-	-	-	-	-	BIOGRID
592562	3783746	6141	971788	112061	-	-	EBNA-LP	RPL18	-	L18	Affinity Capture-MS	physical	Forsman A (2008)	18457437	10376	9606	Low Throughput	-	-	-	-	-	BIOGRID
