#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
1065056	13626	54196	199384	207596	-	-	Eed	Pabpn1	ENSMUSG00000039373|l(7)5Rn|l7Rn5|lusk	PAB2|Pabp3|mPABII	Affinity Capture-MS	physical	Cao Q (2014)	24457600	10090	10090	High Throughput	-	-	-	-	-	BIOGRID
1510803	23608	54196	117141	207596	-	-	MKRN1	Pabpn1	RNF61	PAB2|Pabp3|mPABII	Affinity Capture-MS	physical	Cassar PA (2015)	26265008	9606	10090	High Throughput	-	-	-	-	-	BIOGRID
2573478	77040	54196	218476	207596	-	-	Atg16l1	Pabpn1	1500009K01Rik|Apg16l|Atg16l|WDR30	PAB2|Pabp3|mPABII	Affinity Capture-MS	physical	Arbogast F (2019)	30196744	10090	10090	High Throughput	-	-	-	-	-	BIOGRID
2620081	209446	54196	229078	207596	RP23-109E24.7	-	Tfe3	Pabpn1	F830016E06Rik|Tcfe3|Tfe-3|bHLHe33	PAB2|Pabp3|mPABII	Affinity Capture-MS	physical	Villegas F (2019)	30595499	10090	10090	High Throughput	-	-	-	-	-	BIOGRID
2649401	54726	54196	120112	207596	-	-	OTUD4	Pabpn1	DUBA6|HIN1|HSHIN1	PAB2|Pabp3|mPABII	Reconstituted Complex	physical	Das R (2019)	31138677	9606	10090	High Throughput	-	-	-	-	-	BIOGRID
2663609	54196	16201	207596	200648	-	-	Pabpn1	Ilf3	PAB2|Pabp3|mPABII	MBII-26|MPHOSPH4|NF90|NFAR	Co-fractionation	physical	Pourhaghighi R (2020)	32325033	10090	10090	High Throughput	0.686	-	-	High confidence interactions had an EPIC Score >= 0.683	-	BIOGRID
2664333	11461	54196	197944	207596	-	-	Actb	Pabpn1	Actx|E430023M04Rik|beta-actin	PAB2|Pabp3|mPABII	Co-fractionation	physical	Pourhaghighi R (2020)	32325033	10090	10090	High Throughput	0.703	-	-	High confidence interactions had an EPIC Score >= 0.683	-	BIOGRID
2664334	14433	54196	199829	207596	-	-	Gapdh	Pabpn1	Gapd	PAB2|Pabp3|mPABII	Co-fractionation	physical	Pourhaghighi R (2020)	32325033	10090	10090	High Throughput	0.741	-	-	High confidence interactions had an EPIC Score >= 0.683	-	BIOGRID
2664335	53379	54196	207301	207596	-	-	Hnrnpa2b1	Pabpn1	9130414A06Rik|Hnrpa2|Hnrpa2b1|hnrnp-A	PAB2|Pabp3|mPABII	Co-fractionation	physical	Pourhaghighi R (2020)	32325033	10090	10090	High Throughput	0.691	-	-	High confidence interactions had an EPIC Score >= 0.683	-	BIOGRID
2664336	15481	54196	200428	207596	-	-	Hspa8	Pabpn1	2410008N15Rik|Hsc70|Hsc71|Hsc73|Hsp73|Hspa10	PAB2|Pabp3|mPABII	Co-fractionation	physical	Pourhaghighi R (2020)	32325033	10090	10090	High Throughput	0.694	-	-	High confidence interactions had an EPIC Score >= 0.683	-	BIOGRID
