#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
663	54464	226	119970	106728	-	-	XRN1	ALDOA	SEP1	ALDA|GSD12|HEL-S-87p	Two-hybrid	physical	Lehner B (2004)	15231747	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
7683	54464	7917	119970	113647	-	DADB-70P7.10-021	XRN1	BAG6	SEP1	BAG-6|BAT3|D6S52E|G3	Two-hybrid	physical	Lehner B (2004)	15231747	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
23021	54464	6603	119970	112487	-	PRO2451	XRN1	SMARCD2	SEP1	BAF60B|CRACD2|Rsc6p	Two-hybrid	physical	Lehner B (2004)	15231747	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
26225	54464	1108	119970	107533	-	-	XRN1	CHD4	SEP1	CHD-4|Mi-2b|Mi2-BETA	Two-hybrid	physical	Lehner B (2004)	15231747	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
26387	54464	8761	119970	114296	-	-	XRN1	PABPC4	SEP1	APP-1|APP1|PABP4|iPABP	Two-hybrid	physical	Lehner B (2004)	15231747	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
26567	54464	8906	119970	114420	-	-	XRN1	AP1G2	SEP1	G2AD	Two-hybrid	physical	Lehner B (2004)	15231747	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
28577	25804	54464	117336	119970	-	-	LSM4	XRN1	GRP|YER112W	SEP1	Two-hybrid	physical	Lehner B (2004)	15231747	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
28692	54464	22948	119970	116603	-	-	XRN1	CCT5	SEP1	CCT-epsilon|CCTE|HEL-S-69|TCP-1-epsilon	Two-hybrid	physical	Lehner B (2004)	15231747	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
253662	5976	54464	111908	119970	-	-	UPF1	XRN1	HUPF1|NORF1|RENT1|pNORF1|smg-2	SEP1	Affinity Capture-Western	physical	Lejeune F (2003)	14527413	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
253670	26019	54464	117490	119970	-	-	UPF2	XRN1	HUPF2|RENT2|smg-3	SEP1	Affinity Capture-Western	physical	Lejeune F (2003)	14527413	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
253678	65110	54464	122397	119970	RP11-569D9.1	-	UPF3A	XRN1	HUPF3A|RENT3A|UPF3	SEP1	Affinity Capture-Western	physical	Lejeune F (2003)	14527413	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
427064	4292	54464	110438	119970	-	-	MLH1	XRN1	COCA2|FCC2|HNPCC|HNPCC2|hMLH1	SEP1	Affinity Capture-MS	physical	Cannavo E (2007)	17148452	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
564219	4609	54464	110694	119970	-	-	MYC	XRN1	MRTL|MYCC|bHLHe39|c-Myc	SEP1	Affinity Capture-MS	physical	Koch HB (2007)	17314511	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
667519	51547	54464	119602	119970	-	-	SIRT7	XRN1	SIR2L7	SEP1	Affinity Capture-MS	physical	Tsai YC (2012)	22586326	9606	9606	High Throughput	-	-	-	exogenous expression of bait|figure 2, table S1.	-	BIOGRID
797861	5976	54464	111908	119970	-	-	UPF1	XRN1	HUPF1|NORF1|RENT1|pNORF1|smg-2	SEP1	Affinity Capture-Western	physical	Franks TM (2010)	21145460	9606	9606	Low Throughput	-	-	-	figure 6.	-	BIOGRID
832856	5976	54464	111908	119970	-	-	UPF1	XRN1	HUPF1|NORF1|RENT1|pNORF1|smg-2	SEP1	Affinity Capture-Western	physical	Isken O (2008)	18423202	9606	9606	Low Throughput	-	-	-	figure 1.	-	BIOGRID
905492	6499	54464	112390	119970	DADB-112B14.3	-	SKIV2L	XRN1	170A|DDX13|HLP|SKI2|SKI2W|SKIV2|THES2	SEP1	Two-hybrid	physical	Lehner B (2004)	15231747	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
905587	54464	3939	119970	110131	-	PIG19	XRN1	LDHA	SEP1	GSD11|HEL-S-133P|LDH1|LDHM	Two-hybrid	physical	Lehner B (2004)	15231747	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
905588	54464	90113	119970	124663	-	-	XRN1	VWA5B2	SEP1	-	Two-hybrid	physical	Lehner B (2004)	15231747	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
905589	54464	10254	119970	115548	-	-	XRN1	STAM2	SEP1	Hbp|STAM2A|STAM2B	Two-hybrid	physical	Lehner B (2004)	15231747	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
905590	54464	51079	119970	119270	-	CGI-39	XRN1	NDUFA13	SEP1	B16.6|CDA016|GRIM-19|GRIM19	Two-hybrid	physical	Lehner B (2004)	15231747	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
905591	54464	55127	119970	120433	-	RP11-385F5.3	XRN1	HEATR1	SEP1	BAP28|UTP10	Two-hybrid	physical	Lehner B (2004)	15231747	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
905592	54464	64847	119970	122320	-	-	XRN1	SPATA20	SEP1	SSP411|Tisp78	Two-hybrid	physical	Lehner B (2004)	15231747	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
905593	54464	4716	119970	110796	-	-	XRN1	NDUFB10	SEP1	PDSW	Two-hybrid	physical	Lehner B (2004)	15231747	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
905594	54464	4715	119970	110795	-	-	XRN1	NDUFB9	SEP1	B22|CI-B22|LYRM3|UQOR22	Two-hybrid	physical	Lehner B (2004)	15231747	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
905595	54464	23063	119970	116698	-	RP11-396M20.1	XRN1	WAPAL	SEP1	FOE|KIAA0261|WAPL	Two-hybrid	physical	Lehner B (2004)	15231747	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
905596	54464	29952	119970	118989	-	-	XRN1	DPP7	SEP1	DPP2|DPPII|QPP	Two-hybrid	physical	Lehner B (2004)	15231747	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
