#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
471796	18999	17184	202313	201324	-	-	Pou5f1	Matr3	NF-A3|Oct-3|Oct-3/4|Oct-4|Oct3|Oct3/4|Oct4|Otf-3|Otf-4|Otf3|Otf3-rs7|Otf3g|Otf4	1110061A14Rik|2810017I02Rik|AI841759|AW555618|D030046F20Rik|mKIAA0723	Affinity Capture-MS	physical	Pardo M (2010)	20362542	10090	10090	Low Throughput	-	-	-	escells	-	BIOGRID
531608	19821	17184	202919	201324	-	-	Rnf2	Matr3	AI326319|AI450156|AU019207|Ring1B|dinG	1110061A14Rik|2810017I02Rik|AI841759|AW555618|D030046F20Rik|mKIAA0723	Affinity Capture-MS	physical	Sanchez C (2007)	17296600	10090	10090	Low Throughput	-	-	-	-	-	BIOGRID
674360	18999	17184	202313	201324	-	-	Pou5f1	Matr3	NF-A3|Oct-3|Oct-3/4|Oct-4|Oct3|Oct3/4|Oct4|Otf-3|Otf-4|Otf3|Otf3-rs7|Otf3g|Otf4	1110061A14Rik|2810017I02Rik|AI841759|AW555618|D030046F20Rik|mKIAA0723	Affinity Capture-MS	physical	Ding J (2012)	22083510	10090	10090	High Throughput	-	-	-	table S1.	-	BIOGRID
834807	22631	17184	204623	201324	-	-	Ywhaz	Matr3	1110013I11Rik|14-3-3zeta|AI596267|AL022924|AU020854	1110061A14Rik|2810017I02Rik|AI841759|AW555618|D030046F20Rik|mKIAA0723	Affinity Capture-MS	physical	Angrand PO (2006)	16959763	10090	10090	High Throughput	-	-	-	-	-	BIOGRID
853139	664883	17184	576757	201324	-	-	Nova1	Matr3	9430099M15Rik|G630039L02|Nova-1	1110061A14Rik|2810017I02Rik|AI841759|AW555618|D030046F20Rik|mKIAA0723	Two-hybrid	physical	Polydorides AD (2000)	10829067	10090	10090	Low Throughput	-	-	-	-	-	BIOGRID
853141	384569	17184	239218	201324	-	-	Nova2	Matr3	Gm1424	1110061A14Rik|2810017I02Rik|AI841759|AW555618|D030046F20Rik|mKIAA0723	Two-hybrid	physical	Polydorides AD (2000)	10829067	10090	10090	Low Throughput	-	-	-	-	-	BIOGRID
870383	801	17184	107252	201324	-	-	CALM1	Matr3	CALML2|CAMI|CPVT4|DD132|PHKD|caM	1110061A14Rik|2810017I02Rik|AI841759|AW555618|D030046F20Rik|mKIAA0723	Affinity Capture-MS	physical	Berggard T (2006)	16512683	9606	10090	High Throughput	-	-	-	-	-	BIOGRID
1064926	13626	17184	199384	201324	-	-	Eed	Matr3	ENSMUSG00000039373|l(7)5Rn|l7Rn5|lusk	1110061A14Rik|2810017I02Rik|AI841759|AW555618|D030046F20Rik|mKIAA0723	Affinity Capture-MS	physical	Cao Q (2014)	24457600	10090	10090	High Throughput	-	-	-	-	-	BIOGRID
1256651	217331	17184	229889	201324	RP23-42F6.4	-	Unk	Matr3	B230379M23Rik|Zc3h5|Zc3hdc5|mKIAA1753	1110061A14Rik|2810017I02Rik|AI841759|AW555618|D030046F20Rik|mKIAA0723	Affinity Capture-RNA	physical	Murn J (2015)	25737280	10090	10090	High Throughput	-	-	-	-	-	BIOGRID
1437851	13711	17184	199428	201324	RP23-445A5.2	-	Elf5	Matr3	ESE-2|ESE-5|ESE-5.	1110061A14Rik|2810017I02Rik|AI841759|AW555618|D030046F20Rik|mKIAA0723	Affinity Capture-MS	physical	Latos PA (2015)	26584622	10090	10090	High Throughput	-	-	-	-	-	BIOGRID
1510805	23608	17184	117141	201324	-	-	MKRN1	Matr3	RNF61	1110061A14Rik|2810017I02Rik|AI841759|AW555618|D030046F20Rik|mKIAA0723	Affinity Capture-MS	physical	Cassar PA (2015)	26265008	9606	10090	High Throughput	-	-	-	-	-	BIOGRID
1516622	12606	17184	198667	201324	-	-	Cebpa	Matr3	C/ebpalpha|CBF-A|Cebp	1110061A14Rik|2810017I02Rik|AI841759|AW555618|D030046F20Rik|mKIAA0723	Affinity Capture-MS	physical	Grebien F (2015)	26167872	10090	10090	High Throughput	-	-	-	p30 isoform|p42 isoform	-	BIOGRID
2338289	20430	17184	203226	201324	-	-	Cyfip1	Matr3	E030028J09Rik|P140SRA-1|P140sra1|Shyc|Sra-1|Sra1|l(7)1Rl|l71Rl|l7Rl1|mKIAA0068|pl-1	1110061A14Rik|2810017I02Rik|AI841759|AW555618|D030046F20Rik|mKIAA0723	Affinity Capture-MS	physical	Li J (2017)	28671696	10090	10090	High Throughput	-	-	-	Adult postsynaptic density (PSD)	-	BIOGRID
2338456	14265	17184	199716	201324	-	-	Fmr1	Matr3	FMRP|Fmr-1	1110061A14Rik|2810017I02Rik|AI841759|AW555618|D030046F20Rik|mKIAA0723	Affinity Capture-MS	physical	Li J (2017)	28671696	10090	10090	High Throughput	-	-	-	Adult non-postsynaptic density (PSD)|e14	-	BIOGRID
2340059	15204	17184	200274	201324	-	-	Herc2	Matr3	D15F32S1h|D7H15F32S1|D7H15F37S1|jdf2|mKIAA0393|rjs	1110061A14Rik|2810017I02Rik|AI841759|AW555618|D030046F20Rik|mKIAA0723	Affinity Capture-MS	physical	Li J (2017)	28671696	10090	10090	High Throughput	-	-	-	e14	-	BIOGRID
2340172	105689	17184	222897	201324	-	-	Mycbp2	Matr3	AU023734|AW107953|AW546647|C130061D10Rik|Pam|Phr1|R75243	1110061A14Rik|2810017I02Rik|AI841759|AW555618|D030046F20Rik|mKIAA0723	Affinity Capture-MS	physical	Li J (2017)	28671696	10090	10090	High Throughput	-	-	-	Adult non-postsynaptic density (PSD)|e14	-	BIOGRID
2340455	83679	17184	219963	201324	-	-	Pde4dip	Matr3	4732458A06Rik|9430063L05Rik|C87016|D130016K21Rik|D3Bwg1078e|Usmg4|mKIAA0454	1110061A14Rik|2810017I02Rik|AI841759|AW555618|D030046F20Rik|mKIAA0723	Affinity Capture-MS	physical	Li J (2017)	28671696	10090	10090	High Throughput	-	-	-	Adult non-postsynaptic density (PSD)	-	BIOGRID
2341504	211651	17184	229254	201324	-	-	Fancd2	Matr3	2410150O07Rik|AU015151|BB137857|FA-D2|FA4|FACD|FAD|FANCD	1110061A14Rik|2810017I02Rik|AI841759|AW555618|D030046F20Rik|mKIAA0723	Affinity Capture-MS	physical	Zhang T (2017)	28378742	10090	10090	High Throughput	-	-	-	-	-	BIOGRID
2343891	665113	17184	576981	201324	-	-	Tnik	Matr3	1500031A17Rik|4831440I19Rik|AI451411|C530008O15Rik|C630040K21Rik	1110061A14Rik|2810017I02Rik|AI841759|AW555618|D030046F20Rik|mKIAA0723	Affinity Capture-MS	physical	Li J (2017)	28671696	10090	10090	High Throughput	-	-	-	e14	-	BIOGRID
2344003	64930	17184	211115	201324	RP23-362N19.3	-	Tsc1	Matr3	-	1110061A14Rik|2810017I02Rik|AI841759|AW555618|D030046F20Rik|mKIAA0723	Affinity Capture-MS	physical	Li J (2017)	28671696	10090	10090	High Throughput	-	-	-	e14	-	BIOGRID
2448522	15387	17184	200359	201324	-	-	Hnrnpk	Matr3	Hnrpk|KBBP|NOVA	1110061A14Rik|2810017I02Rik|AI841759|AW555618|D030046F20Rik|mKIAA0723	Affinity Capture-MS	physical	Mikula M (2015)	26336360	10090	10090	High Throughput	-	-	-	-	-	BIOGRID
2534464	217124	17184	229847	201324	RP23-112C19.3	-	Ppp1r9b	Matr3	SPL|Spn	1110061A14Rik|2810017I02Rik|AI841759|AW555618|D030046F20Rik|mKIAA0723	Affinity Capture-MS	physical	Watkins DS (2018)	30562941	10090	10090	High Throughput	-	-	-	-	-	BIOGRID
