#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
269146	841810	824712	27035	10028	AT1G53720	AT3G55460	CYP59	SCL30	ATCYP59|CYCLOPHILIN 59|F22G10.24|F22G10_24	SC35-like splicing factor 30	Reconstituted Complex	physical	Gullerova M (2006)	16497658	3702	3702	Low Throughput	-	-	-	-	-	BIOGRID
296917	831999	824712	17275	10028	AT5G18810	AT3G55460	SCL28	SCL30	F17K4.60|F17K4_60|SC35-like splicing factor 28	SC35-like splicing factor 30	Reconstituted Complex	physical	Lorkovic ZJ (2008)	18674533	3702	3702	Low Throughput	-	-	-	-	-	BIOGRID
296920	824712	838997	10028	24235	AT3G55460	AT1G23860	SCL30	RSZP21	SC35-like splicing factor 30	RS-containing zinc finger protein 21|SRZ-21|SRZ21|T23E23.2|T23E23_2	Reconstituted Complex	physical	Lorkovic ZJ (2008)	18674533	3702	3702	Low Throughput	-	-	-	-	-	BIOGRID
296921	824712	837433	10028	22674	AT3G55460	AT1G09140	SCL30	ATSRP30	SC35-like splicing factor 30	ATSRP30.1|ATSRP30.2|SERINE-ARGININE PROTEIN 30|T12M4.19|T12M4_19	Reconstituted Complex	physical	Lorkovic ZJ (2008)	18674533	3702	3702	Low Throughput	-	-	-	-	-	BIOGRID
296922	824712	839262	10028	24497	AT3G55460	AT1G02840	SCL30	SR1	SC35-like splicing factor 30	ATSRP34|F22D16.16|F22D16_16|SRP34	Reconstituted Complex	physical	Lorkovic ZJ (2008)	18674533	3702	3702	Low Throughput	-	-	-	-	-	BIOGRID
296923	824712	831999	10028	17275	AT3G55460	AT5G18810	SCL30	SCL28	SC35-like splicing factor 30	F17K4.60|F17K4_60|SC35-like splicing factor 28	Reconstituted Complex	physical	Lorkovic ZJ (2008)	18674533	3702	3702	Low Throughput	-	-	-	-	-	BIOGRID
296924	824712	824712	10028	10028	AT3G55460	AT3G55460	SCL30	SCL30	SC35-like splicing factor 30	SC35-like splicing factor 30	Reconstituted Complex	physical	Lorkovic ZJ (2008)	18674533	3702	3702	Low Throughput	-	-	-	-	-	BIOGRID
296925	824712	820559	10028	5893	AT3G55460	AT3G13570	SCL30	SCL30A	SC35-like splicing factor 30	SC35-like splicing factor 30A	Reconstituted Complex	physical	Lorkovic ZJ (2008)	18674533	3702	3702	Low Throughput	-	-	-	-	-	BIOGRID
296930	820559	824712	5893	10028	AT3G13570	AT3G55460	SCL30A	SCL30	SC35-like splicing factor 30A	SC35-like splicing factor 30	Reconstituted Complex	physical	Lorkovic ZJ (2008)	18674533	3702	3702	Low Throughput	-	-	-	-	-	BIOGRID
296933	841976	824712	27201	10028	AT1G55310	AT3G55460	SR33	SCL30	ATSCL33|F7A10.26|F7A10.27|F7A10_26|SC35-LIKE SPLICING FACTOR 33|SCL33	SC35-like splicing factor 30	Reconstituted Complex	physical	Lorkovic ZJ (2008)	18674533	3702	3702	Low Throughput	-	-	-	-	-	BIOGRID
296936	836541	824712	21783	10028	AT5G64200	AT3G55460	SC35	SCL30	ARABIDOPSIS THALIANA ORTHOLOG OF HUMAN SPLICING FACTOR SC35|ATSC35|MSJ1.4|MSJ1_4|ortholog of human splicing factor SC35	SC35-like splicing factor 30	Reconstituted Complex	physical	Lorkovic ZJ (2008)	18674533	3702	3702	Low Throughput	-	-	-	-	-	BIOGRID
331611	829377	824712	14663	10028	AT4G32420	AT3G55460	AT4G32420	SCL30	F8B4.120|F8B4_120	SC35-like splicing factor 30	Two-hybrid	physical	Lorkovic ZJ (2004)	15166240	3702	3702	Low Throughput	-	-	-	-	-	BIOGRID
331619	825515	824712	10829	10028	AT3G63400	AT3G55460	AT3G63400	SCL30	-	SC35-like splicing factor 30	Two-hybrid	physical	Lorkovic ZJ (2004)	15166240	3702	3702	Low Throughput	-	-	-	-	-	BIOGRID
331623	825515	824712	10829	10028	AT3G63400	AT3G55460	AT3G63400	SCL30	-	SC35-like splicing factor 30	Reconstituted Complex	physical	Lorkovic ZJ (2004)	15166240	3702	3702	Low Throughput	-	-	-	-	-	BIOGRID
331709	818311	824712	3655	10028	AT2G37340	AT3G55460	RSZ33	SCL30	ARGININE/SERINE-RICH ZINC KNUCKLE-CONTAINING PROTEIN 33|ATRSZ33|F3G5.13|F3G5_13	SC35-like splicing factor 30	Two-hybrid	physical	Lopato S (2002)	12176998	3702	3702	Low Throughput	-	-	-	-	-	BIOGRID
331716	818311	824712	3655	10028	AT2G37340	AT3G55460	RSZ33	SCL30	ARGININE/SERINE-RICH ZINC KNUCKLE-CONTAINING PROTEIN 33|ATRSZ33|F3G5.13|F3G5_13	SC35-like splicing factor 30	Reconstituted Complex	physical	Lopato S (2002)	12176998	3702	3702	Low Throughput	-	-	-	-	-	BIOGRID
331720	824712	818311	10028	3655	AT3G55460	AT2G37340	SCL30	RSZ33	SC35-like splicing factor 30	ARGININE/SERINE-RICH ZINC KNUCKLE-CONTAINING PROTEIN 33|ATRSZ33|F3G5.13|F3G5_13	Reconstituted Complex	physical	Lopato S (2002)	12176998	3702	3702	Low Throughput	-	-	-	-	-	BIOGRID
336750	818938	824712	4275	10028	AT2G43370	AT3G55460	AT2G43370	SCL30	T1O24.11	SC35-like splicing factor 30	Reconstituted Complex	physical	Lorkovic ZJ (2005)	15987817	3702	3702	Low Throughput	-	-	-	-	-	BIOGRID
429613	829285	824712	14571	10028	AT4G31580	AT3G55460	SRZ-22	SCL30	F28M20.230|F28M20_230|RS-CONTAINING ZINC FINGER PROTEIN 22|RSZP22|SRZ22|serine/arginine-rich 22	SC35-like splicing factor 30	FRET	physical	Rausin G (2010)	20237019	3702	3702	Low Throughput	-	-	-	-	-	BIOGRID
482276	829208	824712	14495	10028	AT4G30840	AT3G55460	AT4G30840	SCL30	F6I18.250|F6I18_250	SC35-like splicing factor 30	Affinity Capture-MS	physical	Tamura K (2010)	21189294	3702	3702	High Throughput	-	-	-	-	-	BIOGRID
594868	824712	830307	10028	15587	AT3G55460	AT5G04280	SCL30	AT5G04280	SC35-like splicing factor 30	T19N18.10|T19N18_10	Two-hybrid	physical	Braun P (2011)	21798944	3702	3702	High Throughput	-	-	-	-	-	BIOGRID
