#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
663244	1994	115004	108309	125408	-	RP11-398K22.2	ELAVL1	MB21D1	ELAV1|HUR|Hua|MelG	C6orf150|cGAS|h-cGAS	Affinity Capture-RNA	physical	Abdelmohsen K (2009)	19322201	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1457386	23133	115004	116751	125408	RP13-444K19.2	RP11-398K22.2	PHF8	MB21D1	JHDM1F|MRXSSD|ZNF422	C6orf150|cGAS|h-cGAS	Affinity Capture-MS	physical	Hein MY (2015)	26496610	9606	9606	High Throughput	-	-	-	interaction detected by quantitative BAC-GFP interactomics (QUBIC)	-	BIOGRID
1457387	54737	115004	120119	125408	RP11-523H24.1	RP11-398K22.2	MPHOSPH8	MB21D1	HSMPP8|TWA3|mpp8	C6orf150|cGAS|h-cGAS	Affinity Capture-MS	physical	Hein MY (2015)	26496610	9606	9606	High Throughput	-	-	-	interaction detected by quantitative BAC-GFP interactomics (QUBIC)	-	BIOGRID
1457388	197257	115004	128242	125408	-	RP11-398K22.2	LDHD	MB21D1	DLD	C6orf150|cGAS|h-cGAS	Affinity Capture-MS	physical	Hein MY (2015)	26496610	9606	9606	High Throughput	-	-	-	interaction detected by quantitative BAC-GFP interactomics (QUBIC)	-	BIOGRID
1471104	71711	115004	214873	125408	-	RP11-398K22.2	Mus81	MB21D1	1200008A18Rik|AI182501|AW045863	C6orf150|cGAS|h-cGAS	Affinity Capture-MS	physical	Hein MY (2015)	26496610	10090	9606	High Throughput	-	-	-	interaction detected by quantitative BAC-GFP interactomics (QUBIC)	-	BIOGRID
1471105	105988	115004	222968	125408	-	RP11-398K22.2	Espl1	MB21D1	AL024103|AU045071|Cerp|ESP1|PRCE|SSE	C6orf150|cGAS|h-cGAS	Affinity Capture-MS	physical	Hein MY (2015)	26496610	10090	9606	High Throughput	-	-	-	interaction detected by quantitative BAC-GFP interactomics (QUBIC)	-	BIOGRID
2270823	115004	51042	125408	119241	RP11-398K22.2	RP11-96L14.6	MB21D1	ZNF593	C6orf150|cGAS|h-cGAS	ZT86	Affinity Capture-MS	physical	Huttlin EL (2017)	28514442	9606	9606	High Throughput	0.774754208	-	-	BioPlex 2.0 HEK 293T cells CompPASS score = 0.774754208, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 3.0 (PMID: 33961781) and may be re-scored from BioPlex 1.0 (PMID: 26186194). Only scores from within BioPlex 2.0 (PMID: 28514442) should be compared directly.	-	BIOGRID
2380417	91445	115004	124834	125408	-	RP11-398K22.2	RNF185	MB21D1	-	C6orf150|cGAS|h-cGAS	Affinity Capture-Western	physical	Wang Q (2017)	28273161	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
2380418	115004	91445	125408	124834	RP11-398K22.2	-	MB21D1	RNF185	C6orf150|cGAS|h-cGAS	-	Affinity Capture-Western	physical	Wang Q (2017)	28273161	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
2380420	91445	115004	124834	125408	-	RP11-398K22.2	RNF185	MB21D1	-	C6orf150|cGAS|h-cGAS	Biochemical Activity	physical	Wang Q (2017)	28273161	9606	9606	Low Throughput	-	Ubiquitination	-	E1 is UBA1; E2 is UBC5A (assumed to be UBE2D1); forms K27-linked polyubiquitin chains	-	BIOGRID
2490733	7080	115004	112936	125408	-	RP11-398K22.2	NKX2-1	MB21D1	BCH|BHC|NK-2|NKX2.1|NKX2A|T/EBP|TEBP|TITF1|TTF-1|TTF1	C6orf150|cGAS|h-cGAS	Affinity Capture-MS	physical	Liu Z (2017)	28192407	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
2521665	115004	90933	125408	124780	RP11-398K22.2	-	MB21D1	TRIM41	C6orf150|cGAS|h-cGAS	RINCK	Affinity Capture-Western	physical	Liu ZS (2018)	29760876	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
2533993	28960	115004	118787	125408	HSPC015	RP11-398K22.2	DCPS	MB21D1	DCS1|HINT-5|HINT5|HSL1	C6orf150|cGAS|h-cGAS	Affinity Capture-MS	physical	Yamauchi T (2018)	29478914	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
2535947	115004	9100	125408	114554	RP11-398K22.2	-	MB21D1	USP10	C6orf150|cGAS|h-cGAS	UBPO	Affinity Capture-MS	physical	Lum KK (2018)	30471916	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
2535948	115004	26064	125408	117526	RP11-398K22.2	-	MB21D1	RAI14	C6orf150|cGAS|h-cGAS	NORPEG|RAI13	Affinity Capture-MS	physical	Lum KK (2018)	30471916	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
2535949	115004	7052	125408	112910	RP11-398K22.2	RP5-1054A22.2	MB21D1	TGM2	C6orf150|cGAS|h-cGAS	G-ALPHA-h|GNAH|HEL-S-45|TG2|TGC	Affinity Capture-MS	physical	Lum KK (2018)	30471916	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
2535950	115004	1513	125408	107893	RP11-398K22.2	RP11-363I22.4	MB21D1	CTSK	C6orf150|cGAS|h-cGAS	CTS02|CTSO|CTSO1|CTSO2|PKND|PYCD	Affinity Capture-MS	physical	Lum KK (2018)	30471916	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
2535951	115004	10763	125408	115983	RP11-398K22.2	Nbla00170	MB21D1	NES	C6orf150|cGAS|h-cGAS	-	Affinity Capture-MS	physical	Lum KK (2018)	30471916	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
2535952	115004	23213	125408	116820	RP11-398K22.2	-	MB21D1	SULF1	C6orf150|cGAS|h-cGAS	HSULF-1|SULF-1	Affinity Capture-MS	physical	Lum KK (2018)	30471916	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
2535953	115004	10513	125408	115769	RP11-398K22.2	-	MB21D1	APPBP2	C6orf150|cGAS|h-cGAS	APP-BP2|HS.84084|PAT1	Affinity Capture-MS	physical	Lum KK (2018)	30471916	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
2535954	115004	2697	125408	108964	RP11-398K22.2	-	MB21D1	GJA1	C6orf150|cGAS|h-cGAS	AVSD3|CMDR|CX43|GJAL|HLHS1|HSS|ODDD	Affinity Capture-MS	physical	Lum KK (2018)	30471916	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
2535955	115004	55293	125408	120580	RP11-398K22.2	-	MB21D1	UEVLD	C6orf150|cGAS|h-cGAS	ATTP|UEV3	Affinity Capture-MS	physical	Lum KK (2018)	30471916	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
