#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
670145	30011	221496	119029	128735	RP11-345L8.1	RP3-482C21.2	SH3KBP1	LEMD2	CD2BP3|CIN85|GIG10|HSB-1|HSB1|MIG18	NET25|dJ482C21.1	Affinity Capture-MS	physical	Havrylov S (2009)	19531213	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
837923	4961486	221496	1776989	128735	HHV8GK18_gp11	RP3-482C21.2	K3	LEMD2	-	NET25|dJ482C21.1	Affinity Capture-MS	physical	Pichlmair A (2012)	22810585	37296	9606	High Throughput	-	-	-	We isolated interacting cellular proteins by tandem affinity purification (TAP) and analysed purified proteins by tandem mass spectrometry	-	BIOGRID
1179255	10098	221496	115405	128735	-	RP3-482C21.2	TSPAN5	LEMD2	NET-4|NET4|TM4SF9|TSPAN-5	NET25|dJ482C21.1	Affinity Capture-MS	physical	Huttlin EL (2015)	26186194	9606	9606	High Throughput	0.83735285	-	-	BioPlex 1.0 HEK 293T cells CompPASS score = 0.83735285, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 2.0 (PMID: 28514442) and BioPlex 3.0 (PMID: 33961781). Only scores from within BioPlex 1.0 (PMID: 26186194) should be compared directly.	-	BIOGRID
1183366	163183	221496	127856	128735	-	RP3-482C21.2	SYNE4	LEMD2	C19orf46|DFNB76|Nesp4	NET25|dJ482C21.1	Affinity Capture-MS	physical	Huttlin EL (2015)	26186194	9606	9606	High Throughput	0.919422867	-	-	BioPlex 1.0 HEK 293T cells CompPASS score = 0.919422867, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 2.0 (PMID: 28514442) and BioPlex 3.0 (PMID: 33961781). Only scores from within BioPlex 1.0 (PMID: 26186194) should be compared directly.	-	BIOGRID
1186651	55559	221496	120718	128735	-	RP3-482C21.2	HAUS7	LEMD2	UCHL5IP|UIP1	NET25|dJ482C21.1	Affinity Capture-MS	physical	Huttlin EL (2015)	26186194	9606	9606	High Throughput	0.963192893	-	-	BioPlex 1.0 HEK 293T cells CompPASS score = 0.963192893, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 2.0 (PMID: 28514442) and BioPlex 3.0 (PMID: 33961781). Only scores from within BioPlex 1.0 (PMID: 26186194) should be compared directly.	-	BIOGRID
1187862	55630	221496	120769	128735	-	RP3-482C21.2	SLC39A4	LEMD2	AEZ|AWMS2|ZIP4	NET25|dJ482C21.1	Affinity Capture-MS	physical	Huttlin EL (2015)	26186194	9606	9606	High Throughput	0.997638698	-	-	BioPlex 1.0 HEK 293T cells CompPASS score = 0.997638698, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 2.0 (PMID: 28514442) and BioPlex 3.0 (PMID: 33961781). Only scores from within BioPlex 1.0 (PMID: 26186194) should be compared directly.	-	BIOGRID
1189763	8788	221496	114316	128735	-	RP3-482C21.2	DLK1	LEMD2	DLK|DLK-1|Delta1|FA1|PREF1|Pref-1|ZOG|pG2	NET25|dJ482C21.1	Affinity Capture-MS	physical	Huttlin EL (2015)	26186194	9606	9606	High Throughput	0.959342814	-	-	BioPlex 1.0 HEK 293T cells CompPASS score = 0.959342814, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 2.0 (PMID: 28514442) and BioPlex 3.0 (PMID: 33961781). Only scores from within BioPlex 1.0 (PMID: 26186194) should be compared directly.	-	BIOGRID
1190746	6442	221496	112340	128735	-	RP3-482C21.2	SGCA	LEMD2	50-DAG|A2|ADL|DAG2|DMDA2|LGMD2D|SCARMD1|adhalin	NET25|dJ482C21.1	Affinity Capture-MS	physical	Huttlin EL (2015)	26186194	9606	9606	High Throughput	0.931893551	-	-	BioPlex 1.0 HEK 293T cells CompPASS score = 0.931893551, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 2.0 (PMID: 28514442) and BioPlex 3.0 (PMID: 33961781). Only scores from within BioPlex 1.0 (PMID: 26186194) should be compared directly.	-	BIOGRID
1192480	1142	221496	107564	128735	-	RP3-482C21.2	CHRNB3	LEMD2	-	NET25|dJ482C21.1	Affinity Capture-MS	physical	Huttlin EL (2015)	26186194	9606	9606	High Throughput	0.996203718	-	-	BioPlex 1.0 HEK 293T cells CompPASS score = 0.996203718, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 2.0 (PMID: 28514442) and BioPlex 3.0 (PMID: 33961781). Only scores from within BioPlex 1.0 (PMID: 26186194) should be compared directly.	-	BIOGRID
1196510	55584	221496	120731	128735	-	RP3-482C21.2	CHRNA9	LEMD2	HSA243342|NACHRA9	NET25|dJ482C21.1	Affinity Capture-MS	physical	Huttlin EL (2015)	26186194	9606	9606	High Throughput	0.99922702	-	-	BioPlex 1.0 HEK 293T cells CompPASS score = 0.99922702, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 2.0 (PMID: 28514442) and BioPlex 3.0 (PMID: 33961781). Only scores from within BioPlex 1.0 (PMID: 26186194) should be compared directly.	-	BIOGRID
1415556	3428	221496	109654	128735	-	RP3-482C21.2	IFI16	LEMD2	IFNGIP1|PYHIN2	NET25|dJ482C21.1	Affinity Capture-MS	physical	Diner BA (2015)	25693804	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1457978	6134	221496	112054	128735	XX-FW83563B9.1	RP3-482C21.2	RPL10	LEMD2	AUTSX5|DXS648|DXS648E|L10|NOV|QM	NET25|dJ482C21.1	Affinity Capture-MS	physical	Hein MY (2015)	26496610	9606	9606	High Throughput	-	-	-	interaction detected by quantitative BAC-GFP interactomics (QUBIC)	-	BIOGRID
1457979	6272	221496	112180	128735	-	RP3-482C21.2	SORT1	LEMD2	Gp95|LDLCQ6|NT3	NET25|dJ482C21.1	Affinity Capture-MS	physical	Hein MY (2015)	26496610	9606	9606	High Throughput	-	-	-	interaction detected by quantitative BAC-GFP interactomics (QUBIC)	-	BIOGRID
1457980	10492	221496	115755	128735	RP1-3J17.2	RP3-482C21.2	SYNCRIP	LEMD2	GRY-RBP|GRYRBP|HNRNPQ|HNRPQ1|NSAP1|PP68|hnRNP-Q	NET25|dJ482C21.1	Affinity Capture-MS	physical	Hein MY (2015)	26496610	9606	9606	High Throughput	-	-	-	interaction detected by quantitative BAC-GFP interactomics (QUBIC)	-	BIOGRID
1457981	10528	221496	115783	128735	RP4-686C3.1	RP3-482C21.2	NOP56	LEMD2	NOL5A|SCA36	NET25|dJ482C21.1	Affinity Capture-MS	physical	Hein MY (2015)	26496610	9606	9606	High Throughput	-	-	-	interaction detected by quantitative BAC-GFP interactomics (QUBIC)	-	BIOGRID
1471627	16709	221496	201049	128735	-	RP3-482C21.2	Ktn1	LEMD2	-	NET25|dJ482C21.1	Affinity Capture-MS	physical	Hein MY (2015)	26496610	10090	9606	High Throughput	-	-	-	interaction detected by quantitative BAC-GFP interactomics (QUBIC)	-	BIOGRID
1471628	56334	221496	207909	128735	-	RP3-482C21.2	Tmed2	LEMD2	1110032D12Rik|1810020N21Rik|Rnp24|Sid394|p24beta1	NET25|dJ482C21.1	Affinity Capture-MS	physical	Hein MY (2015)	26496610	10090	9606	High Throughput	-	-	-	interaction detected by quantitative BAC-GFP interactomics (QUBIC)	-	BIOGRID
1512564	4771	221496	110844	128735	-	RP3-482C21.2	NF2	LEMD2	ACN|BANF|SCH	NET25|dJ482C21.1	Affinity Capture-MS	physical	Zhou L (2015)	26549023	9606	9606	High Throughput	-	-	-	Table S1	-	BIOGRID
2226285	491	221496	106981	128735	-	RP3-482C21.2	ATP2B2	LEMD2	PMCA2|PMCA2a|PMCA2i	NET25|dJ482C21.1	Affinity Capture-MS	physical	Huttlin EL (2017)	28514442	9606	9606	High Throughput	0.999923134	-	-	BioPlex 2.0 HEK 293T cells CompPASS score = 0.999923134, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 3.0 (PMID: 33961781) and may be re-scored from BioPlex 1.0 (PMID: 26186194). Only scores from within BioPlex 2.0 (PMID: 28514442) should be compared directly.	-	BIOGRID
