#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
1053395	10482	22849	115745	116521	-	RP11-430L14.3	NXF1	CPEB3	MEX67|TAP	-	Affinity Capture-RNA	physical	Castello A (2012)	22658674	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
2298047	29153	22849	247836	116521	-	RP11-430L14.3	Capn1	CPEB3	-	-	Biochemical Activity	physical	Wang CF (2012)	22711986	10116	9606	Low Throughput	-	Proteolytic Processing	-	-	-	BIOGRID
2298049	29154	22849	247837	116521	-	RP11-430L14.3	Capn2	CPEB3	-	-	Biochemical Activity	physical	Wang CF (2012)	22711986	10116	9606	Low Throughput	-	Proteolytic Processing	-	-	-	BIOGRID
2298051	22849	29154	116521	247837	RP11-430L14.3	-	CPEB3	Capn2	-	-	Affinity Capture-Western	physical	Wang CF (2012)	22711986	9606	10116	Low Throughput	-	-	-	-	-	BIOGRID
2298052	29154	22849	247837	116521	-	RP11-430L14.3	Capn2	CPEB3	-	-	Reconstituted Complex	physical	Wang CF (2012)	22711986	10116	9606	Low Throughput	-	-	-	-	-	BIOGRID
2298053	29153	22849	247836	116521	-	RP11-430L14.3	Capn1	CPEB3	-	-	Reconstituted Complex	physical	Wang CF (2012)	22711986	10116	9606	Low Throughput	-	-	-	-	-	BIOGRID
2465205	112399	22849	125185	116521	-	RP11-430L14.3	EGLN3	CPEB3	HIFP4H3|HIFPH3|PHD3	-	Affinity Capture-MS	physical	Rodriguez J (2016)	26972000	9606	9606	High Throughput	-	-	-	Source of EGLN3 not clear	-	BIOGRID
2564842	25962	22849	117452	116521	MSTP054	RP11-430L14.3	KIAA1429	CPEB3	fSAP121	-	Affinity Capture-RNA	physical	Yue Y (2018)	29507755	9606	9606	High Throughput	-	-	-	The RNA of the 'hit' genes was identified in an RIP-seq (RNA immunoprecipitation sequencing) experiment using the 'bait' protein, VIRMA.	-	BIOGRID
3048167	80315	22849	123228	116521	-	RP11-430L14.3	CPEB4	CPEB3	-	-	Affinity Capture-MS	physical	Huttlin EL (2021)	33961781	9606	9606	High Throughput	1.0	-	-	BioPlex 3.0 HEK 293T cells CompPASS score = 1, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HEK293T.|This data may be re-scored from BioPlex 1.0 (PMID: 26186194) and BioPlex 2.0 (PMID: 28514442). Only scores from within the same cell line in BioPlex 3.0 (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).	-	BIOGRID

