#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
30053	23345	23345	116928	116928	RP1-130E4.2	RP1-130E4.2	SYNE1	SYNE1	8B|ARCA1|C6orf98|CPG2|EDMD4|MYNE1|Nesp1|SCAR8|dJ45H2.2	8B|ARCA1|C6orf98|CPG2|EDMD4|MYNE1|Nesp1|SCAR8|dJ45H2.2	Two-hybrid	physical	Mislow JM (2002)	12163176	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
256732	27185	23345	118061	116928	RP4-730B13.1	RP1-130E4.2	DISC1	SYNE1	C1orf136|SCZD9	8B|ARCA1|C6orf98|CPG2|EDMD4|MYNE1|Nesp1|SCAR8|dJ45H2.2	Affinity Capture-Western	physical	Morris JA (2003)	12812986	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
275642	4593	23345	110679	116928	RP11-104M22.1	RP1-130E4.2	MUSK	SYNE1	-	8B|ARCA1|C6orf98|CPG2|EDMD4|MYNE1|Nesp1|SCAR8|dJ45H2.2	Two-hybrid	physical	Apel ED (2000)	10878022	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
275643	23345	4593	116928	110679	RP1-130E4.2	RP11-104M22.1	SYNE1	MUSK	8B|ARCA1|C6orf98|CPG2|EDMD4|MYNE1|Nesp1|SCAR8|dJ45H2.2	-	Affinity Capture-Western	physical	Apel ED (2000)	10878022	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
286808	4000	23345	110186	116928	RP11-54H19.1	RP1-130E4.2	LMNA	SYNE1	CDCD1|CDDC|CMD1A|CMT2B1|EMD2|FPL|FPLD|FPLD2|HGPS|IDC|LDP1|LFP|LGMD1B|LMN1|LMNC|LMNL1|PRO1	8B|ARCA1|C6orf98|CPG2|EDMD4|MYNE1|Nesp1|SCAR8|dJ45H2.2	Affinity Capture-Western	physical	Mislow JM (2002)	11801724	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
316157	23345	23345	116928	116928	RP1-130E4.2	RP1-130E4.2	SYNE1	SYNE1	8B|ARCA1|C6orf98|CPG2|EDMD4|MYNE1|Nesp1|SCAR8|dJ45H2.2	8B|ARCA1|C6orf98|CPG2|EDMD4|MYNE1|Nesp1|SCAR8|dJ45H2.2	Reconstituted Complex	physical	Mislow JM (2002)	12163176	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
316158	23345	4000	116928	110186	RP1-130E4.2	RP11-54H19.1	SYNE1	LMNA	8B|ARCA1|C6orf98|CPG2|EDMD4|MYNE1|Nesp1|SCAR8|dJ45H2.2	CDCD1|CDDC|CMD1A|CMT2B1|EMD2|FPL|FPLD|FPLD2|HGPS|IDC|LDP1|LFP|LGMD1B|LMN1|LMNC|LMNL1|PRO1	Reconstituted Complex	physical	Mislow JM (2002)	12163176	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
316159	23345	2010	116928	108325	RP1-130E4.2	XX-FW88778H2.1	SYNE1	EMD	8B|ARCA1|C6orf98|CPG2|EDMD4|MYNE1|Nesp1|SCAR8|dJ45H2.2	EDMD|LEMD5|STA	Reconstituted Complex	physical	Mislow JM (2002)	12163176	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
326012	27185	23345	118061	116928	RP4-730B13.1	RP1-130E4.2	DISC1	SYNE1	C1orf136|SCZD9	8B|ARCA1|C6orf98|CPG2|EDMD4|MYNE1|Nesp1|SCAR8|dJ45H2.2	Two-hybrid	physical	Morris JA (2003)	12812986	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
464822	324	23345	106821	116928	-	RP1-130E4.2	APC	SYNE1	BTPS2|DP2|DP2.5|DP3|GS|PPP1R46	8B|ARCA1|C6orf98|CPG2|EDMD4|MYNE1|Nesp1|SCAR8|dJ45H2.2	Two-hybrid	physical	Bandyopadhyay S (2010)	20936779	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
