#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
648538	38399	41883	63895	66945	Dmel_CG11505	Dmel_CG5166	CG11505	Atx2	Dmel\CG11505	Atx-2|Atxain-2|BEST:GH27029|CG5166|CG5166a|Datx2|Dmel\CG5166|GH27029|SCA2|anon-EST:fe2E1|anon-WO0118547.351|anon-WO0140519.1|dSCA2|l(3)06490	Affinity Capture-MS	physical	Guruharsha KG (2011)	22036573	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
649373	36550	41883	62304	66945	Dmel_CG6701	Dmel_CG5166	CG6701	Atx2	Dmel\CG6701|EP(2)2054|EP2054	Atx-2|Atxain-2|BEST:GH27029|CG5166|CG5166a|Datx2|Dmel\CG5166|GH27029|SCA2|anon-EST:fe2E1|anon-WO0118547.351|anon-WO0140519.1|dSCA2|l(3)06490	Affinity Capture-MS	physical	Guruharsha KG (2011)	22036573	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
649767	38756	41883	64206	66945	Dmel_CG10077	Dmel_CG5166	CG10077	Atx2	BcDNA:HL01868|BcDNA:HL07910|DmRH5|Dmel\CG10077|p90	Atx-2|Atxain-2|BEST:GH27029|CG5166|CG5166a|Datx2|Dmel\CG5166|GH27029|SCA2|anon-EST:fe2E1|anon-WO0118547.351|anon-WO0140519.1|dSCA2|l(3)06490	Affinity Capture-MS	physical	Guruharsha KG (2011)	22036573	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
650636	39612	41883	64938	66945	Dmel_CG13472	Dmel_CG5166	Tdrd3	Atx2	CG13472|Dmel\CG13472|dTDRD3	Atx-2|Atxain-2|BEST:GH27029|CG5166|CG5166a|Datx2|Dmel\CG5166|GH27029|SCA2|anon-EST:fe2E1|anon-WO0118547.351|anon-WO0140519.1|dSCA2|l(3)06490	Affinity Capture-MS	physical	Guruharsha KG (2011)	22036573	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
650727	43765	41883	68603	66945	Dmel_CG1483	Dmel_CG5166	Map205	Atx2	205-kDa MAP|205K MAP|205kD MAP|205kDa MAP|CG1483|Dmel\CG1483|MAP4	Atx-2|Atxain-2|BEST:GH27029|CG5166|CG5166a|Datx2|Dmel\CG5166|GH27029|SCA2|anon-EST:fe2E1|anon-WO0118547.351|anon-WO0140519.1|dSCA2|l(3)06490	Affinity Capture-MS	physical	Guruharsha KG (2011)	22036573	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
650964	31363	41883	57880	66945	Dmel_CG4857	Dmel_CG5166	tyf	Atx2	CG4857|Dmel\CG4857|EG:EG0007.12|EG:EG0007.4	Atx-2|Atxain-2|BEST:GH27029|CG5166|CG5166a|Datx2|Dmel\CG5166|GH27029|SCA2|anon-EST:fe2E1|anon-WO0118547.351|anon-WO0140519.1|dSCA2|l(3)06490	Affinity Capture-MS	physical	Guruharsha KG (2011)	22036573	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
651767	36966	41883	62660	66945	Dmel_CG4816	Dmel_CG5166	qkr54B	Atx2	CG4816|Dmel\CG4816|SAM|SAM50|p62GAP|qrk54B	Atx-2|Atxain-2|BEST:GH27029|CG5166|CG5166a|Datx2|Dmel\CG5166|GH27029|SCA2|anon-EST:fe2E1|anon-WO0118547.351|anon-WO0140519.1|dSCA2|l(3)06490	Affinity Capture-MS	physical	Guruharsha KG (2011)	22036573	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
651817	35654	41883	61535	66945	Dmel_CG11107	Dmel_CG5166	CG11107	Atx2	Dmel\CG11107|anon-EST:Liang-1.18|clone 1.18	Atx-2|Atxain-2|BEST:GH27029|CG5166|CG5166a|Datx2|Dmel\CG5166|GH27029|SCA2|anon-EST:fe2E1|anon-WO0118547.351|anon-WO0140519.1|dSCA2|l(3)06490	Affinity Capture-MS	physical	Guruharsha KG (2011)	22036573	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
652195	43554	41883	68410	66945	Dmel_CG7903	Dmel_CG5166	CG7903	Atx2	Dmel\CG7903	Atx-2|Atxain-2|BEST:GH27029|CG5166|CG5166a|Datx2|Dmel\CG5166|GH27029|SCA2|anon-EST:fe2E1|anon-WO0118547.351|anon-WO0140519.1|dSCA2|l(3)06490	Affinity Capture-MS	physical	Guruharsha KG (2011)	22036573	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
654909	35756	41883	61618	66945	Dmel_CG2910	Dmel_CG5166	nito	Atx2	BcDNA:GH11110|CG2910|Dm44A/spenito|DmSSp|Dmel\CG2910|SSLP|dOTT	Atx-2|Atxain-2|BEST:GH27029|CG5166|CG5166a|Datx2|Dmel\CG5166|GH27029|SCA2|anon-EST:fe2E1|anon-WO0118547.351|anon-WO0140519.1|dSCA2|l(3)06490	Affinity Capture-MS	physical	Guruharsha KG (2011)	22036573	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
655191	37559	41883	63175	66945	Dmel_CG3584	Dmel_CG5166	qkr58E-3	Atx2	CG3584|Dmel\CG3584|KEP1|qrk58E-3	Atx-2|Atxain-2|BEST:GH27029|CG5166|CG5166a|Datx2|Dmel\CG5166|GH27029|SCA2|anon-EST:fe2E1|anon-WO0118547.351|anon-WO0140519.1|dSCA2|l(3)06490	Affinity Capture-MS	physical	Guruharsha KG (2011)	22036573	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
655463	42460	41883	67434	66945	Dmel_CG17838	Dmel_CG5166	Syp	Atx2	AI945337|CG17838|Dmel\CG17838|anon-WO0118547.613|l(3)03806	Atx-2|Atxain-2|BEST:GH27029|CG5166|CG5166a|Datx2|Dmel\CG5166|GH27029|SCA2|anon-EST:fe2E1|anon-WO0118547.351|anon-WO0140519.1|dSCA2|l(3)06490	Affinity Capture-MS	physical	Guruharsha KG (2011)	22036573	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
655471	36544	41883	62298	66945	Dmel_CG6671	Dmel_CG5166	AGO1	Atx2	Ago|Ago-1|CG6671|Dm Ago1|DmAgo1|Dmel\CG6671|MRE20|ago1-1|anon-WO0257455.29|dAGO1|l(2)04845|l(2)4845|l(2)k00208|l(2)k08121	Atx-2|Atxain-2|BEST:GH27029|CG5166|CG5166a|Datx2|Dmel\CG5166|GH27029|SCA2|anon-EST:fe2E1|anon-WO0118547.351|anon-WO0140519.1|dSCA2|l(3)06490	Affinity Capture-MS	physical	Guruharsha KG (2011)	22036573	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
2306740	40863	41883	66058	66945	Dmel_CG2520	Dmel_CG5166	lap	Atx2	AP180|BcDNA:GM10787|CG2520|Dmel\CG2520|EP(3)3060|EP3060|dAP-3|l(3)neo34|lap/AP180|sig	Atx-2|Atxain-2|BEST:GH27029|CG5166|CG5166a|Datx2|Dmel\CG5166|GH27029|SCA2|anon-EST:fe2E1|anon-WO0118547.351|anon-WO0140519.1|dSCA2|l(3)06490	Phenotypic Enhancement	genetic	Sun X (2006)	16648585	7227	7227	Low Throughput	-	-	-	-	-	FLYBASE
2307606	41883	31251	66945	57782	Dmel_CG5166	Dmel_CG2647	Atx2	per	Atx-2|Atxain-2|BEST:GH27029|CG5166|CG5166a|Datx2|Dmel\CG5166|GH27029|SCA2|anon-EST:fe2E1|anon-WO0118547.351|anon-WO0140519.1|dSCA2|l(3)06490	CG2647|Clk|Dmel\CG2647|EG:155E2.4|clk-6|dPER|dmper|mel_per	Phenotypic Suppression	genetic	Zhang Y (2013)	23687048	7227	7227	Low Throughput	-	-	-	-	-	FLYBASE
2307607	41883	37070	66945	62753	Dmel_CG5166	Dmel_CG5119	Atx2	pAbp	Atx-2|Atxain-2|BEST:GH27029|CG5166|CG5166a|Datx2|Dmel\CG5166|GH27029|SCA2|anon-EST:fe2E1|anon-WO0118547.351|anon-WO0140519.1|dSCA2|l(3)06490	BcDNA:LD24412|CG16803|CG5119|Dmel\CG5119|PABP55B|PABPC1|anon-EST:Posey247|anon-EST:Posey249|anon-EST:fe2E5|dPABP|duo|l(2)SH1908|l(2)SH2 1908|l(2)k10109|pAB	Phenotypic Suppression	genetic	Lessing D (2008)	18271626	7227	7227	Low Throughput	-	-	-	-	-	FLYBASE
2310121	44849	41883	69326	66945	Dmel_CG3978	Dmel_CG5166	pnr	Atx2	CG3978|CG3978-PA|Dmel\CG3978|GATA|GATA4|GATAa|GATAa/Pannier|dGATAa|dGATAa/pannier|l(3)89B3|prn	Atx-2|Atxain-2|BEST:GH27029|CG5166|CG5166a|Datx2|Dmel\CG5166|GH27029|SCA2|anon-EST:fe2E1|anon-WO0118547.351|anon-WO0140519.1|dSCA2|l(3)06490	Phenotypic Enhancement	genetic	Pena-Rangel MT (2002)	11901120	7227	7227	Low Throughput	-	-	-	-	-	FLYBASE
