#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
30997	37781	43126	63374	68031	Dmel_CG10327	Dmel_CG5890	TBPH	CG5890	CG10327|Dmel\CG10327|TDP-43|TDP43|dTDP|dtar	Dmel\CG5890	Two-hybrid	physical	Giot L (2003)	14605208	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
30998	37781	37344	63374	62993	Dmel_CG10327	Dmel_CG9025	TBPH	Fem-1	CG10327|Dmel\CG10327|TDP-43|TDP43|dTDP|dtar	CG9025|Dmel\CG9025|dFEM-1	Two-hybrid	physical	Giot L (2003)	14605208	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
30999	37781	37982	63374	63550	Dmel_CG10327	Dmel_CG9083	TBPH	CG9083	CG10327|Dmel\CG10327|TDP-43|TDP43|dTDP|dtar	Dmel\CG9083	Two-hybrid	physical	Giot L (2003)	14605208	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
36015	37781	37781	63374	63374	Dmel_CG10327	Dmel_CG10327	TBPH	TBPH	CG10327|Dmel\CG10327|TDP-43|TDP43|dTDP|dtar	CG10327|Dmel\CG10327|TDP-43|TDP43|dTDP|dtar	Two-hybrid	physical	Giot L (2003)	14605208	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
36016	37781	35162	63374	61153	Dmel_CG10327	Dmel_CG10650	TBPH	CG10650	CG10327|Dmel\CG10327|TDP-43|TDP43|dTDP|dtar	BEST:GH09876|Dmel\CG10650	Two-hybrid	physical	Giot L (2003)	14605208	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
36017	37781	31746	63374	58214	Dmel_CG10327	Dmel_CG10961	TBPH	Traf6	CG10327|Dmel\CG10327|TDP-43|TDP43|dTDP|dtar	CG10961|DTRAF2|Dmel\CG10961|EP325|TRAF|TRAF2|dTRAF6	Two-hybrid	physical	Giot L (2003)	14605208	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
36018	37781	32205	63374	58604	Dmel_CG10327	Dmel_CG11138	TBPH	CG11138	CG10327|Dmel\CG10327|TDP-43|TDP43|dTDP|dtar	BEST:RE18684|BcDNA:RE48052|CG1855|Dmel\CG11138|EP(X)1313|RE18684	Two-hybrid	physical	Giot L (2003)	14605208	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
36019	37781	43829	63374	68655	Dmel_CG10327	Dmel_CG11154	TBPH	ATPsyn-beta	CG10327|Dmel\CG10327|TDP-43|TDP43|dTDP|dtar	ATP|ATP syn-beta|ATP-syn-B|ATP-synbeta|ATPB|ATPase beta|ATPasebeta|ATPsyn b|ATPsyn-&bgr|ATPsyn-b|CG11154|Dmel\CG11154|beta-ATPase	Two-hybrid	physical	Giot L (2003)	14605208	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
36020	37781	32323	63374	58700	Dmel_CG10327	Dmel_CG11164	TBPH	CG11164	CG10327|Dmel\CG10327|TDP-43|TDP43|dTDP|dtar	Dmel\CG11164	Two-hybrid	physical	Giot L (2003)	14605208	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
36021	37781	31947	63374	58382	Dmel_CG10327	Dmel_CG12645	TBPH	CG12645	CG10327|Dmel\CG10327|TDP-43|TDP43|dTDP|dtar	Dmel\CG12645	Two-hybrid	physical	Giot L (2003)	14605208	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
