#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
31479	37247	38587	62905	64055	Dmel_CG11228	Dmel_CG13705	hpo	CG13705	CG11228|Dmel\CG11228|MST|MST2|dMST|hipo	CG13705-PA|Dmel\CG13705	Two-hybrid	physical	Giot L (2003)	14605208	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
31480	37247	252554	62905	76064	Dmel_CG11228	Dmel_CG33193	hpo	sav	CG11228|Dmel\CG11228|MST|MST2|dMST|hipo	CG13831|CG13832|CG33193|Dmel\CG33193|Salvador/Shar-pei|anon-WO0172774.152|shar-pei	Two-hybrid	physical	Giot L (2003)	14605208	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
31481	37247	36292	62905	62075	Dmel_CG11228	Dmel_CG8364	hpo	Drep-3	CG11228|Dmel\CG11228|MST|MST2|dMST|hipo	BcDNA:AT08574|CG13187|CG8364|Dmel\CG8364|Drep3|Rep3	Two-hybrid	physical	Giot L (2003)	14605208	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
35958	35098	37247	61093	62905	Dmel_CG10305	Dmel_CG11228	RpS26	hpo	CG10305|Dmel\CG10305|M(2)36F|M(2)S13|M(2)m|M[[s]]|anon-EST:fe2A3|l(2)04553|l(2)36Fa|rpS31	CG11228|Dmel\CG11228|MST|MST2|dMST|hipo	Two-hybrid	physical	Giot L (2003)	14605208	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
37581	37330	37247	62980	62905	Dmel_CG11180	Dmel_CG11228	CG11180	hpo	Dmel\CG11180	CG11228|Dmel\CG11228|MST|MST2|dMST|hipo	Two-hybrid	physical	Giot L (2003)	14605208	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
37707	37247	39381	62905	64736	Dmel_CG11228	Dmel_CG11534	hpo	CG11534	CG11228|Dmel\CG11228|MST|MST2|dMST|hipo	BEST:GH12489|Dmel\CG11534	Two-hybrid	physical	Giot L (2003)	14605208	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
37708	37247	38516	62905	63994	Dmel_CG11228	Dmel_CG15010	hpo	ago	CG11228|Dmel\CG11228|MST|MST2|dMST|hipo	CG15010|DmFbw7|Dmel\CG15010|FBXW3|SCF[Ago]|anon-WO0118547.345|cdc4	Two-hybrid	physical	Giot L (2003)	14605208	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
37709	37247	37168	62905	62838	Dmel_CG11228	Dmel_CG15094	hpo	MFS15	CG11228|Dmel\CG11228|MST|MST2|dMST|hipo	CG15094|Dmel\CG15094	Two-hybrid	physical	Giot L (2003)	14605208	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
37710	37247	42464	62905	67437	Dmel_CG11228	Dmel_CG15693	hpo	RpS20	CG11228|Dmel\CG11228|MST|MST2|dMST|hipo	CG15693|Dmel\CG15693|anon-EST:Posey111|anon-EST:Posey122|anon-EST:Posey147	Two-hybrid	physical	Giot L (2003)	14605208	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
37711	37247	38067	62905	63622	Dmel_CG11228	Dmel_CG17046	hpo	klar	CG11228|Dmel\CG11228|MST|MST2|dMST|hipo	CG17046|Dmel\CG17046|kls|marb	Two-hybrid	physical	Giot L (2003)	14605208	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
37712	37247	43764	62905	68602	Dmel_CG11228	Dmel_CG2050	hpo	mod	CG11228|Dmel\CG11228|MST|MST2|dMST|hipo	0952/14|CG2050|Dmel\CG2050|ms(3)100EF	Two-hybrid	physical	Giot L (2003)	14605208	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
37713	37247	40937	62905	66123	Dmel_CG11228	Dmel_CG2678	hpo	CG2678	CG11228|Dmel\CG11228|MST|MST2|dMST|hipo	B|Dmel\CG2678|anon-84Eb	Two-hybrid	physical	Giot L (2003)	14605208	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
37714	37247	246621	62905	73171	Dmel_CG11228	Dmel_CG30447	hpo	CG30447	CG11228|Dmel\CG11228|MST|MST2|dMST|hipo	Dmel\CG30447	Two-hybrid	physical	Giot L (2003)	14605208	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
37715	37247	43015	62905	67935	Dmel_CG11228	Dmel_CG31108	hpo	CG31108	CG11228|Dmel\CG11228|MST|MST2|dMST|hipo	CG10057|Dmel\CG31108	Two-hybrid	physical	Giot L (2003)	14605208	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
37716	37247	318846	62905	77139	Dmel_CG11228	Dmel_CG31611	hpo	His4:CG31611	CG11228|Dmel\CG11228|MST|MST2|dMST|hipo	CG31611|Dmel\CG31611	Two-hybrid	physical	Giot L (2003)	14605208	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
37717	37247	37842	62905	63423	Dmel_CG11228	Dmel_CG3988	hpo	gammaSnap1	CG11228|Dmel\CG11228|MST|MST2|dMST|hipo	CG3988|Dmel\CG3988|gSnap|gamma SNAP|gamma-SNAP|gammaSNAP-2|gammaSnap	Two-hybrid	physical	Giot L (2003)	14605208	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
37718	37247	34363	62905	60454	Dmel_CG11228	Dmel_CG4912	hpo	eEF1delta	CG11228|Dmel\CG11228|MST|MST2|dMST|hipo	CG4912|Dmel\CG4912|eEF1d	Two-hybrid	physical	Giot L (2003)	14605208	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
37719	37247	42063	62905	67103	Dmel_CG11228	Dmel_CG5175	hpo	kuk	CG11228|Dmel\CG11228|MST|MST2|dMST|hipo	CG5175|Dmel\CG5175|char|kuk/char	Two-hybrid	physical	Giot L (2003)	14605208	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
37720	37247	37078	62905	62759	Dmel_CG11228	Dmel_CG5733	hpo	Nup75	CG11228|Dmel\CG11228|MST|MST2|dMST|hipo	CG5733|Dmel\CG5733|Nup 75	Two-hybrid	physical	Giot L (2003)	14605208	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
37721	37247	42726	62905	67671	Dmel_CG11228	Dmel_CG6697	hpo	Ublcp1	CG11228|Dmel\CG11228|MST|MST2|dMST|hipo	BcDNA:LD21504|CG6697|DmUBLCP1|Dmel\CG6697	Two-hybrid	physical	Giot L (2003)	14605208	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
37722	37247	39168	62905	64555	Dmel_CG11228	Dmel_CG6707	hpo	CG6707	CG11228|Dmel\CG11228|MST|MST2|dMST|hipo	Dmel\CG6707	Two-hybrid	physical	Giot L (2003)	14605208	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
37723	37247	34070	62905	60209	Dmel_CG11228	Dmel_CG7111	hpo	Rack1	CG11228|Dmel\CG11228|MST|MST2|dMST|hipo	CG7111|Dmel\CG7111|dRack1|i173	Two-hybrid	physical	Giot L (2003)	14605208	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
37724	37247	39672	62905	64993	Dmel_CG11228	Dmel_CG7841	hpo	CG7841	CG11228|Dmel\CG11228|MST|MST2|dMST|hipo	Dmel\CG7841	Two-hybrid	physical	Giot L (2003)	14605208	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
37725	37247	47905	62905	71049	Dmel_CG11228	Dmel_CG8799	hpo	l(2)03659	CG11228|Dmel\CG11228|MST|MST2|dMST|hipo	A|CG11803|CG8799|Dme_CG8799|Dmel\CG8799|hspr	Two-hybrid	physical	Giot L (2003)	14605208	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
