#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
470415	8451	282809	114029	129421	RP11-391H12.1	-	CUL4A	POC1B	-	CORD20|PIX1|TUWD12|WDR51B	Affinity Capture-Western	physical	Higa LA (2006)	17041588	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
470427	8450	282809	114028	129421	-	-	CUL4B	POC1B	CUL-4B|MRXHF2|MRXS15|MRXSC|SFM2	CORD20|PIX1|TUWD12|WDR51B	Affinity Capture-Western	physical	Higa LA (2006)	17041588	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
577032	382406	282809	238351	129421	-	-	Poc1b	POC1B	4933430F16Rik|Wdr51b	CORD20|PIX1|TUWD12|WDR51B	Affinity Capture-MS	physical	Hutchins JR (2010)	20360068	10090	9606	High Throughput	-	-	-	-	-	BIOGRID
956843	8452	282809	114030	129421	-	-	CUL3	POC1B	CUL-3|PHA2E	CORD20|PIX1|TUWD12|WDR51B	Affinity Capture-MS	physical	Wimuttisuk W (2014)	25011449	9606	9606	High Throughput	-	-	-	Table S4: list of proteins that contain conserved domains of interest from MudPIT-identified Cul3-binding proteins	-	BIOGRID
1051301	282809	84140	129421	123909	-	-	POC1B	FAM161A	CORD20|PIX1|TUWD12|WDR51B	RP28	Two-hybrid	physical	Roosing S (2014)	25018096	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
1051306	84140	282809	123909	129421	-	-	FAM161A	POC1B	RP28	CORD20|PIX1|TUWD12|WDR51B	Affinity Capture-Western	physical	Roosing S (2014)	25018096	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
1051308	282809	84140	129421	123909	-	-	POC1B	FAM161A	CORD20|PIX1|TUWD12|WDR51B	RP28	Affinity Capture-Western	physical	Roosing S (2014)	25018096	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
1175307	25886	282809	117397	129421	-	-	POC1A	POC1B	PIX2|SOFT|WDR51A	CORD20|PIX1|TUWD12|WDR51B	Affinity Capture-MS	physical	Huttlin EL (2015)	26186194	9606	9606	High Throughput	0.999963359	-	-	BioPlex 1.0 HEK 293T cells CompPASS score = 0.999963359, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 2.0 (PMID: 28514442) and BioPlex 3.0 (PMID: 33961781). Only scores from within BioPlex 1.0 (PMID: 26186194) should be compared directly.	-	BIOGRID
1192483	11151	282809	116322	129421	-	-	CORO1A	POC1B	CLABP|CLIPINA|HCORO1|IMD8|TACO|p57	CORD20|PIX1|TUWD12|WDR51B	Affinity Capture-MS	physical	Huttlin EL (2015)	26186194	9606	9606	High Throughput	0.999999093	-	-	BioPlex 1.0 HEK 293T cells CompPASS score = 0.999999093, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 2.0 (PMID: 28514442) and BioPlex 3.0 (PMID: 33961781). Only scores from within BioPlex 1.0 (PMID: 26186194) should be compared directly.	-	BIOGRID
1433763	134359	282809	126396	129421	-	-	POC5	POC1B	C5orf37	CORD20|PIX1|TUWD12|WDR51B	Proximity Label-MS	physical	Gupta GD (2015)	26638075	9606	9606	High Throughput	-	-	-	BioID	-	BIOGRID
1434149	25886	282809	117397	129421	-	-	POC1A	POC1B	PIX2|SOFT|WDR51A	CORD20|PIX1|TUWD12|WDR51B	Proximity Label-MS	physical	Gupta GD (2015)	26638075	9606	9606	High Throughput	-	-	-	BioID	-	BIOGRID
1434168	282809	9532	129421	114908	-	RP3-496N17.2	POC1B	BAG2	CORD20|PIX1|TUWD12|WDR51B	BAG-2|dJ417I1.2	Proximity Label-MS	physical	Gupta GD (2015)	26638075	9606	9606	High Throughput	-	-	-	BioID	-	BIOGRID
1434169	282809	790	129421	107243	-	-	POC1B	CAD	CORD20|PIX1|TUWD12|WDR51B	-	Proximity Label-MS	physical	Gupta GD (2015)	26638075	9606	9606	High Throughput	-	-	-	BioID	-	BIOGRID
1434170	282809	10576	129421	115827	-	-	POC1B	CCT2	CORD20|PIX1|TUWD12|WDR51B	99D8.1|CCT-beta|CCTB|HEL-S-100n|PRO1633|TCP-1-beta	Proximity Label-MS	physical	Gupta GD (2015)	26638075	9606	9606	High Throughput	-	-	-	BioID	-	BIOGRID
1434171	282809	11140	129421	116312	-	-	POC1B	CDC37	CORD20|PIX1|TUWD12|WDR51B	P50CDC37	Proximity Label-MS	physical	Gupta GD (2015)	26638075	9606	9606	High Throughput	-	-	-	BioID	-	BIOGRID
1434172	282809	80817	129421	123315	-	-	POC1B	CEP44	CORD20|PIX1|TUWD12|WDR51B	KIAA1712|PS1TP3	Proximity Label-MS	physical	Gupta GD (2015)	26638075	9606	9606	High Throughput	-	-	-	BioID	-	BIOGRID
1434173	282809	1213	129421	107623	-	-	POC1B	CLTC	CORD20|PIX1|TUWD12|WDR51B	CHC|CHC17|CLH-17|CLTCL2|Hc	Proximity Label-MS	physical	Gupta GD (2015)	26638075	9606	9606	High Throughput	-	-	-	BioID	-	BIOGRID
1434174	282809	57650	129421	121687	-	-	POC1B	KIAA1524	CORD20|PIX1|TUWD12|WDR51B	CIP2A|p90	Proximity Label-MS	physical	Gupta GD (2015)	26638075	9606	9606	High Throughput	-	-	-	BioID	-	BIOGRID
1434175	282809	60672	129421	121947	-	RP5-1077B9.4	POC1B	MIIP	CORD20|PIX1|TUWD12|WDR51B	IIP45	Proximity Label-MS	physical	Gupta GD (2015)	26638075	9606	9606	High Throughput	-	-	-	BioID	-	BIOGRID
1434176	282809	10726	129421	115950	-	-	POC1B	NUDC	CORD20|PIX1|TUWD12|WDR51B	HNUDC|MNUDC|NPD011	Proximity Label-MS	physical	Gupta GD (2015)	26638075	9606	9606	High Throughput	-	-	-	BioID	-	BIOGRID
1434177	282809	53918	129421	119818	-	CGI-17	POC1B	PELO	CORD20|PIX1|TUWD12|WDR51B	PRO1770	Proximity Label-MS	physical	Gupta GD (2015)	26638075	9606	9606	High Throughput	-	-	-	BioID	-	BIOGRID
