#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
336749	818938	831999	4275	17275	AT2G43370	AT5G18810	AT2G43370	SCL28	T1O24.11	F17K4.60|F17K4_60|SC35-like splicing factor 28	Reconstituted Complex	physical	Lorkovic ZJ (2005)	15987817	3702	3702	Low Throughput	-	-	-	-	-	BIOGRID
336750	818938	824712	4275	10028	AT2G43370	AT3G55460	AT2G43370	SCL30	T1O24.11	SC35-like splicing factor 30	Reconstituted Complex	physical	Lorkovic ZJ (2005)	15987817	3702	3702	Low Throughput	-	-	-	-	-	BIOGRID
336751	818938	820559	4275	5893	AT2G43370	AT3G13570	AT2G43370	SCL30A	T1O24.11	SC35-like splicing factor 30A	Reconstituted Complex	physical	Lorkovic ZJ (2005)	15987817	3702	3702	Low Throughput	-	-	-	-	-	BIOGRID
336752	818938	839262	4275	24497	AT2G43370	AT1G02840	AT2G43370	SR1	T1O24.11	ATSRP34|F22D16.16|F22D16_16|SRP34	Reconstituted Complex	physical	Lorkovic ZJ (2005)	15987817	3702	3702	Low Throughput	-	-	-	-	-	BIOGRID
336753	818938	825359	4275	10673	AT2G43370	AT3G61860	AT2G43370	RSP31	T1O24.11	ATRSP31|arginine/serine-rich splicing factor 31	Reconstituted Complex	physical	Lorkovic ZJ (2005)	15987817	3702	3702	Low Throughput	-	-	-	-	-	BIOGRID
336754	818938	838997	4275	24235	AT2G43370	AT1G23860	AT2G43370	RSZP21	T1O24.11	RS-containing zinc finger protein 21|SRZ-21|SRZ21|T23E23.2|T23E23_2	Reconstituted Complex	physical	Lorkovic ZJ (2005)	15987817	3702	3702	Low Throughput	-	-	-	-	-	BIOGRID
336755	818938	818311	4275	3655	AT2G43370	AT2G37340	AT2G43370	RSZ33	T1O24.11	ARGININE/SERINE-RICH ZINC KNUCKLE-CONTAINING PROTEIN 33|ATRSZ33|F3G5.13|F3G5_13	Reconstituted Complex	physical	Lorkovic ZJ (2005)	15987817	3702	3702	Low Throughput	-	-	-	-	-	BIOGRID
336756	818938	836541	4275	21783	AT2G43370	AT5G64200	AT2G43370	SC35	T1O24.11	ARABIDOPSIS THALIANA ORTHOLOG OF HUMAN SPLICING FACTOR SC35|ATSC35|MSJ1.4|MSJ1_4|ortholog of human splicing factor SC35	Reconstituted Complex	physical	Lorkovic ZJ (2005)	15987817	3702	3702	Low Throughput	-	-	-	-	-	BIOGRID
336757	818938	837433	4275	22674	AT2G43370	AT1G09140	AT2G43370	ATSRP30	T1O24.11	ATSRP30.1|ATSRP30.2|SERINE-ARGININE PROTEIN 30|T12M4.19|T12M4_19	Reconstituted Complex	physical	Lorkovic ZJ (2005)	15987817	3702	3702	Low Throughput	-	-	-	-	-	BIOGRID
336758	818938	828654	4275	13941	AT2G43370	AT4G25500	AT2G43370	RSP35	T1O24.11	ARABIDOPSIS THALIANA ARGININE/SERINE-RICH SPLICING FACTOR 35|ARGININE/SERINE-RICH SPLICING FACTOR|AT-SRP40|ATRSP35|ATRSP40|SPLICING FACTOR AT-SRP40|T30C3.9|arginine/serine-rich splicing factor 35	Reconstituted Complex	physical	Lorkovic ZJ (2005)	15987817	3702	3702	Low Throughput	-	-	-	-	-	BIOGRID
594749	818938	836222	4275	21466	AT2G43370	AT5G61010	AT2G43370	EXO70E2	T1O24.11	ATEXO70E2|MAF19.1|MAF19_1|exocyst subunit exo70 family protein E2	Two-hybrid	physical	Braun P (2011)	21798944	3702	3702	High Throughput	-	-	-	-	-	BIOGRID
594751	818938	835461	4275	20705	AT2G43370	AT5G53800	AT2G43370	AT5G53800	T1O24.11	MGN6.19|MGN6_19	Two-hybrid	physical	Braun P (2011)	21798944	3702	3702	High Throughput	-	-	-	-	-	BIOGRID
594895	818938	833850	4275	19101	AT2G43370	AT5G38600	AT2G43370	AT5G38600	T1O24.11	MBB18.15|MBB18_15	Two-hybrid	physical	Braun P (2011)	21798944	3702	3702	High Throughput	-	-	-	-	-	BIOGRID
594919	818938	820332	4275	5666	AT2G43370	AT3G11590	AT2G43370	AT3G11590	T1O24.11	-	Two-hybrid	physical	Braun P (2011)	21798944	3702	3702	High Throughput	-	-	-	-	-	BIOGRID
594922	818938	832624	4275	17899	AT2G43370	AT5G25490	AT2G43370	AT5G25490	T1O24.11	T14C9.30|T14C9_30	Two-hybrid	physical	Braun P (2011)	21798944	3702	3702	High Throughput	-	-	-	-	-	BIOGRID
594936	818938	824590	4275	9907	AT2G43370	AT3G54230	AT2G43370	SUA	T1O24.11	suppressor of abi3-5	Two-hybrid	physical	Braun P (2011)	21798944	3702	3702	High Throughput	-	-	-	-	-	BIOGRID
594972	837494	818938	22735	4275	AT1G09660	AT2G43370	AT1G09660	AT2G43370	F21M12.5|F21M12_5	T1O24.11	Two-hybrid	physical	Braun P (2011)	21798944	3702	3702	High Throughput	-	-	-	-	-	BIOGRID
595085	818938	823916	4275	9236	AT2G43370	AT3G47620	AT2G43370	TCP14	T1O24.11	AtTCP14|TEOSINTE BRANCHED|cycloidea and PCF (TCP) 14	Two-hybrid	physical	Braun P (2011)	21798944	3702	3702	High Throughput	-	-	-	-	-	BIOGRID
595135	818938	824255	4275	9573	AT2G43370	AT3G50910	AT2G43370	AT3G50910	T1O24.11	-	Two-hybrid	physical	Braun P (2011)	21798944	3702	3702	High Throughput	-	-	-	-	-	BIOGRID
595140	818938	827714	4275	13007	AT2G43370	AT4G19700	AT2G43370	RING	T1O24.11	T16H5.60|T16H5_60	Two-hybrid	physical	Braun P (2011)	21798944	3702	3702	High Throughput	-	-	-	-	-	BIOGRID
595141	818938	835986	4275	21230	AT2G43370	AT5G58720	AT2G43370	AT5G58720	T1O24.11	MZN1.26|MZN1_26	Two-hybrid	physical	Braun P (2011)	21798944	3702	3702	High Throughput	-	-	-	-	-	BIOGRID
597811	818938	832118	4275	17394	AT2G43370	AT5G19960	AT2G43370	AT5G19960	T1O24.11	F28I16.110|F28I16_110	Two-hybrid	physical	Braun P (2011)	21798944	3702	3702	High Throughput	-	-	-	-	-	BIOGRID
597818	818938	824120	4275	9438	AT2G43370	AT3G49580	AT2G43370	LSU1	T1O24.11	RESPONSE TO LOW SULFUR 1	Two-hybrid	physical	Braun P (2011)	21798944	3702	3702	High Throughput	-	-	-	-	-	BIOGRID
598763	818938	824712	4275	10028	AT2G43370	AT3G55460	AT2G43370	SCL30	T1O24.11	SC35-like splicing factor 30	Two-hybrid	physical	Braun P (2011)	21798944	3702	3702	High Throughput	-	-	-	-	-	BIOGRID
598764	818938	830060	4275	15340	AT2G43370	AT4G39050	AT2G43370	AT4G39050	T1O24.11	F19H22.150|F19H22_150	Two-hybrid	physical	Braun P (2011)	21798944	3702	3702	High Throughput	-	-	-	-	-	BIOGRID
598765	818938	823970	4275	9289	AT2G43370	AT3G48150	AT2G43370	APC8	T1O24.11	CDC23|anaphase-promoting complex subunit 8	Two-hybrid	physical	Braun P (2011)	21798944	3702	3702	High Throughput	-	-	-	-	-	BIOGRID
598766	818938	832538	4275	17813	AT2G43370	AT5G24660	AT2G43370	LSU2	T1O24.11	MXC17.2|MXC17_2|RESPONSE TO LOW SULFUR 2	Two-hybrid	physical	Braun P (2011)	21798944	3702	3702	High Throughput	-	-	-	-	-	BIOGRID
598767	816995	818938	2347	4275	AT2G24590	AT2G43370	AT2G24590	AT2G43370	F25P17.11|F25P17_11	T1O24.11	Two-hybrid	physical	Braun P (2011)	21798944	3702	3702	High Throughput	-	-	-	-	-	BIOGRID
598768	818938	835386	4275	20631	AT2G43370	AT5G53060	AT2G43370	AT5G53060	T1O24.11	MNB8.12|MNB8_12	Two-hybrid	physical	Braun P (2011)	21798944	3702	3702	High Throughput	-	-	-	-	-	BIOGRID
598769	839970	818938	25205	4275	AT1G30860	AT2G43370	AT1G30860	AT2G43370	T17H7.18	T1O24.11	Two-hybrid	physical	Braun P (2011)	21798944	3702	3702	High Throughput	-	-	-	-	-	BIOGRID
2769671	818938	829880	4275	15161	AT2G43370	AT4G37260	AT2G43370	MYB73	T1O24.11	AP22.97|AP22_97|ATMYB73|myb domain protein 73	Two-hybrid	physical	Altmann M (2020)	32612234	3702	3702	High Throughput	-	-	-	-	-	BIOGRID
2769885	818938	825359	4275	10673	AT2G43370	AT3G61860	AT2G43370	RSP31	T1O24.11	ATRSP31|arginine/serine-rich splicing factor 31	Two-hybrid	physical	Altmann M (2020)	32612234	3702	3702	High Throughput	-	-	-	-	-	BIOGRID

