#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
274946	29760	4690	118894	110770	-	-	BLNK	NCK1	AGM4|BASH|BLNK-S|LY57|SLP-65|SLP65|bca	NCK|NCKalpha|nck-1	Affinity Capture-Western	physical	Fu C (1998)	9697839	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
274947	29760	7409	118894	113252	-	-	BLNK	VAV1	AGM4|BASH|BLNK-S|LY57|SLP-65|SLP65|bca	VAV	Affinity Capture-Western	physical	Fu C (1998)	9697839	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
274948	29760	2885	118894	109142	-	-	BLNK	GRB2	AGM4|BASH|BLNK-S|LY57|SLP-65|SLP65|bca	ASH|EGFRBP-GRB2|Grb3-3|MST084|MSTP084|NCKAP2	Affinity Capture-Western	physical	Fu C (1998)	9697839	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
275416	29760	11184	118894	116354	-	-	BLNK	MAP4K1	AGM4|BASH|BLNK-S|LY57|SLP-65|SLP65|bca	HPK1	Reconstituted Complex	physical	Tsuji S (2001)	11514608	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
275417	29760	11184	118894	116354	-	-	BLNK	MAP4K1	AGM4|BASH|BLNK-S|LY57|SLP-65|SLP65|bca	HPK1	Affinity Capture-Western	physical	Tsuji S (2001)	11514608	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
276208	30011	29760	119029	118894	RP11-345L8.1	-	SH3KBP1	BLNK	CD2BP3|CIN85|GIG10|HSB-1|HSB1|MIG18	AGM4|BASH|BLNK-S|LY57|SLP-65|SLP65|bca	Two-hybrid	physical	Watanabe S (2000)	11071869	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
276209	29760	30011	118894	119029	-	RP11-345L8.1	BLNK	SH3KBP1	AGM4|BASH|BLNK-S|LY57|SLP-65|SLP65|bca	CD2BP3|CIN85|GIG10|HSB-1|HSB1|MIG18	Affinity Capture-Western	physical	Watanabe S (2000)	11071869	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
276210	30011	29760	119029	118894	RP11-345L8.1	-	SH3KBP1	BLNK	CD2BP3|CIN85|GIG10|HSB-1|HSB1|MIG18	AGM4|BASH|BLNK-S|LY57|SLP-65|SLP65|bca	Affinity Capture-Western	physical	Watanabe S (2000)	11071869	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
282124	29760	2885	118894	109142	-	-	BLNK	GRB2	AGM4|BASH|BLNK-S|LY57|SLP-65|SLP65|bca	ASH|EGFRBP-GRB2|Grb3-3|MST084|MSTP084|NCKAP2	Reconstituted Complex	physical	Engels N (2001)	11449366	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
282125	29760	973	118894	107411	-	-	BLNK	CD79A	AGM4|BASH|BLNK-S|LY57|SLP-65|SLP65|bca	IGA|MB-1	Reconstituted Complex	physical	Engels N (2001)	11449366	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
283025	1399	29760	107789	118894	-	-	CRKL	BLNK	-	AGM4|BASH|BLNK-S|LY57|SLP-65|SLP65|bca	Affinity Capture-Western	physical	Engels N (2001)	11489945	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
288078	695	29760	107160	118894	RP1-164F3.2	-	BTK	BLNK	AGMX1|AT|ATK|BPK|IMD1|PSCTK1|XLA	AGM4|BASH|BLNK-S|LY57|SLP-65|SLP65|bca	Affinity Capture-Western	physical	Yasuda T (2002)	12093870	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
298156	29760	973	118894	107411	-	-	BLNK	CD79A	AGM4|BASH|BLNK-S|LY57|SLP-65|SLP65|bca	IGA|MB-1	Reconstituted Complex	physical	Kabak S (2002)	11909947	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
298157	973	29760	107411	118894	-	-	CD79A	BLNK	IGA|MB-1	AGM4|BASH|BLNK-S|LY57|SLP-65|SLP65|bca	Affinity Capture-Western	physical	Kabak S (2002)	11909947	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
303194	971	29760	107409	118894	RP11-331F9.9	-	CD72	BLNK	CD72b|LYB2	AGM4|BASH|BLNK-S|LY57|SLP-65|SLP65|bca	Affinity Capture-Western	physical	Fusaki N (2000)	10820378	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
