#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
255784	51106	7019	119295	112877	CGI-75	-	TFB1M	TFAM	CGI75|mtTFB|mtTFB1	MTTF1|MTTFA|TCF6|TCF6L1|TCF6L2|TCF6L3	Affinity Capture-Western	physical	McCulloch V (2003)	12897151	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
255785	51106	7019	119295	112877	CGI-75	-	TFB1M	TFAM	CGI75|mtTFB|mtTFB1	MTTF1|MTTFA|TCF6|TCF6L1|TCF6L2|TCF6L3	Reconstituted Complex	physical	McCulloch V (2003)	12897151	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
255786	7019	51106	112877	119295	-	CGI-75	TFAM	TFB1M	MTTF1|MTTFA|TCF6|TCF6L1|TCF6L2|TCF6L3	CGI75|mtTFB|mtTFB1	Reconstituted Complex	physical	McCulloch V (2003)	12897151	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
255788	51106	5442	119295	111438	CGI-75	-	TFB1M	POLRMT	CGI75|mtTFB|mtTFB1	APOLMT|MTRNAP|MTRPOL|h-mtRPOL	Affinity Capture-Western	physical	McCulloch V (2003)	12897151	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
690548	55832	51106	120937	119295	-	CGI-75	CAND1	TFB1M	TIP120|TIP120A	CGI75|mtTFB|mtTFB1	Affinity Capture-MS	physical	Bennett EJ (2010)	21145461	9606	9606	High Throughput	-	-	-	All data was filtered to a 1% false discovery rate (peptide level) prior to analysis using CompPASS to identify high confidence candidate interacting proteins|TAP-tagged CAND1|exogenous expression of bait	-	BIOGRID
1051719	6472	51106	112368	119295	-	CGI-75	SHMT2	TFB1M	GLYA|HEL-S-51e|SHMT	CGI75|mtTFB|mtTFB1	Affinity Capture-RNA	physical	Castello A (2012)	22658674	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1278584	80198	51106	123170	119295	-	CGI-75	MUS81	TFB1M	SLX3	CGI75|mtTFB|mtTFB1	Synthetic Growth Defect	genetic	Vizeacoumar FJ (2013)	24104479	9606	9606	High Throughput	-	-	Growth abnormality[HCT-116 cell]	shRNA|siRNA	-	BIOGRID
1453400	6134	51106	112054	119295	XX-FW83563B9.1	CGI-75	RPL10	TFB1M	AUTSX5|DXS648|DXS648E|L10|NOV|QM	CGI75|mtTFB|mtTFB1	Affinity Capture-MS	physical	Hein MY (2015)	26496610	9606	9606	High Throughput	-	-	-	interaction detected by quantitative BAC-GFP interactomics (QUBIC)	-	BIOGRID
1453401	7533	51106	113365	119295	LL22NC03-44A4.1	CGI-75	YWHAH	TFB1M	YWHA1	CGI75|mtTFB|mtTFB1	Affinity Capture-MS	physical	Hein MY (2015)	26496610	9606	9606	High Throughput	-	-	-	interaction detected by quantitative BAC-GFP interactomics (QUBIC)	-	BIOGRID
1453402	9179	51106	114616	119295	-	CGI-75	AP4M1	TFB1M	CPSQ3|MU-4|MU-ARP2|SPG50	CGI75|mtTFB|mtTFB1	Affinity Capture-MS	physical	Hein MY (2015)	26496610	9606	9606	High Throughput	-	-	-	interaction detected by quantitative BAC-GFP interactomics (QUBIC)	-	BIOGRID
