#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
448760	6622	66734	112506	211680	-	RP23-87L24.4	SNCA	Map1lc3a	NACP|PARK1|PARK4|PD1	1010001H21Rik|4922501H04Rik|LC3|LC3a	Affinity Capture-MS	physical	McFarland MA (2008)	18614564	9606	10090	Low Throughput	-	-	-	Bait has preferential affinity for the Ser-129 phosphorylated alpha-synuclein	-	BIOGRID
678885	18412	66734	201982	211680	RP23-319B15.3	RP23-87L24.4	Sqstm1	Map1lc3a	A170|OSF-6|Osi|STAP|STONE14|p62	1010001H21Rik|4922501H04Rik|LC3|LC3a	Affinity Capture-Western	physical	Gal J (2009)	19765191	10090	10090	Low Throughput	-	-	-	figure 7A.	-	BIOGRID
678927	66734	17754	211680	201583	RP23-87L24.4	-	Map1lc3a	Map1a	1010001H21Rik|4922501H04Rik|LC3|LC3a	6330416M19Rik|AI853608|Mtap-1|Mtap1|Mtap1a|moth1	Affinity Capture-MS	physical	Komatsu M (2007)	18083104	10090	10090	Low Throughput	-	-	-	table S1.	-	BIOGRID
678928	66734	17755	211680	201584	RP23-87L24.4	-	Map1lc3a	Map1b	1010001H21Rik|4922501H04Rik|LC3|LC3a	A230055D22|AI843217|LC1|MAP5|Mtap-5|Mtap1b|Mtap5	Affinity Capture-MS	physical	Komatsu M (2007)	18083104	10090	10090	Low Throughput	-	-	-	table S1.	-	BIOGRID
678929	66734	18412	211680	201982	RP23-87L24.4	RP23-319B15.3	Map1lc3a	Sqstm1	1010001H21Rik|4922501H04Rik|LC3|LC3a	A170|OSF-6|Osi|STAP|STONE14|p62	Affinity Capture-MS	physical	Komatsu M (2007)	18083104	10090	10090	Low Throughput	-	-	-	table S1.	-	BIOGRID
678930	66734	66615	211680	211597	RP23-87L24.4	-	Map1lc3a	Atg4b	1010001H21Rik|4922501H04Rik|LC3|LC3a	2510009N07Rik|AW048066|Apg4b|Atg4bl|Autl1	Affinity Capture-MS	physical	Komatsu M (2007)	18083104	10090	10090	Low Throughput	-	-	-	table S1.	-	BIOGRID
678931	66734	67841	211680	212471	RP23-87L24.4	-	Map1lc3a	Atg3	1010001H21Rik|4922501H04Rik|LC3|LC3a	2610016C12Rik|APG3|Apg3l|Atg3l|PC3-96	Affinity Capture-MS	physical	Komatsu M (2007)	18083104	10090	10090	Low Throughput	-	-	-	table S1.	-	BIOGRID
678932	66734	72145	211680	215181	RP23-87L24.4	-	Map1lc3a	Wdfy3	1010001H21Rik|4922501H04Rik|LC3|LC3a	2610509D04Rik|ALFY|AW319683|B930017C24|BWF1|Bchs|D5Ertd66e|Ggtb3|ZFYVE25|mKIAA0993	Affinity Capture-MS	physical	Komatsu M (2007)	18083104	10090	10090	Low Throughput	-	-	-	table S1.	-	BIOGRID
678933	66734	18412	211680	201982	RP23-87L24.4	RP23-319B15.3	Map1lc3a	Sqstm1	1010001H21Rik|4922501H04Rik|LC3|LC3a	A170|OSF-6|Osi|STAP|STONE14|p62	Affinity Capture-Western	physical	Komatsu M (2007)	18083104	10090	10090	Low Throughput	-	-	-	figure 1A.|figure 1B. Interaction of p62 with endogenous LC3	-	BIOGRID
678934	18412	66734	201982	211680	RP23-319B15.3	RP23-87L24.4	Sqstm1	Map1lc3a	A170|OSF-6|Osi|STAP|STONE14|p62	1010001H21Rik|4922501H04Rik|LC3|LC3a	Affinity Capture-Western	physical	Komatsu M (2007)	18083104	10090	10090	Low Throughput	-	-	-	figure 1A.|figure S1.	-	BIOGRID
