#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
63877	176061	180343	41269	45300	C07H6.5	B0250.1	cgh-1	rpl-2	CELE_C07H6.5	CELE_B0250.1	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BIOGRID
63878	176061	182018	41269	46881	C07H6.5	B0511.5	cgh-1	cutl-14	CELE_C07H6.5	CELE_B0511.5	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BIOGRID
63879	176061	172274	41269	37728	C07H6.5	CELE_C06A5.3	cgh-1	C06A5.3	CELE_C07H6.5	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BIOGRID
63881	176061	266854	41269	57341	C07H6.5	C27A2.6	cgh-1	dsh-2	CELE_C07H6.5	CELE_C27A2.6	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BIOGRID
63882	176061	175677	41269	40910	C07H6.5	CELE_C27F2.8	cgh-1	C27F2.8	CELE_C07H6.5	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BIOGRID
63883	176061	179495	41269	44524	C07H6.5	CELE_D1054.9	cgh-1	CELE_D1054.9	CELE_C07H6.5	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BIOGRID
63884	176061	191813	41269	56306	C07H6.5	F07C4.5	cgh-1	srd-30	CELE_C07H6.5	CELE_F07C4.5	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BIOGRID
63885	176061	178901	41269	43951	C07H6.5	CELE_F14F9.4	cgh-1	F14F9.4	CELE_C07H6.5	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BIOGRID
63886	176061	172773	41269	38201	C07H6.5	F46A9.4	cgh-1	skr-2	CELE_C07H6.5	CELE_F46A9.4	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BIOGRID
63887	176061	180986	41269	45911	C07H6.5	CELE_F46H5.3	cgh-1	F46H5.3	CELE_C07H6.5	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BIOGRID
63888	176061	172653	41269	38086	C07H6.5	R05D11.8	cgh-1	edc-3	CELE_C07H6.5	CELE_R05D11.8	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BIOGRID
63889	176061	188957	41269	53610	C07H6.5	CELE_T26H5.4	cgh-1	CELE_T26H5.4	CELE_C07H6.5	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BIOGRID
63890	176061	174836	41269	40140	C07H6.5	CELE_W03C9.7	cgh-1	mex-1	CELE_C07H6.5	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BIOGRID
63891	176061	180479	41269	45431	C07H6.5	CELE_W05H7.4	cgh-1	zfp-3	CELE_C07H6.5	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BIOGRID
63892	176061	173033	41269	38441	C07H6.5	ZK1025.9	cgh-1	nhr-113	CELE_C07H6.5	CELE_ZK1025.9	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BIOGRID
240348	176061	172653	41269	38086	C07H6.5	R05D11.8	cgh-1	edc-3	CELE_C07H6.5	CELE_R05D11.8	Two-hybrid	physical	Walhout AJ (2002)	12445390	6239	6239	Low Throughput	-	-	-	-	-	BIOGRID
240380	176061	174836	41269	40140	C07H6.5	CELE_W03C9.7	cgh-1	mex-1	CELE_C07H6.5	-	Two-hybrid	physical	Walhout AJ (2002)	12445390	6239	6239	Low Throughput	-	-	-	-	-	BIOGRID
240405	176061	266854	41269	57341	C07H6.5	C27A2.6	cgh-1	dsh-2	CELE_C07H6.5	CELE_C27A2.6	Two-hybrid	physical	Walhout AJ (2002)	12445390	6239	6239	Low Throughput	-	-	-	-	-	BIOGRID
466042	176286	176061	41485	41269	F02A9.6	C07H6.5	glp-1	cgh-1	CELE_F02A9.6|emb-33	CELE_C07H6.5	Negative Genetic	genetic	Byrne AB (2007)	17897480	6239	6239	High Throughput	4.1	-	organism development variant	A systematic genetic interaction analysis (SGI) was carried out to detect interactions between 11 query mutants and 858 target genes compromised by RNA interference (RNAi).  Interactions were determined using growth scores that indicated whether the resulting number of progeny from the double mutant was significantly different than that of single mutant controls.|Negative Genetic	-	BIOGRID
466043	181291	176061	46202	41269	CELE_F58A3.2	C07H6.5	egl-15	cgh-1	-	CELE_C07H6.5	Negative Genetic	genetic	Byrne AB (2007)	17897480	6239	6239	High Throughput	3.8333	-	organism development variant	A systematic genetic interaction analysis (SGI) was carried out to detect interactions between 11 query mutants and 858 target genes compromised by RNA interference (RNAi).  Interactions were determined using growth scores that indicated whether the resulting number of progeny from the double mutant was significantly different than that of single mutant controls.|Negative Genetic	-	BIOGRID
466044	178846	176061	43898	41269	T28F12.3	C07H6.5	sos-1	cgh-1	CELE_T28F12.3|let-341	CELE_C07H6.5	Negative Genetic	genetic	Byrne AB (2007)	17897480	6239	6239	High Throughput	3.8	-	organism development variant	A systematic genetic interaction analysis (SGI) was carried out to detect interactions between 11 query mutants and 858 target genes compromised by RNA interference (RNAi).  Interactions were determined using growth scores that indicated whether the resulting number of progeny from the double mutant was significantly different than that of single mutant controls.|Negative Genetic	-	BIOGRID
466045	175410	176061	40655	41269	CELE_Y55D5A.5	C07H6.5	daf-2	cgh-1	-	CELE_C07H6.5	Negative Genetic	genetic	Byrne AB (2007)	17897480	6239	6239	High Throughput	4.2143	-	organism development variant	A systematic genetic interaction analysis (SGI) was carried out to detect interactions between 11 query mutants and 858 target genes compromised by RNA interference (RNAi).  Interactions were determined using growth scores that indicated whether the resulting number of progeny from the double mutant was significantly different than that of single mutant controls.|Negative Genetic	-	BIOGRID
466046	178104	176061	43199	41269	ZK792.6	C07H6.5	let-60	cgh-1	CELE_ZK792.6|lin-34	CELE_C07H6.5	Negative Genetic	genetic	Byrne AB (2007)	17897480	6239	6239	High Throughput	4.0	-	organism development variant	A systematic genetic interaction analysis (SGI) was carried out to detect interactions between 11 query mutants and 858 target genes compromised by RNA interference (RNAi).  Interactions were determined using growth scores that indicated whether the resulting number of progeny from the double mutant was significantly different than that of single mutant controls.|Negative Genetic	-	BIOGRID
819982	176061	175677	41269	40910	C07H6.5	CELE_C27F2.8	cgh-1	C27F2.8	CELE_C07H6.5	-	Two-hybrid	physical	Boxem M (2008)	18692475	6239	6239	High Throughput	-	-	-	Corrected dataset:  Erratum in Cell. 2012 Dec 21;151(7):1633.	-	BIOGRID
819983	176061	173269	41269	38658	C07H6.5	CELE_F47G4.7	cgh-1	smd-1	CELE_C07H6.5	-	Two-hybrid	physical	Boxem M (2008)	18692475	6239	6239	High Throughput	-	-	-	Corrected dataset:  Erratum in Cell. 2012 Dec 21;151(7):1633.	-	BIOGRID
819984	176061	176816	41269	41981	C07H6.5	CELE_K08E3.7	cgh-1	pdr-1	CELE_C07H6.5	-	Two-hybrid	physical	Boxem M (2008)	18692475	6239	6239	High Throughput	-	-	-	Corrected dataset:  Erratum in Cell. 2012 Dec 21;151(7):1633.	-	BIOGRID
819985	176061	177374	41269	42496	C07H6.5	CELE_M03D4.1	cgh-1	zen-4	CELE_C07H6.5	-	Two-hybrid	physical	Boxem M (2008)	18692475	6239	6239	High Throughput	-	-	-	Corrected dataset:  Erratum in Cell. 2012 Dec 21;151(7):1633.	-	BIOGRID
819986	176061	172653	41269	38086	C07H6.5	R05D11.8	cgh-1	edc-3	CELE_C07H6.5	CELE_R05D11.8	Two-hybrid	physical	Boxem M (2008)	18692475	6239	6239	High Throughput	-	-	-	Corrected dataset:  Erratum in Cell. 2012 Dec 21;151(7):1633.	-	BIOGRID
819987	176061	173353	41269	38736	C07H6.5	CELE_Y54E5B.3	cgh-1	let-49	CELE_C07H6.5	-	Two-hybrid	physical	Boxem M (2008)	18692475	6239	6239	High Throughput	-	-	-	Corrected dataset:  Erratum in Cell. 2012 Dec 21;151(7):1633.	-	BIOGRID
2578193	181729	176061	46612	41269	CELE_F41G4.2	C07H6.5	cas-1	cgh-1	-	CELE_C07H6.5	Co-fractionation	physical	Hu LZ (2019)	31308550	6239	6239	High Throughput	0.974	-	-	High confidence protein interactions have an EPIC PPI score >= 0.5	-	BIOGRID
2578846	176061	171769	41269	37256	C07H6.5	CELE_Y37E3.10	cgh-1	Y37E3.10	CELE_C07H6.5	-	Co-fractionation	physical	Hu LZ (2019)	31308550	6239	6239	High Throughput	0.516	-	-	High confidence protein interactions have an EPIC PPI score >= 0.5	-	BIOGRID
