#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
723356	25988	84881	117469	124324	-	-	HINFP	RPUSD4	HiNF-P|MIZF|ZNF743	-	Two-hybrid	physical	Miele A (2007)	17577209	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
750681	55178	84881	120477	124324	HC90	-	RNMTL1	RPUSD4	MRM3|RMTL1	-	Co-fractionation	physical	Havugimana PC (2012)	22939629	9606	9606	High Throughput	0.812	-	-	Denoised score >= 0.75	-	BIOGRID
751148	10492	84881	115755	124324	RP1-3J17.2	-	SYNCRIP	RPUSD4	GRY-RBP|GRYRBP|HNRNPQ|HNRPQ1|NSAP1|PP68|hnRNP-Q	-	Co-fractionation	physical	Havugimana PC (2012)	22939629	9606	9606	High Throughput	0.803	-	-	Denoised score >= 0.75	-	BIOGRID
752203	1537	84881	107917	124324	-	-	CYC1	RPUSD4	MC3DN6|UQCR4	-	Co-fractionation	physical	Havugimana PC (2012)	22939629	9606	9606	High Throughput	0.784	-	-	Denoised score >= 0.75	-	BIOGRID
752761	121457	84881	125730	124324	-	-	IKBIP	RPUSD4	IKIP	-	Co-fractionation	physical	Havugimana PC (2012)	22939629	9606	9606	High Throughput	0.776	-	-	Denoised score >= 0.75	-	BIOGRID
1052479	4343	84881	110484	124324	RP11-426L16.2	-	MOV10	RPUSD4	fSAP113|gb110	-	Affinity Capture-RNA	physical	Castello A (2012)	22658674	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1053474	10482	84881	115745	124324	-	-	NXF1	RPUSD4	MEX67|TAP	-	Affinity Capture-RNA	physical	Castello A (2012)	22658674	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1183943	51073	84881	119264	124324	CDABP0091	-	MRPL4	RPUSD4	CGI-28|L4mt	-	Affinity Capture-MS	physical	Huttlin EL (2015)	26186194	9606	9606	High Throughput	0.99951042	-	-	BioPlex 1.0 HEK 293T cells CompPASS score = 0.99951042, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 2.0 (PMID: 28514442) and BioPlex 3.0 (PMID: 33961781). Only scores from within BioPlex 1.0 (PMID: 26186194) should be compared directly.	-	BIOGRID
1278778	7157	84881	113010	124324	-	-	TP53	RPUSD4	BCC7|LFS1|P53|TRP53	-	Synthetic Growth Defect	genetic	Xie L (2013)	23284306	9606	9606	High Throughput	-	-	Growth abnormality[HCT-116 cell]	shRNA	-	BIOGRID
1456910	7515	84881	113349	124324	-	-	XRCC1	RPUSD4	RCC	-	Affinity Capture-MS	physical	Hein MY (2015)	26496610	9606	9606	High Throughput	-	-	-	interaction detected by quantitative BAC-GFP interactomics (QUBIC)	-	BIOGRID
1456911	129831	84881	126210	124324	-	-	RBM45	RPUSD4	DRB1	-	Affinity Capture-MS	physical	Hein MY (2015)	26496610	9606	9606	High Throughput	-	-	-	interaction detected by quantitative BAC-GFP interactomics (QUBIC)	-	BIOGRID
1470672	12462	84881	198565	124324	-	-	Cct3	RPUSD4	AL024092|Cctg|Tcp1-rs3|TriC-P5	-	Affinity Capture-MS	physical	Hein MY (2015)	26496610	10090	9606	High Throughput	-	-	-	interaction detected by quantitative BAC-GFP interactomics (QUBIC)	-	BIOGRID
1470673	26965	84881	205088	124324	-	-	Cul1	RPUSD4	-	-	Affinity Capture-MS	physical	Hein MY (2015)	26496610	10090	9606	High Throughput	-	-	-	interaction detected by quantitative BAC-GFP interactomics (QUBIC)	-	BIOGRID
1470674	56334	84881	207909	124324	-	-	Tmed2	RPUSD4	1110032D12Rik|1810020N21Rik|Rnp24|Sid394|p24beta1	-	Affinity Capture-MS	physical	Hein MY (2015)	26496610	10090	9606	High Throughput	-	-	-	interaction detected by quantitative BAC-GFP interactomics (QUBIC)	-	BIOGRID
1470675	68581	84881	212936	124324	-	-	Tmed10	RPUSD4	1110014C03Rik|Tmp21|p23|p24delta1	-	Affinity Capture-MS	physical	Hein MY (2015)	26496610	10090	9606	High Throughput	-	-	-	interaction detected by quantitative BAC-GFP interactomics (QUBIC)	-	BIOGRID
1470676	70790	84881	214255	124324	-	-	Ubr5	RPUSD4	Edd|Edd1	-	Affinity Capture-MS	physical	Hein MY (2015)	26496610	10090	9606	High Throughput	-	-	-	interaction detected by quantitative BAC-GFP interactomics (QUBIC)	-	BIOGRID
1470677	75608	84881	217613	124324	RP23-29D15.3	-	Chmp4b	RPUSD4	2010012F05Rik|C76846|Snf7-2	-	Affinity Capture-MS	physical	Hein MY (2015)	26496610	10090	9606	High Throughput	-	-	-	interaction detected by quantitative BAC-GFP interactomics (QUBIC)	-	BIOGRID
1528316	51335	84881	119482	124324	HT020	-	NGRN	RPUSD4	DSC92	-	Affinity Capture-MS	physical	Arroyo JD (2016)	27667664	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
1528327	81554	84881	123518	124324	-	-	WBSCR16	RPUSD4	-	-	Affinity Capture-MS	physical	Arroyo JD (2016)	27667664	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
1528332	22868	84881	116535	124324	-	-	FASTKD2	RPUSD4	KIAA0971	-	Affinity Capture-MS	physical	Arroyo JD (2016)	27667664	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
