#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
26308	332	9212	106829	114646	-	-	BIRC5	AURKB	API4|EPR-1	AIK2|AIM-1|AIM1|ARK2|AurB|IPL1|PPP1R48|STK12|STK5|aurkb-sv1|aurkb-sv2	Two-hybrid	physical	Wheatley SP (2001)	11516652	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
251030	55143	9212	120446	114646	-	-	CDCA8	AURKB	BOR|BOREALIN|DasraB|MESRGP	AIK2|AIM-1|AIM1|ARK2|AurB|IPL1|PPP1R48|STK12|STK5|aurkb-sv1|aurkb-sv2	Affinity Capture-Western	physical	Sampath SC (2004)	15260989	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
251071	55143	9212	120446	114646	-	-	CDCA8	AURKB	BOR|BOREALIN|DasraB|MESRGP	AIK2|AIM-1|AIM1|ARK2|AurB|IPL1|PPP1R48|STK12|STK5|aurkb-sv1|aurkb-sv2	Affinity Capture-Western	physical	Gassmann R (2004)	15249581	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
251073	9212	55920	114646	121001	-	-	AURKB	RCC2	AIK2|AIM-1|AIM1|ARK2|AurB|IPL1|PPP1R48|STK12|STK5|aurkb-sv1|aurkb-sv2	TD-60	Affinity Capture-Western	physical	Gassmann R (2004)	15249581	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
251074	9212	9212	114646	114646	-	-	AURKB	AURKB	AIK2|AIM-1|AIM1|ARK2|AurB|IPL1|PPP1R48|STK12|STK5|aurkb-sv1|aurkb-sv2	AIK2|AIM-1|AIM1|ARK2|AurB|IPL1|PPP1R48|STK12|STK5|aurkb-sv1|aurkb-sv2	Affinity Capture-Western	physical	Gassmann R (2004)	15249581	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
251075	9212	3619	114646	109831	-	-	AURKB	INCENP	AIK2|AIM-1|AIM1|ARK2|AurB|IPL1|PPP1R48|STK12|STK5|aurkb-sv1|aurkb-sv2	-	Affinity Capture-Western	physical	Gassmann R (2004)	15249581	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
251078	9212	55143	114646	120446	-	-	AURKB	CDCA8	AIK2|AIM-1|AIM1|ARK2|AurB|IPL1|PPP1R48|STK12|STK5|aurkb-sv1|aurkb-sv2	BOR|BOREALIN|DasraB|MESRGP	Biochemical Activity	physical	Gassmann R (2004)	15249581	9606	9606	Low Throughput	-	Phosphorylation	-	-	-	BIOGRID
252014	9212	6867	114646	112730	-	-	AURKB	TACC1	AIK2|AIM-1|AIM1|ARK2|AurB|IPL1|PPP1R48|STK12|STK5|aurkb-sv1|aurkb-sv2	Ga55	Affinity Capture-Western	physical	Delaval B (2004)	15064709	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
252015	6867	9212	112730	114646	-	-	TACC1	AURKB	Ga55	AIK2|AIM-1|AIM1|ARK2|AurB|IPL1|PPP1R48|STK12|STK5|aurkb-sv1|aurkb-sv2	Affinity Capture-Western	physical	Delaval B (2004)	15064709	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
259289	9212	29127	114646	118892	-	-	AURKB	RACGAP1	AIK2|AIM-1|AIM1|ARK2|AurB|IPL1|PPP1R48|STK12|STK5|aurkb-sv1|aurkb-sv2	CYK4|HsCYK-4|ID-GAP|MgcRacGAP	Biochemical Activity	physical	Minoshima Y (2003)	12689593	9606	9606	Low Throughput	-	Phosphorylation	-	-	-	BIOGRID
