#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
279829	85403	8178	124514	113828	-	-	EAF1	ELL	-	C19orf17|ELL1|MEN|PPP1R68	Affinity Capture-Western	physical	Simone F (2001)	11418481	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
279830	85403	22936	124514	116595	-	-	EAF1	ELL2	-	-	Affinity Capture-Western	physical	Simone F (2001)	11418481	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
532042	4300	85403	110446	124514	-	-	MLLT3	EAF1	AF9|YEATS3	-	Affinity Capture-MS	physical	Park G (2010)	20431927	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
592313	29844	85403	118931	124514	-	-	TFPT	EAF1	FB1|INO80F|amida	-	Affinity Capture-Western	physical	Jiang F (2007)	17395368	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
664235	1994	85403	108309	124514	-	-	ELAVL1	EAF1	ELAV1|HUR|Hua|MelG	-	Affinity Capture-RNA	physical	Abdelmohsen K (2009)	19322201	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
738650	85403	351	124514	106848	-	-	EAF1	APP	-	AAA|ABETA|ABPP|AD1|APPI|CTFgamma|CVAP|PN-II|PN2	Reconstituted Complex	physical	Olah J (2011)	21832049	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
844120	9441	85403	114831	124514	-	-	MED26	EAF1	CRSP7|CRSP70	-	Affinity Capture-Western	physical	Takahashi H (2011)	21729782	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
844134	79664	85403	122789	124514	UNQ3101/PRO10100	-	ICE2	EAF1	BRCC1|NARG2	-	Affinity Capture-Western	physical	Takahashi H (2011)	21729782	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
844136	23379	85403	116955	124514	-	-	ICE1	EAF1	KIAA0947	-	Affinity Capture-Western	physical	Takahashi H (2011)	21729782	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
844138	4300	85403	110446	124514	-	-	MLLT3	EAF1	AF9|YEATS3	-	Affinity Capture-Western	physical	Takahashi H (2011)	21729782	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
