#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
664185	1994	203228	108309	128456	-	-	ELAVL1	C9orf72	ELAV1|HUR|Hua|MelG	ALSFTD|FTDALS	Affinity Capture-RNA	physical	Abdelmohsen K (2009)	19322201	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
739926	203228	351	128456	106848	-	-	C9orf72	APP	ALSFTD|FTDALS	AAA|ABETA|ABPP|AD1|APPI|CTFgamma|CVAP|PN-II|PN2	Reconstituted Complex	physical	Olah J (2011)	21832049	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
856366	64210	203228	122103	128456	RP11-452K12.5	-	MMS19	C9orf72	MET18|MMS19L|hMMS19	ALSFTD|FTDALS	Affinity Capture-MS	physical	Stehling O (2012)	22678362	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
907452	6732	203228	112610	128456	RP3-422H11.1	-	SRPK1	C9orf72	SFRSK1	ALSFTD|FTDALS	Biochemical Activity	physical	Varjosalo M (2013)	23602568	9606	9606	High Throughput	-	Phosphorylation	-	Substrate (Hit) was protein microarray; all hits had Z-score greater than 0.25	-	BIOGRID
1037709	1406	203228	107796	128456	-	-	CRX	C9orf72	CORD2|CRD|LCA7|OTX3	ALSFTD|FTDALS	Two-hybrid	physical	Rolland T (2014)	25416956	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1041624	5966	203228	111898	128456	-	-	REL	C9orf72	C-Rel	ALSFTD|FTDALS	Two-hybrid	physical	Rolland T (2014)	25416956	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1044040	8892	203228	114409	128456	-	-	EIF2B2	C9orf72	EIF-2Bbeta|EIF2B	ALSFTD|FTDALS	Two-hybrid	physical	Rolland T (2014)	25416956	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1044169	9111	203228	114561	128456	-	-	NMI	C9orf72	-	ALSFTD|FTDALS	Two-hybrid	physical	Rolland T (2014)	25416956	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1438551	203228	8892	128456	114409	-	-	C9orf72	EIF2B2	ALSFTD|FTDALS	EIF-2Bbeta|EIF2B	Two-hybrid	physical	Yu H (2011)	21516116	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1471610	26380	203228	204938	128456	-	-	Esrrb	C9orf72	Err2|Errb|Estrrb|Nr3b2	ALSFTD|FTDALS	Affinity Capture-MS	physical	Hein MY (2015)	26496610	10090	9606	High Throughput	-	-	-	interaction detected by quantitative BAC-GFP interactomics (QUBIC)	-	BIOGRID
