#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
251271	91746	25	124871	106543	-	RP11-83J21.1	YTHDC1	ABL1	YT521|YT521-B	ABL|JTK7|bcr/abl|c-ABL|c-ABL1|p150|v-abl	Affinity Capture-Western	physical	Rafalska I (2004)	15175272	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
258739	2010	91746	108325	124871	XX-FW88778H2.1	-	EMD	YTHDC1	EDMD|LEMD5|STA	YT521|YT521-B	Two-hybrid	physical	Wilkinson FL (2003)	12755701	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
258744	2010	91746	108325	124871	XX-FW88778H2.1	-	EMD	YTHDC1	EDMD|LEMD5|STA	YT521|YT521-B	Affinity Capture-Western	physical	Wilkinson FL (2003)	12755701	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
258746	2010	91746	108325	124871	XX-FW88778H2.1	-	EMD	YTHDC1	EDMD|LEMD5|STA	YT521|YT521-B	Reconstituted Complex	physical	Wilkinson FL (2003)	12755701	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
282824	10657	91746	115900	124871	-	-	KHDRBS1	YTHDC1	Sam68|p62|p68	YT521|YT521-B	Affinity Capture-Western	physical	Hartmann AM (1999)	10564280	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
282825	10657	91746	115900	124871	-	-	KHDRBS1	YTHDC1	Sam68|p62|p68	YT521|YT521-B	Two-hybrid	physical	Hartmann AM (1999)	10564280	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
303722	64015	91746	248934	124871	-	-	Khdrbs3	YTHDC1	Etle|Slm2	YT521|YT521-B	Affinity Capture-Western	physical	Stoss O (2001)	11118435	10116	9606	Low Throughput	-	-	-	-	-	BIOGRID
678257	9636	91746	114995	124871	-	-	ISG15	YTHDC1	G1P2|IFI15|IMD38|IP17|UCRP|hUCRP	YT521|YT521-B	Affinity Capture-MS	physical	Zhao C (2005)	16009940	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
811561	4116	91746	110290	124871	RP5-1024G6.4	-	MAGOH	YTHDC1	MAGOH1|MAGOHA	YT521|YT521-B	Affinity Capture-MS	physical	Singh G (2012)	23084401	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
811582	9775	91746	115119	124871	-	-	EIF4A3	YTHDC1	DDX48|MUK34|NMP265|NUK34|RCPS|eIF4AIII	YT521|YT521-B	Affinity Capture-MS	physical	Singh G (2012)	23084401	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
860186	9768	91746	115114	124871	L5	-	KIAA0101	YTHDC1	NS5ATP9|OEATC|OEATC-1|OEATC1|PAF|PAF15|p15(PAF)|p15/PAF|p15PAF	YT521|YT521-B	Affinity Capture-MS	physical	Emanuele MJ (2011)	21628590	9606	9606	High Throughput	-	-	-	High Throughput: The author provided a high confidence data set of PAF15 interacting proteins that were identified using the COMPASS algorithm (Sowa et al, Cell 2009).	-	BIOGRID
891982	9507	91746	114885	124871	UNQ769/PRO1563	-	ADAMTS4	YTHDC1	ADAMTS-2|ADAMTS-4|ADMP-1	YT521|YT521-B	Two-hybrid	physical	Wang J (2011)	21988832	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
892140	9580	91746	114948	124871	RP11-74C13.1	-	SOX13	YTHDC1	ICA12|Sox-13	YT521|YT521-B	Two-hybrid	physical	Wang J (2011)	21988832	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
892246	2801	91746	109063	124871	RP11-395P17.5	-	GOLGA2	YTHDC1	GM130	YT521|YT521-B	Two-hybrid	physical	Wang J (2011)	21988832	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
892347	10319	91746	115603	124871	RP11-143H20.1	-	LAMC3	YTHDC1	OCCM	YT521|YT521-B	Two-hybrid	physical	Wang J (2011)	21988832	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
892367	84445	91746	124083	124871	RP11-108L7.8	-	LZTS2	YTHDC1	LAPSER1	YT521|YT521-B	Two-hybrid	physical	Wang J (2011)	21988832	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
892399	5340	91746	111356	124871	RP1-81D8.1	-	PLG	YTHDC1	-	YT521|YT521-B	Two-hybrid	physical	Wang J (2011)	21988832	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
892437	3075	91746	109324	124871	RP1-177P10.1	-	CFH	YTHDC1	AHUS1|AMBP1|ARMD4|ARMS1|CFHL3|FH|FHL1|HF|HF1|HF2|HUS	YT521|YT521-B	Two-hybrid	physical	Wang J (2011)	21988832	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
892458	738	91746	107197	124871	PP5382	-	VPS51	YTHDC1	ANG2|ANG3|C11orf2|C11orf3|FFR	YT521|YT521-B	Two-hybrid	physical	Wang J (2011)	21988832	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
892478	3875	91746	110073	124871	PIG46	-	KRT18	YTHDC1	CYK18|K18	YT521|YT521-B	Two-hybrid	physical	Wang J (2011)	21988832	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
895084	6434	91746	112332	124871	-	-	TRA2B	YTHDC1	Htra2-beta|PPP1R156|SFRS10|SRFS10|TRA2-BETA|TRAN2B	YT521|YT521-B	Two-hybrid	physical	Wang J (2011)	21988832	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
895169	10542	91746	115796	124871	-	-	LAMTOR5	YTHDC1	HBXIP|XIP	YT521|YT521-B	Two-hybrid	physical	Wang J (2011)	21988832	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
895207	11151	91746	116322	124871	-	-	CORO1A	YTHDC1	CLABP|CLIPINA|HCORO1|IMD8|TACO|p57	YT521|YT521-B	Two-hybrid	physical	Wang J (2011)	21988832	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
895276	23164	91746	116776	124871	-	-	MPRIP	YTHDC1	M-RIP|MRIP|RHOIP3|RIP3|p116Rip	YT521|YT521-B	Two-hybrid	physical	Wang J (2011)	21988832	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
895282	23644	91746	117171	124871	-	-	EDC4	YTHDC1	GE1|Ge-1|HEDL5|HEDLS|RCD-8|RCD8	YT521|YT521-B	Two-hybrid	physical	Wang J (2011)	21988832	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
895315	29896	91746	118948	124871	-	-	TRA2A	YTHDC1	AWMS1|HSU53209	YT521|YT521-B	Two-hybrid	physical	Wang J (2011)	21988832	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
895375	151011	91746	127339	124871	-	-	SEPT10	YTHDC1	-	YT521|YT521-B	Two-hybrid	physical	Wang J (2011)	21988832	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
895387	254427	91746	129035	124871	-	-	PROSER2	YTHDC1	C10orf47	YT521|YT521-B	Two-hybrid	physical	Wang J (2011)	21988832	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
905193	6732	91746	112610	124871	RP3-422H11.1	-	SRPK1	YTHDC1	SFRSK1	YT521|YT521-B	Affinity Capture-Western	physical	Varjosalo M (2013)	23602568	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
905194	6733	91746	112611	124871	-	-	SRPK2	YTHDC1	SFRSK2	YT521|YT521-B	Affinity Capture-Western	physical	Varjosalo M (2013)	23602568	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
906329	6732	91746	112610	124871	RP3-422H11.1	-	SRPK1	YTHDC1	SFRSK1	YT521|YT521-B	FRET	physical	Varjosalo M (2013)	23602568	9606	9606	Low Throughput	-	-	-	BiFC assay	-	BIOGRID
906332	6733	91746	112611	124871	-	-	SRPK2	YTHDC1	SFRSK2	YT521|YT521-B	FRET	physical	Varjosalo M (2013)	23602568	9606	9606	Low Throughput	-	-	-	BiFC assay	-	BIOGRID
906631	6733	91746	112611	124871	-	-	SRPK2	YTHDC1	SFRSK2	YT521|YT521-B	Affinity Capture-MS	physical	Varjosalo M (2013)	23602568	9606	9606	High Throughput	-	-	-	Exogenous expresssion of bait	-	BIOGRID
906694	6732	91746	112610	124871	RP3-422H11.1	-	SRPK1	YTHDC1	SFRSK1	YT521|YT521-B	Affinity Capture-MS	physical	Varjosalo M (2013)	23602568	9606	9606	High Throughput	-	-	-	Exogenous expresssion of bait	-	BIOGRID
1037617	1196	91746	107607	124871	-	-	CLK2	YTHDC1	-	YT521|YT521-B	Two-hybrid	physical	Rolland T (2014)	25416956	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1038040	1857	91746	108190	124871	-	-	DVL3	YTHDC1	-	YT521|YT521-B	Two-hybrid	physical	Rolland T (2014)	25416956	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1039016	3190	91746	109431	124871	RP11-575L7.1	-	HNRNPK	YTHDC1	CSBP|HNRPK|TUNP	YT521|YT521-B	Two-hybrid	physical	Rolland T (2014)	25416956	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1045651	10656	91746	115899	124871	-	-	KHDRBS3	YTHDC1	Etle|SALP|SLM-2|SLM2|T-STAR|TSTAR|etoile	YT521|YT521-B	Two-hybrid	physical	Rolland T (2014)	25416956	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1046979	27111	91746	118007	124871	-	-	SDCBP2	YTHDC1	SITAC|SITAC18|ST-2	YT521|YT521-B	Two-hybrid	physical	Rolland T (2014)	25416956	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1049813	91746	159163	124871	127736	-	-	YTHDC1	RBMY1F	YT521|YT521-B	YRRM2	Two-hybrid	physical	Rolland T (2014)	25416956	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1049814	91746	202559	124871	128436	-	RP1-240B8.3	YTHDC1	KHDRBS2	YT521|YT521-B	SLM-1|SLM1|bA535F17.1	Two-hybrid	physical	Rolland T (2014)	25416956	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1064253	648	91746	107116	124871	RP11-573G6.1	-	BMI1	YTHDC1	FLVI2/BMI1|PCGF4|RNF51	YT521|YT521-B	Affinity Capture-MS	physical	Cao Q (2014)	24457600	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1179880	29896	91746	118948	124871	-	-	TRA2A	YTHDC1	AWMS1|HSU53209	YT521|YT521-B	Affinity Capture-MS	physical	Huttlin EL (2015)	26186194	9606	9606	High Throughput	0.936485572	-	-	BioPlex 1.0 HEK 293T cells CompPASS score = 0.936485572, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 2.0 (PMID: 28514442) and BioPlex 3.0 (PMID: 33961781). Only scores from within BioPlex 1.0 (PMID: 26186194) should be compared directly.	-	BIOGRID
1180937	138046	91746	126498	124871	-	-	RALYL	YTHDC1	HNRPCL3	YT521|YT521-B	Affinity Capture-MS	physical	Huttlin EL (2015)	26186194	9606	9606	High Throughput	0.953619926	-	-	BioPlex 1.0 HEK 293T cells CompPASS score = 0.953619926, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 2.0 (PMID: 28514442) and BioPlex 3.0 (PMID: 33961781). Only scores from within BioPlex 1.0 (PMID: 26186194) should be compared directly.	-	BIOGRID
1184550	3178	91746	109420	124871	-	-	HNRNPA1	YTHDC1	ALS19|ALS20|HNRPA1|HNRPA1L3|IBMPFD3|hnRNP A1|hnRNP-A1	YT521|YT521-B	Affinity Capture-MS	physical	Huttlin EL (2015)	26186194	9606	9606	High Throughput	0.795744472	-	-	BioPlex 1.0 HEK 293T cells CompPASS score = 0.795744472, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 2.0 (PMID: 28514442) and BioPlex 3.0 (PMID: 33961781). Only scores from within BioPlex 1.0 (PMID: 26186194) should be compared directly.	-	BIOGRID
1190474	3608	91746	109821	124871	RP11-354A16.1	-	ILF2	YTHDC1	NF45|PRO3063	YT521|YT521-B	Affinity Capture-MS	physical	Huttlin EL (2015)	26186194	9606	9606	High Throughput	0.774220382	-	-	BioPlex 1.0 HEK 293T cells CompPASS score = 0.774220382, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 2.0 (PMID: 28514442) and BioPlex 3.0 (PMID: 33961781). Only scores from within BioPlex 1.0 (PMID: 26186194) should be compared directly.	-	BIOGRID
1190704	27316	91746	118134	124871	RP11-1114A5.1	-	RBMX	YTHDC1	HNRNPG|HNRPG|RBMXP1|RBMXRT|RNMX|hnRNP-G	YT521|YT521-B	Affinity Capture-MS	physical	Huttlin EL (2015)	26186194	9606	9606	High Throughput	0.939287173	-	-	BioPlex 1.0 HEK 293T cells CompPASS score = 0.939287173, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 2.0 (PMID: 28514442) and BioPlex 3.0 (PMID: 33961781). Only scores from within BioPlex 1.0 (PMID: 26186194) should be compared directly.	-	BIOGRID
1191176	79753	91746	122864	124871	RP3-423B22.3	-	SNIP1	YTHDC1	PMRED	YT521|YT521-B	Affinity Capture-MS	physical	Huttlin EL (2015)	26186194	9606	9606	High Throughput	0.997814461	-	-	BioPlex 1.0 HEK 293T cells CompPASS score = 0.997814461, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 2.0 (PMID: 28514442) and BioPlex 3.0 (PMID: 33961781). Only scores from within BioPlex 1.0 (PMID: 26186194) should be compared directly.	-	BIOGRID
1278283	91746	6714	124871	112592	-	RP5-823N20.1	YTHDC1	SRC	YT521|YT521-B	ASV|SRC1|c-SRC|p60-Src	Affinity Capture-Western	physical	Rafalska I (2004)	15175272	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
