#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
121787	3190	9444	109431	114834	RP11-575L7.1	-	HNRNPK	QKI	CSBP|HNRPK|TUNP	Hqk|QK|QK1|QK3|hqkI	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
423632	84749	9444	124238	114834	-	-	USP30	QKI	-	Hqk|QK|QK1|QK3|hqkI	Affinity Capture-MS	physical	Sowa ME (2009)	19615732	9606	9606	High Throughput	5.12	-	-	exogenous expression of bait	-	BIOGRID
554268	9444	9968	114834	115293	-	-	QKI	MED12	Hqk|QK|QK1|QK3|hqkI	ARC240|CAGH45|FGS1|HOPA|MED12S|OHDOX|OKS|OPA1|TNRC11|TRAP230	Affinity Capture-MS	physical	Malovannaya A (2010)	20133760	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
554269	9444	9969	114834	115294	-	-	QKI	MED13	Hqk|QK|QK1|QK3|hqkI	ARC250|DRIP250|HSPC221|THRAP1|TRAP240	Affinity Capture-MS	physical	Malovannaya A (2010)	20133760	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
554270	9444	81857	114834	123607	-	TCBAP0758	QKI	MED25	Hqk|QK|QK1|QK3|hqkI	ACID1|ARC92|CMT2B2|P78|PTOV2	Affinity Capture-MS	physical	Malovannaya A (2010)	20133760	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
554271	9444	10025	114834	115342	-	-	QKI	MED16	Hqk|QK|QK1|QK3|hqkI	DRIP92|THRAP5|TRAP95	Affinity Capture-MS	physical	Malovannaya A (2010)	20133760	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
554272	9444	9440	114834	114830	-	-	QKI	MED17	Hqk|QK|QK1|QK3|hqkI	CRSP6|CRSP77|DRIP80|TRAP80	Affinity Capture-MS	physical	Malovannaya A (2010)	20133760	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
554273	9444	5469	114834	111465	-	-	QKI	MED1	Hqk|QK|QK1|QK3|hqkI	CRSP1|CRSP200|DRIP205|DRIP230|PBP|PPARBP|PPARGBP|RB18A|TRAP220|TRIP2	Affinity Capture-MS	physical	Malovannaya A (2010)	20133760	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
554274	9444	9862	114834	115196	-	-	QKI	MED24	Hqk|QK|QK1|QK3|hqkI	ARC100|CRSP100|CRSP4|DRIP100|THRAP4|TRAP100	Affinity Capture-MS	physical	Malovannaya A (2010)	20133760	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
554275	9444	9439	114834	114829	-	RP5-914N13.2	QKI	MED23	Hqk|QK|QK1|QK3|hqkI	ARC130|CRSP130|CRSP133|CRSP3|DRIP130|MRT18|SUR-2|SUR2	Affinity Capture-MS	physical	Malovannaya A (2010)	20133760	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
554276	9444	29079	114834	118849	-	RP11-90M2.2	QKI	MED4	Hqk|QK|QK1|QK3|hqkI	ARC36|DRIP36|HSPC126|TRAP36|VDRIP	Affinity Capture-MS	physical	Malovannaya A (2010)	20133760	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
554277	9444	55588	114834	120734	-	-	QKI	MED29	Hqk|QK|QK1|QK3|hqkI	IXL	Affinity Capture-MS	physical	Malovannaya A (2010)	20133760	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
554278	9444	51003	114834	119211	-	CGI-125	QKI	MED31	Hqk|QK|QK1|QK3|hqkI	3110004H13Rik|Soh1	Affinity Capture-MS	physical	Malovannaya A (2010)	20133760	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
554279	9444	51586	114834	119623	-	-	QKI	MED15	Hqk|QK|QK1|QK3|hqkI	ARC105|CAG7A|CTG7A|PCQAP|TIG-1|TIG1|TNRC7	Affinity Capture-MS	physical	Malovannaya A (2010)	20133760	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
554280	9444	9282	114834	114699	-	-	QKI	MED14	Hqk|QK|QK1|QK3|hqkI	CRSP150|CRSP2|CSRP|CXorf4|DRIP150|EXLM1|RGR1|TRAP170	Affinity Capture-MS	physical	Malovannaya A (2010)	20133760	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
554281	9444	9441	114834	114831	-	-	QKI	MED26	Hqk|QK|QK1|QK3|hqkI	CRSP7|CRSP70	Affinity Capture-MS	physical	Malovannaya A (2010)	20133760	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
554282	9444	84246	114834	123974	-	L6	QKI	MED10	Hqk|QK|QK1|QK3|hqkI	NUT2|TRG20	Affinity Capture-MS	physical	Malovannaya A (2010)	20133760	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
554283	9444	5430	114834	111426	-	-	QKI	POLR2A	Hqk|QK|QK1|QK3|hqkI	POLR2|POLRA|RPB1|RPBh1|RPO2|RPOL2|RpIILS|hRPB220|hsRPB1	Affinity Capture-MS	physical	Malovannaya A (2010)	20133760	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
554284	9444	9442	114834	114832	-	RP11-323H21.4	QKI	MED27	Hqk|QK|QK1|QK3|hqkI	CRAP34|CRSP34|CRSP8|TRAP37	Affinity Capture-MS	physical	Malovannaya A (2010)	20133760	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
663988	1994	9444	108309	114834	-	-	ELAVL1	QKI	ELAV1|HUR|Hua|MelG	Hqk|QK|QK1|QK3|hqkI	Affinity Capture-RNA	physical	Abdelmohsen K (2009)	19322201	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
720589	9444	9491	114834	114872	-	RP4-545L17.1	QKI	PSMF1	Hqk|QK|QK1|QK3|hqkI	PI31	Two-hybrid	physical	Lim J (2006)	16713569	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
720590	9444	11067	114834	116251	-	-	QKI	C10orf10	Hqk|QK|QK1|QK3|hqkI	DEPP|FIG|Fseg	Two-hybrid	physical	Lim J (2006)	16713569	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
