#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
664608	112939	8452	125217	114030	-	-	NACC1	CUL3	BEND8|BTBD14B|BTBD30|NAC-1|NAC1	CUL-3|PHA2E	Affinity Capture-Western	physical	Shen H (2007)	17699672	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
664609	112939	5713	125217	111685	-	-	NACC1	PSMD7	BEND8|BTBD14B|BTBD30|NAC-1|NAC1	MOV34|P40|Rpn8|S12	Affinity Capture-Western	physical	Shen H (2007)	17699672	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
664610	112939	8451	125217	114029	-	RP11-391H12.1	NACC1	CUL4A	BEND8|BTBD14B|BTBD30|NAC-1|NAC1	-	Affinity Capture-Western	physical	Shen H (2007)	17699672	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
664611	8452	112939	114030	125217	-	-	CUL3	NACC1	CUL-3|PHA2E	BEND8|BTBD14B|BTBD30|NAC-1|NAC1	Affinity Capture-Western	physical	Shen H (2007)	17699672	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
715902	112939	112939	125217	125217	-	-	NACC1	NACC1	BEND8|BTBD14B|BTBD30|NAC-1|NAC1	BEND8|BTBD14B|BTBD30|NAC-1|NAC1	Affinity Capture-Western	physical	Nakayama K (2006)	17130457	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
716034	112939	10773	125217	115991	-	-	NACC1	ZBTB6	BEND8|BTBD14B|BTBD30|NAC-1|NAC1	ZID|ZNF482	Two-hybrid	physical	Korutla L (2009)	19121354	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
716035	112939	604	125217	107076	-	-	NACC1	BCL6	BEND8|BTBD14B|BTBD30|NAC-1|NAC1	BCL5|BCL6A|LAZ3|ZBTB27|ZNF51	Two-hybrid	physical	Korutla L (2009)	19121354	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
716036	112939	7541	125217	113373	-	-	NACC1	ZBTB14	BEND8|BTBD14B|BTBD30|NAC-1|NAC1	ZF5|ZFP-161|ZFP-5|ZFP161|ZNF478	Two-hybrid	physical	Korutla L (2009)	19121354	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
716037	112939	10773	125217	115991	-	-	NACC1	ZBTB6	BEND8|BTBD14B|BTBD30|NAC-1|NAC1	ZID|ZNF482	Affinity Capture-Western	physical	Korutla L (2009)	19121354	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
716038	112939	604	125217	107076	-	-	NACC1	BCL6	BEND8|BTBD14B|BTBD30|NAC-1|NAC1	BCL5|BCL6A|LAZ3|ZBTB27|ZNF51	Affinity Capture-Western	physical	Korutla L (2009)	19121354	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
