#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
48309	36974	44095	62666	68827	Dmel_CG4853	Dmel_CG8205	CG4853	fus	Dmel\CG4853	CG8205|Dmel\CG8205|E(cact[E10])7	Two-hybrid	physical	Giot L (2003)	14605208	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
444662	53438	44095	72726	68827	Dmel_CG7487	Dmel_CG8205	RecQ4	fus	CG7487|DmRECQ4|Dmel\CG7487|RECQL4|dRecQ4	CG8205|Dmel\CG8205|E(cact[E10])7	Two-hybrid	physical	Formstecher E (2005)	15710747	7227	7227	High Throughput	-	-	-	Predicted Biological Score:D	-	BIOGRID
2302166	34969	44095	60980	68827	Dmel_CG5848	Dmel_CG8205	cact	fus	5848|BG:DS02740.15|CG5848|Dmel\CG5848|NFkappabeta1A|cac|dip6|fs(2)ltoRN48|n(2)k17003	CG8205|Dmel\CG8205|E(cact[E10])7	Phenotypic Enhancement	genetic	Wakabayashi-Ito N (2001)	11133153	7227	7227	Low Throughput	-	-	-	-	-	FLYBASE
2309881	44540	44095	69119	68827	Dmel_CG11387	Dmel_CG8205	ct	fus	BcDNA:GH10590|CG11387|CUT|Dmel\CG11387|kf|l(1)7Ba|l(1)7Bb|l(1)VE614	CG8205|Dmel\CG8205|E(cact[E10])7	Phenotypic Enhancement	genetic	Krupp JJ (2005)	15956666	7227	7227	Low Throughput	-	-	-	-	-	FLYBASE
2309882	44540	44095	69119	68827	Dmel_CG11387	Dmel_CG8205	ct	fus	BcDNA:GH10590|CG11387|CUT|Dmel\CG11387|kf|l(1)7Ba|l(1)7Bb|l(1)VE614	CG8205|Dmel\CG8205|E(cact[E10])7	Phenotypic Suppression	genetic	Krupp JJ (2005)	15956666	7227	7227	Low Throughput	-	-	-	-	-	FLYBASE
2318175	37065	44095	62749	68827	Dmel_CG5753	Dmel_CG8205	stau	fus	CG5753|Dmel\CG5753|Dmstau|Stauf|dStau	CG8205|Dmel\CG8205|E(cact[E10])7	Affinity Capture-RNA	physical	Laver JD (2013)	23945942	7227	7227	High Throughput	-	-	-	FDR < 5%	-	FLYBASE
3691120	32018	44095	58435	68827	Dmel_CG2157	Dmel_CG8205	CG2157	fus	Dmel\CG2157	CG8205|Dmel\CG8205|E(cact[E10])7	Two-hybrid	physical	Tang HW (2023)	37061542	7227	7227	High Throughput	-	-	-	interaction identified by large-scale Y2H screening and validated by pairwise testing	-	BIOGRID
3691121	36429	44095	62199	68827	Dmel_CG44251	Dmel_CG8205	CG44251	fus	CG3884|Dmel\CG44251	CG8205|Dmel\CG8205|E(cact[E10])7	Two-hybrid	physical	Tang HW (2023)	37061542	7227	7227	High Throughput	-	-	-	interaction identified by large-scale Y2H screening and validated by pairwise testing	-	BIOGRID
3691122	49816	44095	72482	68827	Dmel_CG15218	Dmel_CG8205	CycK	fus	CG15218|Dmel\CG15218	CG8205|Dmel\CG8205|E(cact[E10])7	Two-hybrid	physical	Tang HW (2023)	37061542	7227	7227	High Throughput	-	-	-	interaction identified by large-scale Y2H screening and validated by pairwise testing	-	BIOGRID
3693376	34609	44095	60662	68827	Dmel_CG12314	Dmel_CG8205	zuc	fus	CG12314|Dmel\CG12314	CG8205|Dmel\CG8205|E(cact[E10])7	Proximity Label-MS	physical	Nguyen TTM (2023)	36762624	7227	7227	High Throughput	-	-	-	Proximity Label MS was carried out to identify high confidence germline cell protein interactors with >2 fold change over control and q-value<0.05	-	BIOGRID
3693940	40189	44095	65456	68827	Dmel_CG7654	Dmel_CG8205	Tom20	fus	CG7654|Dmel\CG7654|TOM 20|anon-WO0118547.225|dtom20	CG8205|Dmel\CG8205|E(cact[E10])7	Proximity Label-MS	physical	Nguyen TTM (2023)	36762624	7227	7227	High Throughput	-	-	-	Proximity Label MS was carried out to identify high confidence germline cell protein interactors with >2 fold change over control and q-value<0.05	-	BIOGRID

