#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
575898	20826	55135	203509	120440	-	-	Nhp2l1	WRAP53	FA-1|Fta1|Ssfa1	DKCB3|TCAB1|WDR79	Affinity Capture-MS	physical	Hutchins JR (2010)	20360068	10090	9606	High Throughput	-	-	-	-	-	BIOGRID
749151	9128	55135	114576	120440	RP11-110L1.4	-	PRPF4	WRAP53	HPRP4|HPRP4P|PRP4|Prp4p|RP70|SNRNP60	DKCB3|TCAB1|WDR79	Co-fractionation	physical	Havugimana PC (2012)	22939629	9606	9606	High Throughput	0.848	-	-	Denoised score >= 0.75	-	BIOGRID
749380	10728	55135	115952	120440	-	-	PTGES3	WRAP53	P23|TEBP|cPGES	DKCB3|TCAB1|WDR79	Co-fractionation	physical	Havugimana PC (2012)	22939629	9606	9606	High Throughput	0.842	-	-	Denoised score >= 0.75	-	BIOGRID
750213	55135	7508	120440	113345	-	-	WRAP53	XPC	DKCB3|TCAB1|WDR79	RAD4|XP3|XPCC|p125	Co-fractionation	physical	Havugimana PC (2012)	22939629	9606	9606	High Throughput	0.822	-	-	Denoised score >= 0.75	-	BIOGRID
750272	55135	23063	120440	116698	-	RP11-396M20.1	WRAP53	WAPAL	DKCB3|TCAB1|WDR79	FOE|KIAA0261|WAPL	Co-fractionation	physical	Havugimana PC (2012)	22939629	9606	9606	High Throughput	0.821	-	-	Denoised score >= 0.75	-	BIOGRID
750982	6631	55135	112515	120440	RP3-375P9.1	-	SNRPC	WRAP53	U1C|Yhc1	DKCB3|TCAB1|WDR79	Co-fractionation	physical	Havugimana PC (2012)	22939629	9606	9606	High Throughput	0.807	-	-	Denoised score >= 0.75	-	BIOGRID
751162	8237	55135	113866	120440	RP4-659F15.2	-	USP11	WRAP53	UHX1	DKCB3|TCAB1|WDR79	Co-fractionation	physical	Havugimana PC (2012)	22939629	9606	9606	High Throughput	0.803	-	-	Denoised score >= 0.75	-	BIOGRID
751324	3842	55135	110040	120440	-	-	TNPO1	WRAP53	IPO2|KPNB2|MIP|MIP1|TRN	DKCB3|TCAB1|WDR79	Co-fractionation	physical	Havugimana PC (2012)	22939629	9606	9606	High Throughput	0.8	-	-	Denoised score >= 0.75	-	BIOGRID
752219	5931	55135	111866	120440	RP11-716A19.5	-	RBBP7	WRAP53	RbAp46	DKCB3|TCAB1|WDR79	Co-fractionation	physical	Havugimana PC (2012)	22939629	9606	9606	High Throughput	0.784	-	-	Denoised score >= 0.75	-	BIOGRID
1175959	54433	55135	119949	120440	-	-	GAR1	WRAP53	NOLA1	DKCB3|TCAB1|WDR79	Affinity Capture-MS	physical	Huttlin EL (2015)	26186194	9606	9606	High Throughput	0.853575659	-	-	BioPlex 1.0 HEK 293T cells CompPASS score = 0.853575659, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 2.0 (PMID: 28514442) and BioPlex 3.0 (PMID: 33961781). Only scores from within BioPlex 1.0 (PMID: 26186194) should be compared directly.	-	BIOGRID
1191940	131583	55135	126288	120440	PP7298	-	FAM43A	WRAP53	-	DKCB3|TCAB1|WDR79	Affinity Capture-MS	physical	Huttlin EL (2015)	26186194	9606	9606	High Throughput	0.867689165	-	-	BioPlex 1.0 HEK 293T cells CompPASS score = 0.867689165, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 2.0 (PMID: 28514442) and BioPlex 3.0 (PMID: 33961781). Only scores from within BioPlex 1.0 (PMID: 26186194) should be compared directly.	-	BIOGRID
1255252	55135	9656	120440	115014	-	DAAP-285E11.7	WRAP53	MDC1	DKCB3|TCAB1|WDR79	NFBD1	Affinity Capture-Western	physical	Henriksson S (2014)	25512560	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
1255253	55135	9025	120440	114492	-	-	WRAP53	RNF8	DKCB3|TCAB1|WDR79	hRNF8	Affinity Capture-Western	physical	Henriksson S (2014)	25512560	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
1255255	9025	55135	114492	120440	-	-	RNF8	WRAP53	hRNF8	DKCB3|TCAB1|WDR79	Affinity Capture-Western	physical	Henriksson S (2014)	25512560	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
1255256	55135	3014	120440	109268	-	-	WRAP53	H2AFX	DKCB3|TCAB1|WDR79	H2A.X|H2A/X|H2AX	Affinity Capture-Western	physical	Henriksson S (2014)	25512560	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
